DateTime,Entries,UniqueIPs
1507478899,9,9
1507493292,10,10
1507496907,9,9
1507504080,13,13
1507507725,12,12
1507511300,14,14
1507514916,13,13
1507518506,10,10
1507522118,12,12
1507525669,13,13
1507536508,12,12
1507540116,12,12
1507543697,12,12
1507547295,14,14
1507550897,15,15
1507554500,14,14
1507558100,15,15
1507561694,13,13
1507579703,10,10
1507590507,10,10
1507594132,14,14
1507601256,13,13
1507604893,9,9
1507615675,10,10
1507622897,9,9
1507666098,8,8
1507673300,7,7
1507680550,6,6
1507684104,8,8
1507687708,9,9
1507694913,8,8
1507698492,10,10
1507720104,9,9
1507738099,8,8
1507741703,10,10
1507759695,9,9
1507763292,10,10
1507770491,9,9
1507777707,9,9
1507781286,10,10
1507795705,9,9
1507810077,10,10
1507853344,13,13
1507867691,14,14
1507871303,12,12
1507874902,11,11
1507878492,11,11
1507882101,12,12
1507885699,11,11
1507889278,13,13
1507896499,14,14
1507900083,15,15
1507903693,15,15
1507907313,16,16
1507910895,16,16
1507914500,13,13
1507918102,14,14
1507925291,15,15
1507928899,16,16
1507932494,17,17
1507943287,18,18
1507946896,15,15
1507950499,13,13
1507954085,11,11
1507957659,9,9
1507968491,10,10
1507975680,9,9
1507979289,11,11
1507982892,11,11
1507993689,12,12
1507997277,11,11
1508008082,10,10
1508022469,13,13
1508026123,14,14
1508033274,15,15
1508036884,11,11
1508040495,10,10
1508044081,13,13
1508047674,14,14
1508051286,15,15
1508054892,14,14
1508058475,11,11
1508062098,12,12
1508065682,12,12
1508069293,13,13
1508076475,11,11
1508080096,13,13
1508083668,12,12
1508090882,11,11
1508094475,8,8
1508098079,10,10
1508105282,11,11
1508112516,13,13
1508126878,11,11
1508134068,8,8
1508137679,11,11
1508141283,13,13
1508152071,12,12
1508155667,10,10
1508162872,11,11
1508173673,14,14
1508177290,15,15
1508180885,15,15
1508188066,12,12
1508191669,13,13
1508195274,12,12
1508198915,14,14
1508202506,16,16
1508206063,16,16
1508209702,17,17
1508213295,17,17
1508216888,15,15
1508220489,11,11
1508224087,14,14
1508227691,15,15
1508231288,17,17
1508238481,15,15
1508242080,13,13
1508245683,14,14
1508249291,16,16
1508252868,15,15
1508256468,19,19
1508260082,20,20
1508263664,19,19
1508270896,17,17
1508274490,16,16
1508278092,15,15
1508281684,16,16
1508285305,11,11
1508288903,12,12
1508292495,10,10
1508296101,11,11
1508299712,12,12
1508303308,11,11
1508310514,10,10
1508314112,13,13
1508321310,14,14
1508324871,14,14
1508328490,12,12
1508335711,14,14
1508339307,12,12
1508342912,15,15
1508346507,16,16
1508350114,14,14
1508353685,15,15
1508357304,13,13
1508360914,11,11
1508364490,12,12
1508368091,9,9
1508378893,8,8
1508386101,9,9
1508389686,11,11
1508396888,12,12
1508400506,11,11
1508404105,9,9
1508414891,8,8
1508418512,12,12
1508422109,13,13
1508425707,14,14
1508429307,13,13
1508432892,9,9
1508436501,11,11
1508440107,12,12
1508443714,13,13
1508447317,12,12
1508450906,13,13
1508454500,14,14
1508458144,16,16
1508461693,15,15
1508468895,11,11
1508472505,10,10
1508479686,12,12
1508486897,12,12
1508494093,12,12
1508501283,10,10
1508508524,9,9
1508515673,8,8
1508519308,13,13
1508526509,14,14
1508533675,11,11
1508537303,12,12
1508540895,11,11
1508544560,11,11
1508548115,14,14
1508551727,13,13
1508555308,14,14
1508558913,14,14
1508562501,17,17
1508573318,15,15
1508576910,14,14
1508580527,15,15
1508584129,16,16
1508587703,16,16
1508591309,19,19
1508594919,19,19
