DateTime,AddedIPs,RemovedIPs
1508198980,11,4
1508202571,6,2
1508206128,0,3
1508209764,9,1
1508213361,6,0
1508216951,1,0
1508220553,0,1
1508224151,0,1
1508227754,1,17
1508231352,9,3
1508234938,0,11
1508238544,11,5
1508242143,4,7
1508245746,5,6
1508249353,5,4
1508252930,11,8
1508256534,5,4
1508260145,4,2
1508263727,3,7
1508267352,14,1
1508270961,2,1
1508274553,1,0
1508278156,1,0
1508281748,1,9
1508285369,5,2
1508288980,6,0
1508296163,0,2
1508303372,2,15
1508306977,9,0
1508310578,3,0
1508314175,2,5
1508317781,1,7
1508321373,5,9
1508324933,6,5
1508328552,3,6
1508332154,1,6
1508335774,10,6
1508339369,5,14
1508342975,15,2
1508346570,6,2
1508350177,0,5
1508353748,5,3
1508357367,8,0
1508360979,5,2
1508368155,2,1
1508371809,1,5
1508375348,3,17
1508378957,2,1
1508382580,11,2
1508386164,3,1
1508389748,5,11
1508393353,1,3
1508396951,10,8
1508400570,4,3
1508404170,5,3
1508407735,0,2
1508411369,2,15
1508414955,13,0
1508418574,3,16
1508422175,8,0
1508425770,19,0
1508429370,1,2
1508436563,1,1
1508440170,0,5
1508443776,1,17
1508447380,4,9
1508450970,14,4
1508454563,12,3
1508458207,1,3
1508461754,6,1
1508465373,1,17
1508468960,2,13
1508472568,3,6
1508476177,6,13
1508479749,13,2
1508483337,0,2
1508486961,3,4
1508490562,13,6
1508494155,12,2
1508497765,14,0
1508501347,1,0
1508504964,1,2
1508508587,3,1
1508512159,0,6
1508515738,2,2
1508519372,0,10
1508522954,5,8
1508526571,16,1
1508530158,2,0
1508537367,1,6
1508540958,1,24
1508544623,16,16
1508548179,17,1
1508551790,10,3
1508555374,6,0
1508558976,1,0
1508562568,1,3
1508566176,1,8
1508569779,3,15
1508573381,7,4
1508576976,3,5
1508580594,18,1
1508584192,3,2
1508587766,1,13
1508591372,3,1
1508594982,10,5
1508598602,3,4
1508602169,2,7
1508605771,0,3
1508609376,8,4
1508612973,9,3
1508616581,5,1
1508623773,1,3
1508627370,2,1
1508631015,0,16
1508634545,8,7
1508638160,8,6
1508641756,6,2
1508645345,8,3
1508648965,3,2
1508652579,7,6
1508656143,1,1
1508659750,3,5
1508663357,3,0
1508666981,0,15
1508670552,4,5
1508674157,10,5
1508677742,4,4
1508681358,3,5
1508684963,8,4
1508688552,4,4
1508692174,1,6
1508695778,7,7
1508699360,7,5
1508702944,6,5
1508706567,8,4
1508710159,3,4
1508713767,6,3
1508717384,8,0
1508720923,0,3
1508724549,3,7
1508728141,4,12
1508731737,10,6
1508735326,3,5
1508738926,4,8
1508742521,6,1
1508746139,3,9
1508749739,3,4
1508753340,1,3
1508756933,11,3
1508760536,8,2
1508764138,3,6
1508767729,4,1
1508771329,5,4
1508774907,1,8
1508778544,7,2
1508782148,2,2
1508785714,2,6
1508789341,4,3
1508792937,3,11
1508796538,14,1
1508800130,3,0
1508803786,1,6
1508807332,9,1
1508810940,0,2
1508814541,1,1
1508818128,3,7
1508821752,0,13
1508825335,10,0
1508828938,0,3
1508832526,2,5
1508836149,4,3
1508839741,2,13
1508843351,15,6
1508846955,9,1
1508850533,10,1
1508854151,0,1
1508857734,0,1
1508861336,0,1
1508864951,3,2
1508868530,3,1
1508872139,1,0
1508879322,0,6
1508882930,1,20
1508886526,9,11
1508890188,12,4
1508893762,3,2
1508897356,8,2
1508900980,5,4
1508904561,7,7
1508908156,2,3
1508911757,8,1
1508915352,4,1
1508918975,3,1
1508922559,1,1
1508926164,1,0
1508929767,1,2
1508933350,0,12
1508936942,8,12
1508940553,7,1
1508944157,3,4
1508947747,5,7
1508951350,2,7
1508954961,8,13
1508958565,5,0
1508962166,2,1
1508965741,2,1
1508969363,14,10
1508972943,3,3
1508976572,1,2
1508980146,4,3
1508983734,1,7
1508987346,5,7
1508990947,1,3
1508994553,14,2
1508998155,8,0
1509001748,1,1
1509005328,1,2
1509008933,1,2
1509012550,2,11
1509016136,6,1
1509019749,6,2
1509023335,0,1
1509026942,3,0
1509030538,0,3
1509034139,2,7
1509037739,3,2
1509041336,4,8
1509044928,2,2
1509048557,3,9
1509052141,4,5
1509055740,7,4
1509059357,4,1
1509062970,2,1
1509066539,7,2
1509070150,8,3
1509080941,2,0
1509084536,0,11
1509088119,2,4
1509091746,3,0
1509095336,1,3
1509098931,1,8
1509102544,5,4
1509106150,2,9
1509109738,4,7
1509113345,8,5
1509116927,5,6
1509120551,12,5
1509124133,2,7
1509127764,23,0
1509131348,1,1
1509134939,1,1
1509138560,1,0
1509142161,1,6
1509145750,2,6
1509149363,5,6
1509152951,8,6
1509156537,0,7
1509160141,2,4
1509163757,10,20
1509167331,9,4
1509170943,5,2
1509174538,9,1
1509178132,1,4
1509181738,1,9
1509185359,5,2
1509188956,8,6
1509192533,4,5
1509199722,1,13
1509203310,3,6
1509206924,25,7
1509210543,7,9
1509214158,0,1
1509217746,3,1
1509221351,5,5
1509224946,8,12
1509228553,10,4
1509232145,4,4
1509235786,5,0
1509239363,0,3
1509242982,4,9
