DateTime,Entries,UniqueIPs
1509668163,11499,11598
1509669915,11504,11603
1509670568,11499,11598
1509671301,11495,11594
1509672274,11498,11597
1509673228,11537,11636
1509674207,11554,11653
1509675151,11551,11650
1509676100,11557,11656
1509676809,11560,11659
1509677545,11551,11650
1509678260,11545,11644
1509678972,11565,11664
1509679956,11553,11652
1509680650,11559,11658
1509681376,11554,11653
1509682095,11553,11652
1509682833,11551,11650
1509683542,11554,11653
1509684258,11561,11660
1509684969,11572,11671
1509685720,11563,11662
1509686412,11563,11662
1509687153,11566,11665
1509687850,11567,11666
1509688582,11567,11666
1509689559,11575,11674
1509690274,11575,11674
1509690988,11575,11674
1509691704,11571,11670
1509692420,11576,11675
1509693405,11574,11673
1509694353,11581,11680
1509695318,11596,11695
1509696016,11605,11704
1509696738,11608,11707
1509697450,11620,11719
1509698185,11621,11720
1509699148,11617,11716
1509699859,11614,11713
1509700594,11627,11726
1509701299,11618,11717
1509702029,11619,11718
1509702994,11615,11714
1509703959,11616,11715
1509704924,11619,11718
1509705860,11611,11710
1509706584,11615,11714
1509707305,11621,11720
1509708010,11631,11730
1509708769,11623,11722
1509709453,11633,11732
1509710193,11631,11730
1509710898,11630,11729
1509711619,11634,11733
1509712601,11645,11744
1509713293,11635,11734
1509714044,11644,11743
1509714743,11652,11751
1509715467,11647,11746
1509716440,11645,11744
1509717128,11658,11757
1509717872,11673,11772
1509718583,11669,11768
1509719304,11675,11774
1509720275,11673,11772
1509721243,11679,11778
1509722198,11680,11779
1509722899,11683,11782
1509723622,11697,11796
1509724396,11698,11797
1509725082,11697,11796
1509725729,11716,11815
1509726519,11723,11822
1509727464,11727,11826
1509728189,11716,11815
1509728907,11718,11817
1509729611,11719,11818
1509730359,11718,11817
1509731052,11716,11815
1509731774,11724,11823
1509732499,11720,11819
1509733214,11721,11820
1509733933,11728,11827
1509734654,11733,11832
1509735382,11756,11855
1509736126,11761,11860
1509737064,11771,11870
1509737786,11776,11875
1509738496,11774,11873
1509739237,11768,11867
1509739961,11764,11863
1509740649,11762,11861
1509741375,11760,11859
1509742097,11761,11860
1509742848,11709,11808
1509743543,11718,11817
1509744268,11674,11773
1509745002,11682,11781
1509745694,11667,11766
1509746428,11668,11767
1509747142,11654,11753
1509747852,11641,11740
1509748573,11652,11751
1509749558,11627,11726
1509751736,11632,11731
1509752564,11639,11738
1509753391,11640,11739
1509754561,11641,11740
1509755333,11636,11735
1509756010,11643,11742
1509756733,11642,11741
1509757458,11636,11735
1509758189,11643,11742
1509758905,11644,11743
1509759615,11654,11753
1509760339,11648,11747
1509761064,11646,11745
1509761779,11641,11740
1509762499,11649,11748
1509763227,11640,11739
1509763941,11652,11751
1509764911,11645,11744
1509765626,11646,11745
1509766346,11661,11760
1509767050,11655,11754
1509767775,11652,11751
1509768491,11647,11746
1509769224,11654,11753
1509769943,11645,11744
1509770662,11642,11741
1509771370,11640,11739
1509772097,11646,11745
1509772825,11639,11738
1509773549,11649,11748
1509774247,11651,11750
1509774976,11649,11748
1509775688,11645,11744
1509776438,11633,11732
1509777147,11633,11732
1509777863,11630,11729
1509778572,11630,11729
1509779293,11627,11726
1509780028,11621,11720
1509780751,11627,11726
1509781451,11620,11719
