DateTime,AddedIPs,RemovedIPs
1509668163,10,11
1509669915,16,24
1509670568,3,0
1509671301,5,6
1509672274,8,9
1509673228,44,27
1509674207,27,12
1509675151,5,4
1509676100,13,10
1509676809,10,0
1509677545,7,10
1509678260,10,9
1509678972,14,8
1509679956,12,6
1509680650,5,10
1509681376,4,6
1509682095,4,13
1509682833,9,4
1509683542,9,4
1509684258,11,3
1509684969,9,0
1509685720,7,7
1509686412,10,5
1509687153,7,5
1509687850,2,2
1509688582,2,3
1509689559,14,5
1509690274,5,8
1509690988,9,8
1509691704,3,4
1509692420,2,9
1509693405,8,3
1509694353,12,6
1509695318,13,12
1509696016,15,0
1509696738,1,4
1509697450,13,3
1509698185,6,1
1509699148,11,5
1509699859,7,2
1509700594,11,8
1509701299,7,1
1509702029,9,6
1509702994,9,10
1509703959,7,4
1509704924,8,10
1509705860,8,9
1509706584,7,2
1509707305,8,5
1509708010,7,0
1509708769,8,10
1509709453,8,0
1509710193,8,8
1509710898,3,6
1509711619,10,3
1509712601,13,7
1509713293,1,8
1509714044,13,1
1509714743,10,4
1509715467,9,14
1509716440,6,7
1509717128,7,10
1509717872,13,4
1509718583,11,1
1509719304,15,7
1509720275,5,7
1509721243,15,5
1509722198,7,13
1509722899,9,9
1509723622,12,10
1509724396,8,8
1509725082,6,9
1509725729,11,13
1509726519,9,7
1509727464,18,8
1509728189,4,11
1509728907,4,12
1509729611,4,5
1509730359,11,8
1509731052,8,2
1509731774,11,4
1509732499,8,11
1509733214,9,10
1509733933,13,13
1509734654,6,0
1509735382,15,15
1509736126,10,4
1509737064,14,6
1509737786,9,12
1509738496,5,0
1509739237,6,9
1509739961,6,14
1509740649,11,0
1509741375,10,19
1509742097,4,0
1509742848,9,4
1509743543,5,15
1509744268,11,4
1509745002,8,9
1509745694,9,11
1509746428,11,8
1509747142,3,8
1509747852,7,11
1509748573,6,0
1509749558,4,13
1509751736,12,27
1509752564,12,4
1509753391,4,5
1509754561,9,3
1509755333,5,10
1509756010,4,5
1509756733,4,8
1509757458,3,4
1509758189,4,2
1509758905,8,14
1509759615,8,17
1509760339,6,0
1509761064,6,14
1509761779,11,4
1509762499,5,8
1509763227,11,13
1509763941,8,9
1509764911,17,13
1509765626,8,7
1509766346,10,10
1509767050,6,7
1509767775,5,6
1509768491,4,5
1509769224,12,4
1509769943,4,7
1509770662,11,3
1509771370,7,5
1509772097,6,2
1509772825,6,0
1509773549,7,7
1509774247,4,0
1509774976,4,12
1509775688,6,0
1509776438,6,12
1509777147,4,1
1509777863,0,3
1509778572,3,5
1509779293,6,2
1509780028,6,8
1509780751,5,3
1509781451,7,5
1509782178,4,2
1509783147,11,7
1509783849,9,6
1509784577,7,6
1509785296,12,1
1509786038,9,11
1509786734,10,7
1509787457,4,6
1509788171,6,11
1509788899,5,11
1509789609,9,0
1509790347,7,4
1509791049,12,0
1509791797,13,5
1509792496,6,5
1509793237,5,6
1509793949,3,2
1509794662,16,6
1509795371,3,2
1509796103,11,5
1509796810,7,5
1509797558,6,4
1509798249,5,12
1509798976,10,4
1509799692,7,1
1509800431,8,8
1509801141,6,0
1509801854,5,13
1509802571,5,0
1509803299,6,5
1509804037,4,9
1509804745,6,6
1509805456,14,5
1509806175,14,3
1509806898,8,8
1509807608,4,3
1509808346,3,7
1509809056,11,3
1509809775,8,7
1509810499,7,14
1509811243,9,3
1509811941,0,11
1509812671,41,12
1509813635,52,6
1509814338,31,8
