DateTime,AddedIPs,RemovedIPs
1509668163,59,63
1509669915,80,111
1509670568,67,50
1509671301,52,95
1509672274,87,51
1509673228,117,106
1509674207,129,65
1509675151,42,90
1509676100,95,103
1509676809,83,80
1509677545,85,64
1509678260,54,123
1509678972,103,85
1509679956,103,75
1509680650,76,71
1509681376,67,47
1509682095,49,52
1509682833,47,115
1509683542,93,55
1509684258,74,77
1509684969,66,93
1509685720,89,43
1509686412,43,48
1509687153,43,93
1509687850,88,39
1509688582,42,56
1509689559,70,94
1509690274,71,80
1509690988,85,85
1509691704,58,97
1509692420,115,33
1509693405,55,40
1509694353,57,79
1509695318,83,74
1509696016,68,65
1509696738,51,53
1509697450,68,78
1509698185,79,83
1509699148,110,45
1509699859,37,79
1509700594,67,34
1509701299,46,54
1509702029,61,40
1509702994,53,81
1509703959,81,41
1509704924,63,44
1509705860,46,46
1509706584,54,41
1509707305,39,36
1509708010,36,30
1509708769,35,52
1509709453,62,45
1509710193,43,59
1509710898,28,58
1509711619,88,71
1509712601,80,68
1509713293,39,65
1509714044,71,93
1509714743,95,39
1509715467,57,74
1509716440,65,82
1509717128,93,36
1509717872,56,74
1509718583,78,73
1509719304,76,50
1509720275,53,27
1509721243,64,71
1509722198,68,68
1509722899,41,46
1509723622,55,46
1509724396,63,53
1509725082,34,33
1509725729,54,41
1509726519,62,71
1509727464,85,66
1509728189,36,40
1509728907,35,69
1509729611,46,63
1509730359,88,67
1509731052,68,66
1509731774,72,58
1509732499,53,55
1509733214,66,48
1509733933,69,40
1509734654,63,63
1509735382,70,47
1509736126,57,70
1509737064,73,40
1509737786,44,41
1509738496,43,49
1509739237,46,71
1509739961,47,37
1509740649,58,103
1509741375,95,43
1509742097,41,98
1509742848,92,44
1509743543,48,29
1509744268,50,49
1509745002,47,43
1509745694,39,49
1509746428,52,46
1509747142,25,49
1509747852,54,42
1509748573,39,64
1509749558,62,63
1509751736,91,99
1509752564,68,49
1509753391,37,56
1509754561,56,67
1509755333,30,42
1509756010,48,38
1509756733,42,47
1509757458,20,24
1509758189,36,53
1509758905,45,36
1509759615,47,54
1509760339,43,41
1509761064,37,43
1509761779,42,52
1509762499,44,43
1509763227,45,52
1509763941,36,49
1509764911,69,48
1509765626,48,58
1509766346,59,74
1509767050,65,44
1509767775,42,44
1509768491,38,50
1509769224,67,37
1509769943,42,47
1509770662,53,48
1509771370,47,29
1509772097,28,40
1509772825,33,28
1509773549,32,47
1509774247,38,36
1509774976,30,48
1509775688,44,33
1509776438,37,62
1509777147,48,37
1509777863,26,40
1509778572,39,52
1509779293,55,29
1509780028,42,56
1509780751,44,52
1509781451,51,48
1509782178,52,67
1509783147,82,57
1509783849,52,64
1509784577,75,40
1509785296,51,37
1509786038,43,45
1509786734,40,62
1509787457,58,48
1509788171,71,45
1509788899,45,35
1509789609,41,52
1509790347,67,32
1509791049,51,56
1509791797,51,42
1509792496,40,35
1509793237,37,47
1509793949,24,38
1509794662,82,54
1509795371,47,53
1509796103,53,44
1509796810,54,68
1509797558,70,66
1509798249,57,61
1509798976,74,78
1509799692,86,57
1509800431,56,58
1509801141,58,38
1509801854,39,43
1509802571,46,58
1509803299,64,27
1509804037,39,58
1509804745,51,39
1509805456,53,50
1509806175,66,53
1509806898,50,72
1509807608,67,48
1509808346,45,74
1509809056,77,63
1509809775,59,53
1509810499,72,49
1509811243,54,48
1509811941,25,43
1509812671,89,49
1509813635,129,46
1509814338,63,45
1509815077,53,47
1509815774,51,60
1509816509,81,67
1509817476,90,80
1509818209,63,78
1509818908,84,61
1509819612,66,58
1509820341,48,44
1509821047,61,62
1509821784,65,155
1509822500,128,145
1509823220,176,86
1509823939,97,149
1509824659,126,146
1509825379,150,100
1509826106,103,154
1509827059,126,180
1509827783,195,73
1509828512,96,101
1509829217,93,229
1509829938,157,120
1509830652,170,107
1509831388,102,201
1509832098,201,97
1509832841,114,116
1509833804,153,179
1509834505,197,77
1509835214,84,140
1509835937,128,167
1509836668,230,82
1509837375,90,149
1509838232,146,155
1509839062,194,81
1509839783,91,208
1509840504,125,103
1509841231,156,103
1509841932,88,185
1509842652,155,139
1509843379,139,104
1509844103,105,172
1509844810,149,143
1509845551,175,137
1509846254,231,141
1509846971,146,145
1509847691,156,70
1509848441,96,151
1509849143,159,87
1509849868,125,72
1509850570,49,112
1509851305,103,53
1509852014,67,88
1509852740,82,52
1509853449,90,42
1509854178,95,55
1509854899,111,68
1509855612,75,44
1509856338,40,47
1509857068,55,56
1509858080,77,75
1509858741,60,63
1509859451,45,84
1509860189,78,64
1509860913,73,36
1509861619,34,65
1509862337,72,71
1509863054,69,91
1509863791,71,63
1509864492,74,71
1509865240,84,55
1509865952,55,71
1509866656,67,46
1509867372,31,66
