DateTime,Entries,UniqueIPs
1509668163,9788,9788
1509669915,9757,9757
1509670568,9774,9774
1509671301,9731,9731
1509672274,9767,9767
1509673228,9778,9778
1509674207,9842,9842
1509675151,9794,9794
1509676100,9786,9786
1509676809,9789,9789
1509677545,9810,9810
1509678260,9741,9741
1509678972,9759,9759
1509679956,9787,9787
1509680650,9792,9792
1509681376,9812,9812
1509682095,9809,9809
1509682833,9741,9741
1509683542,9779,9779
1509684258,9776,9776
1509684969,9749,9749
1509685720,9795,9795
1509686412,9790,9790
1509687153,9740,9740
1509687850,9789,9789
1509688582,9775,9775
1509689559,9751,9751
1509690274,9742,9742
1509690988,9742,9742
1509691704,9703,9703
1509692420,9785,9785
1509693405,9800,9800
1509694353,9778,9778
1509695318,9787,9787
1509696016,9790,9790
1509696738,9788,9788
1509697450,9778,9778
1509698185,9774,9774
1509699148,9839,9839
1509699859,9797,9797
1509700594,9830,9830
1509701299,9822,9822
1509702029,9843,9843
1509702994,9815,9815
1509703959,9855,9855
1509704924,9874,9874
1509705860,9874,9874
1509706584,9887,9887
1509707305,9890,9890
1509708010,9896,9896
1509708769,9879,9879
1509709453,9896,9896
1509710193,9880,9880
1509710898,9850,9850
1509711619,9867,9867
1509712601,9879,9879
1509713293,9853,9853
1509714044,9831,9831
1509714743,9887,9887
1509715467,9870,9870
1509716440,9853,9853
1509717128,9910,9910
1509717872,9892,9892
1509718583,9897,9897
1509719304,9923,9923
1509720275,9949,9949
1509721243,9942,9942
1509722198,9942,9942
1509722899,9937,9937
1509723622,9946,9946
1509724396,9956,9956
1509725082,9957,9957
1509725729,9970,9970
1509726519,9961,9961
1509727464,9980,9980
1509728189,9976,9976
1509728907,9942,9942
1509729611,9925,9925
1509730359,9946,9946
1509731052,9948,9948
1509731774,9962,9962
1509732499,9960,9960
1509733214,9978,9978
1509733933,10007,10007
1509734654,10007,10007
1509735382,10030,10030
1509736126,10017,10017
1509737064,10050,10050
1509737786,10053,10053
1509738496,10047,10047
1509739237,10022,10022
1509739961,10032,10032
1509740649,9987,9987
1509741375,10039,10039
1509742097,9982,9982
1509742848,10030,10030
1509743543,10049,10049
1509744268,10050,10050
1509745002,10054,10054
1509745694,10044,10044
1509746428,10050,10050
1509747142,10026,10026
1509747852,10038,10038
1509748573,10013,10013
1509749558,10012,10012
