DateTime,Entries,UniqueIPs
1509474061,8751,8751
1509474952,8753,8753
1509477289,8756,8756
1509478962,8757,8757
1509479762,8244,8244
1509480655,8766,8766
1509482397,8775,8775
1509483204,8776,8776
1509484265,8775,8775
1509486065,8788,8788
1509486948,8789,8789
1509487850,8791,8791
1509489065,8801,8801
1509491448,8244,8244
1509492329,8819,8819
1509493361,8823,8823
1509494704,8830,8830
1509495657,8838,8838
1509496845,8841,8841
1509497802,8851,8851
1509498644,8853,8853
1509500175,8861,8861
1509501030,8868,8868
1509502243,8879,8879
1509503483,8883,8883
1509504425,8886,8886
1509506731,8896,8896
1509507772,8903,8903
1509509420,8905,8905
1509510305,8908,8908
1509511364,8915,8915
1509512201,8917,8917
1509513043,8922,8922
1509514127,8938,8938
1509515155,8932,8932
1509516872,8943,8943
1509517731,8947,8947
1509518744,8954,8954
1509521142,8971,8971
1509522033,8973,8973
1509524044,8244,8244
1509526446,8994,8994
1509527451,9001,9001
1509528291,9006,9006
1509530194,8244,8244
1509531044,9033,9033
1509532848,9043,9043
1509533794,9053,9053
1509534635,9054,9054
1509535705,9061,9061
1509536738,9064,9064
1509538236,9072,9072
1509539734,9073,9073
1509541833,9098,9098
1509542065,9103,9103
1509543040,9105,9105
1509544867,9121,9121
1509545667,9135,9135
1509546511,9151,9151
1509547547,9163,9163
1509548987,9185,9185
1509550964,9210,9210
1509552098,9220,9220
1509553840,9242,9242
1509554566,9256,9256
1509556475,9281,9281
1509557310,9294,9294
1509558150,9313,9313
1509558990,9338,9338
1509559837,9349,9349
1509560914,9379,9379
1509561760,9396,9396
1509563037,9432,9432
1509564020,8244,8244
1509566099,9532,9532
1509567046,9572,9572
1509568105,9606,9606
1509568940,8244,8244
1509570875,9672,9672
1509571716,9701,9701
1509572739,9727,9727
1509573602,9753,9753
1509574536,9762,9762
1509575311,9777,9777
1509576320,8244,8244
1509577836,9793,9793
1509579931,9808,9808
1509581435,9812,9812
1509582935,9817,9817
1509585334,9827,9827
1509586234,9840,9840
1509586946,9859,9859
1509588461,9894,9894
1509589343,9917,9917
1509592240,9968,9968
1509594024,9987,9987
1509594924,10002,10002
1509595833,10014,10014
1509597934,10047,10047
1509599437,10067,10067
1509600921,8244,8244
1509601781,10085,10085
1509603041,10106,10106
1509604959,10277,10277
1509606868,10349,10349
1509608013,10391,10391
1509610235,10455,10455
1509610465,10458,10458
1509611446,10467,10467
1509612159,10483,10483
1509613253,10507,10507
1509614130,10530,10530
1509615330,10554,10554
1509616227,10569,10569
1509617232,10578,10578
1509619233,10599,10599
1509620152,10614,10614
1509621035,10624,10624
1509623044,10656,10656
1509624072,10668,10668
1509624907,8244,8244
1509625835,10644,10644
1509626555,10645,10645
1509627392,10646,10646
1509628239,10635,10635
1509629308,10635,10635
1509630333,10639,10639
1509631842,10640,10640
1509633640,10629,10629
1509634560,10635,10635
1509635434,10635,10635
1509637353,10639,10639
1509639277,10644,10644
1509640235,10635,10635
