DateTime,Entries,UniqueIPs
1509459284,678,678
1509460552,676,676
1509462895,674,674
1509463878,673,673
1509464698,674,674
1509465718,676,676
1509466548,678,678
1509468957,677,677
1509469852,675,675
1509471403,676,676
1509473002,673,673
1509474077,678,678
1509474960,677,677
1509477294,677,677
1509478967,672,672
1509479776,676,676
1509480660,676,676
1509482407,677,677
1509483226,677,677
1509484290,677,677
1509486082,675,675
1509486952,676,676
1509487854,678,678
1509489078,674,674
1509492338,673,673
1509493365,666,666
1509494710,662,662
1509495673,665,665
1509496849,668,668
1509497806,679,679
1509498648,678,678
1509500196,679,679
1509501035,684,684
1509502247,681,681
1509503488,672,672
1509504444,675,675
1509506736,688,688
1509507780,689,689
1509509433,685,685
1509510309,697,697
1509511369,693,693
1509512205,696,696
1509513047,693,693
1509514131,697,697
1509515160,694,694
1509516876,700,700
1509517737,702,702
1509518748,698,698
1509521146,709,709
1509522038,700,700
1509524050,708,708
1509525358,709,709
1509526618,714,714
1509527456,711,711
1509528295,716,716
1509530196,720,720
1509531048,716,716
1509532852,715,715
1509533798,723,723
1509534640,721,721
1509535709,722,722
1509536742,722,722
1509538239,722,722
1509539738,724,724
1509541836,727,727
1509542068,726,726
1509543044,722,722
1509544870,720,720
1509545672,722,722
1509546515,723,723
1509547552,719,719
1509548991,720,720
1509550968,716,716
1509552104,717,717
1509553843,716,716
1509554570,717,717
1509556479,719,719
1509557314,721,721
1509558153,711,711
1509558993,717,717
1509559840,720,720
1509560917,723,723
1509561764,726,726
1509563053,728,728
1509564031,730,730
1509566103,728,728
1509567049,730,730
1509568109,735,735
1509570642,740,740
1509571720,743,743
1509572743,740,740
1509573645,740,740
1509574539,741,741
1509575314,739,739
1509576330,740,740
1509577840,741,741
1509579937,738,738
1509581439,745,745
1509582938,743,743
1509585337,743,743
1509586237,741,741
1509586949,744,744
1509588465,743,743
1509589347,744,744
1509592248,740,740
1509594027,748,748
1509594927,750,750
1509595836,758,758
1509597937,761,761
1509599441,763,763
1509600932,763,763
1509601784,766,766
1509603045,766,766
1509604962,770,770
1509606872,785,785
1509608027,786,786
1509610239,796,796
1509610469,798,798
1509611452,793,793
1509612165,795,795
1509613259,796,796
1509614136,800,800
1509615334,800,800
1509616230,805,805
1509617247,808,808
1509619237,814,814
1509620155,818,818
1509621038,822,822
1509624080,819,819
1509624915,821,821
1509625839,818,818
1509626559,819,819
1509627396,821,821
1509628243,823,823
