DateTime,Entries,UniqueIPs
1509483171,50818,50818
1509484223,50836,50836
1509486011,50872,50872
1509486909,51013,51013
1509487809,50935,50935
1509489012,50868,50868
1509491409,51144,51144
1509492296,51268,51268
1509493329,51093,51093
1509494661,51144,51144
1509495608,51291,51291
1509496812,51236,51236
1509497761,51426,51426
1509498608,51257,51257
1509500146,51241,51241
1509501008,51350,51350
1509502209,51428,51428
1509503439,51335,51335
1509504374,51562,51562
1509506708,51740,51740
1509507729,51526,51526
1509510009,51684,51684
1509511330,51476,51476
1509512169,51639,51639
1509513009,51524,51524
1509514088,51712,51712
1509515108,51718,51718
1509516359,51908,51908
1509516849,52025,52025
1509517689,52287,52287
1509518709,52118,52118
1509521109,52587,52587
1509522008,52325,52325
1509524044,8244,8244
1509526418,52694,52694
1509527409,52688,52688
1509528262,52925,52925
1509529331,52192,52192
1509530165,52412,52412
1509531009,52272,52272
1509532808,52407,52407
1509533767,52647,52647
1509534607,52484,52484
1509535687,52754,52754
1509536706,52510,52510
1509538207,52465,52465
1509539707,52434,52434
1509542047,52575,52575
1509543007,52363,52363
1509544848,52360,52360
1509545648,52545,52545
1509546488,52786,52786
1509547509,52699,52699
1509548960,52886,52886
1509550929,53169,53169
1509552061,53026,53026
1509553808,53105,53105
1509554528,53279,53279
1509556446,53385,53385
1509557287,53533,53533
1509558127,53241,53241
1509558966,53444,53444
1509559807,53409,53409
1509560887,53653,53653
1509561727,53476,53476
1509563016,53384,53384
1509564007,53591,53591
1509566082,53617,53617
1509567247,53603,53603
1509568086,53832,53832
1509568927,53688,53688
1509570850,53739,53739
1509571687,53920,53920
1509572707,53762,53762
1509573544,53747,53747
1509574508,53862,53862
1509575287,54005,54005
1509576307,53935,53935
1509577807,53837,53837
1509578997,53712,53712
1509579807,53744,53744
1509581407,53717,53717
1509582907,53607,53607
1509585306,53624,53624
1509586209,53453,53453
1509586927,53506,53506
1509588435,53572,53572
1509589316,53768,53768
1509592207,53616,53616
1509594006,53598,53598
1509594906,53804,53804
1509595807,53785,53785
1509596993,53809,53809
1509597907,53787,53787
1509599407,53849,53849
1509600907,53862,53862
1509601763,53876,53876
1509603008,53817,53817
1509604928,53782,53782
1509606848,53972,53972
1509607980,53849,53849
1509610447,54018,54018
1509611408,53847,53847
1509612128,53887,53887
1509612937,54104,54104
1509613807,53985,53985
1509616207,53907,53907
1509617208,53836,53836
1509618007,54106,54106
1509619327,53948,53948
1509620130,54154,54154
1509621252,54141,54141
1509623026,54525,54525
1509624048,54559,54559
1509624907,8244,8244
1509625807,54529,54529
1509626527,54544,54544
1509627374,54717,54717
1509628214,54562,54562
1509629287,54803,54803
1509630307,54618,54618
1509631807,54617,54617
1509633615,54514,54514
1509634541,54702,54702
1509635407,54634,54634
1509636607,54542,54542
1509637327,54535,54535
1509639247,54558,54558
1509640208,54348,54348
1509640928,54404,54404
1509642608,54449,54449
1509643467,54589,54589
1509644407,54275,54275
1509645307,54419,54419
1509646447,54320,54320
1509648307,54173,54173
1509649734,54178,54178
1509651727,54043,54043
1509653407,54084,54084
1509655807,54041,54041
1509656450,53940,53940
1509657308,54086,54086
1509658508,53975,53975
1509659431,54034,54034
1509660608,54039,54039
1509661411,54164,54164
1509662528,54025,54025
1509663399,54136,54136
1509664208,54050,54050
1509665407,53977,53977
1509666127,53957,53957
1509669854,53834,53834
1509671646,53830,53830
1509672606,53615,53615
1509673507,53643,53643
1509675007,53623,53623
1509676808,53452,53452
1509677767,53643,53643
1509678847,53630,53630
1509681007,53629,53629
1509682013,53601,53601
1509683106,53818,53818
1509684128,53528,53528
1509686047,53526,53526
1509687007,53232,53232
1509687727,53278,53278
1509689647,53419,53419
1509690596,53048,53048
1509691828,53205,53205
1509693007,53144,53144
1509694928,52978,52978
1509696607,53067,53067
1509698527,52978,52978
1509700449,53207,53207
1509701634,52989,52989
1509702607,53126,53126
1509703807,53104,53104
1509705613,52956,52956
1509706507,53189,53189
1509707407,53110,53110
1509708608,52961,52961
1509709507,53202,53202
1509711009,53016,53016
1509712185,52844,52844
1509713107,52892,52892
1509713989,52758,52758
1509714848,53002,53002
1509715818,52896,52896
1509716707,53135,53135
1509718143,53058,53058
1509720126,52903,52903
1509721250,52745,52745
1509722107,52958,52958
1509723606,52740,52740
1509724507,52960,52960
1509725647,52857,52857
1509726486,53064,53064
1509727442,52821,52821
1509729247,52923,52923
1509730212,52727,52727
1509730927,52859,52859
1509732341,52664,52664
1509733206,52813,52813
1509734407,52507,52507
1509735963,52521,52521
1509736807,52652,52652
1509737287,52729,52729
1509738127,52463,52463
1509738967,52601,52601
1509739807,52376,52376
1509741011,52231,52231
1509742362,52327,52327
1509743407,52231,52231
1509744782,52133,52133
1509745813,52283,52283
1509746931,52161,52161
1509748207,52073,52073
1509749409,52138,52138
1509750907,52186,52186
1509751807,51986,51986
1509752527,52089,52089
1509754507,51992,51992
1509755408,51758,51758
1509756128,51690,51690
1509756967,51793,51793
1509758047,51675,51675
1509758913,51813,51813
1509759727,51557,51557
1509761406,51372,51372
1509763508,51038,51038
1509764535,50872,50872
1509765607,51025,51025
1509766807,50614,50614
1509767707,50762,50762
1509768607,50554,50554
1509769664,50756,50756
1509770526,50233,50233
1509771592,50179,50179
1509772447,50326,50326
1509773412,49972,49972
1509774127,50005,50005
1509776047,50086,50086
1509777009,49842,49842
1509777882,49852,49852
1509779407,49828,49828
1509780608,49566,49566
1509781507,49587,49587
1509782366,49428,49428
1509783248,49557,49557
1509784207,49240,49240
1509784927,49201,49201
1509785767,49382,49382
1509786846,49247,49247
1509787788,48842,48842
1509788707,48896,48896
1509790447,48906,48906
1509791407,48521,48521
1509792308,48302,48302
1509792967,48424,48424
1509794047,48074,48074
1509795009,47875,47875
1509795906,47906,47906
1509796567,48024,48024
1509797406,47879,47879
1509798486,48088,48088
1509799482,47754,47754
1509801007,47775,47775
1509802208,47608,47608
1509803107,47561,47561
1509804607,47397,47397
1509805806,47161,47161
1509806707,47110,47110
1509808448,47004,47004
1509809407,46728,46728
1509810126,46665,46665
1509811603,46717,46717
1509812407,46770,46770
1509812887,46846,46846
1509813914,46508,46508
1509815406,46419,46419
1509816353,46501,46501
1509817207,46160,46160
1509818166,46236,46236
1509819247,46105,46105
1509820207,45862,45862
1509821098,8244,8244
1509822090,45719,45719
1509822907,45773,45773
1509823807,45545,45545
1509824707,45511,45511
1509825367,45549,45549
1509826207,45427,45427
1509827106,45493,45493
1509828006,45202,45202
1509828967,45252,45252
1509829807,45106,45106
1509831727,44901,44901
1509833406,44886,44886
1509834486,44973,44973
1509835334,44709,44709
1509837007,44626,44626
1509838087,44703,44703
1509838926,44399,44399
1509839767,44457,44457
1509840607,44311,44311
