DateTime,Entries,UniqueIPs
1509460544,3406,3406
1509462894,3394,3394
1509463876,3389,3389
1509464696,3394,3394
1509465717,3382,3382
1509466547,3392,3392
1509468956,3393,3393
1509469838,3356,3356
1509471402,3360,3360
1509474064,3367,3367
1509474958,3356,3356
1509477293,3372,3372
1509478966,3348,3348
1509479775,3362,3362
1509480659,3355,3355
1509482404,3336,3336
1509483222,3351,3351
1509484279,3340,3340
1509486072,3346,3346
1509486951,3358,3358
1509487853,3334,3334
1509489068,3320,3320
1509492336,3311,3311
1509493364,3283,3283
1509494708,3258,3258
1509495663,3271,3271
1509496848,3268,3268
1509497804,3275,3275
1509498647,3259,3259
1509500188,3247,3247
1509501034,3251,3251
1509502246,3254,3254
1509503487,3238,3238
1509504436,3240,3240
1509506734,3237,3237
1509507778,3215,3215
1509509425,3203,3203
1509510308,3230,3230
1509511367,3217,3217
1509512204,3228,3228
1509513046,3221,3221
1509514130,3232,3232
1509515159,3214,3214
1509516875,3193,3193
1509517735,3212,3212
1509518747,3204,3204
1509521145,3334,3334
1509522037,3331,3331
1509525357,3315,3315
1509528294,3327,3327
1509531047,3300,3300
1509532851,3292,3292
1509533797,3304,3304
1509534638,3289,3289
1509535708,3296,3296
1509536741,3273,3273
1509538238,3253,3253
1509539737,3257,3257
1509541836,3266,3266
1509542067,3265,3265
1509543043,3251,3251
1509544869,3254,3254
1509545670,3257,3257
1509546514,3268,3268
1509547551,3244,3244
1509548990,3226,3226
1509550967,3212,3212
1509552102,3212,3212
1509553842,3219,3219
1509554569,3238,3238
1509556478,3268,3268
1509557313,3270,3270
1509558152,3238,3238
1509558992,3246,3246
1509559840,3245,3245
1509560916,3249,3249
1509561763,3228,3228
1509563041,3201,3201
1509564025,3208,3208
1509566102,3187,3187
1509567048,3128,3128
1509568108,3132,3132
1509570641,3095,3095
1509571719,3118,3118
1509572742,3090,3090
1509573606,3080,3080
1509574538,3083,3083
1509575313,3098,3098
1509576327,3059,3059
1509577839,3039,3039
1509579936,3021,3021
1509581438,3002,3002
1509582937,2982,2982
1509585336,2975,2975
1509586236,2954,2954
1509586948,2950,2950
1509588463,2943,2943
1509589346,2943,2943
1509592245,2912,2912
1509594026,2906,2906
1509594926,2909,2909
1509595835,2897,2897
1509597936,2893,2893
1509599440,2892,2892
1509600927,2885,2885
1509601783,2893,2893
1509603044,2884,2884
1509604961,2878,2878
1509606871,2886,2886
1509608024,2875,2875
1509610238,2876,2876
1509610468,2877,2877
1509611449,2869,2869
1509612164,2872,2872
1509613258,2869,2869
1509614135,2883,2883
1509615336,2881,2881
1509616229,2874,2874
1509617242,2864,2864
1509619236,2857,2857
1509620155,2875,2875
1509621037,2864,2864
1509623054,2873,2873
1509624079,2879,2879
1509624912,2897,2897
1509625838,2878,2878
1509626558,2881,2881
1509627394,2891,2891
1509628242,2874,2874
1509629310,2887,2887
1509630335,2869,2869
1509631845,2867,2867
1509633645,2848,2848
1509634563,2859,2859
1509635436,2841,2841
1509637355,2841,2841
1509639279,2845,2845
1509640238,2824,2824
1509640953,2835,2835
1509642642,2839,2839
1509643486,2847,2847
1509644437,2821,2821
1509645326,2844,2844
1509646234,2830,2830
1509646467,2831,2831
1509648333,2866,2866
1509649769,2889,2889
1509651753,2895,2895
1509653439,2931,2931
1509654911,2942,2942
1509655843,2956,2956
1509656477,2951,2951
1509657336,2968,2968
1509658530,2979,2979
1509659456,2999,2999
1509660648,3022,3022
1509661664,3046,3046
1509662560,3048,3048
1509663419,3069,3069
1509664239,3080,3080
1509666151,3088,3088
1509669873,3143,3143
1509671651,3166,3166
1509672634,3168,3168
1509673533,3186,3186
1509675035,3196,3196
