DateTime,Entries,UniqueIPs
1509480647,39484,39484
1509482392,39442,39442
1509483197,39577,39577
1509484262,39598,39598
1509486059,39618,39618
1509486945,39719,39719
1509487847,39671,39671
1509489059,39616,39616
1509491448,8244,8244
1509492324,39760,39760
1509493357,39601,39601
1509494700,39607,39607
1509495652,39698,39698
1509496843,39622,39622
1509497799,39753,39753
1509498639,39608,39608
1509500166,39572,39572
1509501028,39645,39645
1509502240,39689,39689
1509503477,39596,39596
1509504422,39757,39757
1509506729,39854,39854
1509507767,39659,39659
1509510050,39745,39745
1509511361,39550,39550
1509512198,39681,39681
1509513041,39551,39551
1509514124,39666,39666
1509515148,39706,39706
1509516870,39949,39949
1509517725,40146,40146
1509518739,40004,40004
1509521139,40367,40367
1509522028,40161,40161
1509524044,8244,8244
1509526440,40359,40359
1509527448,40327,40327
1509528288,40497,40497
1509530194,8244,8244
1509531042,39811,39811
1509532845,39912,39912
1509533792,40087,40087
1509534633,39944,39944
1509535703,40151,40151
1509536733,39940,39940
1509538232,39877,39877
1509539729,39842,39842
1509541831,39870,39870
1509542062,39900,39900
1509543036,39710,39710
1509544864,39695,39695
1509545665,39811,39811
1509546508,39922,39922
1509547543,39771,39771
1509548984,39785,39785
1509550961,39906,39906
1509552087,39768,39768
1509553835,39742,39742
1509554564,39849,39849
1509556473,39878,39878
1509557308,39964,39964
1509558148,39702,39702
1509558987,39832,39832
1509559835,39772,39772
1509560911,39935,39935
1509561758,39752,39752
1509563028,39633,39633
1509564020,8244,8244
1509566097,39724,39724
1509567039,39622,39622
1509568103,39812,39812
1509568940,8244,8244
1509570873,39677,39677
1509571714,39788,39788
1509572733,39637,39637
1509573597,39588,39588
1509574532,39674,39674
1509575309,39767,39767
1509576320,8244,8244
1509577834,39576,39576
1509579925,39505,39505
1509581433,39451,39451
1509582932,39349,39349
1509585330,39326,39326
1509586229,39172,39172
1509586943,39198,39198
1509588458,39217,39217
1509589337,39354,39354
1509592236,39166,39166
1509594022,39107,39107
1509594922,39253,39253
1509595831,39225,39225
1509597930,39209,39209
1509599435,39227,39227
1509600921,8244,8244
1509601779,39217,39217
1509603039,39133,39133
1509604956,38933,38933
1509606866,39000,39000
1509608008,38841,38841
1509610233,38843,38843
1509610463,38887,38887
1509611440,38729,38729
1509612154,38741,38741
1509613249,38655,38655
1509614126,38837,38837
1509615326,38658,38658
1509616224,38647,38647
1509617224,38571,38571
1509619230,38660,38660
1509620148,38838,38838
1509621033,38767,38767
1509623042,38837,38837
1509624068,38678,38678
1509624907,8244,8244
1509625833,38658,38658
1509626553,38656,38656
1509627389,38792,38792
1509628237,38663,38663
1509629306,38851,38851
1509630328,38707,38707
1509631836,38704,38704
1509633638,38630,38630
1509634558,38764,38764
1509635431,38716,38716
1509637350,38642,38642
1509639271,38656,38656
1509640230,38508,38508
1509640948,38550,38550
1509642637,38603,38603
1509643482,38700,38700
1509644429,38468,38468
1509645322,38579,38579
1509646228,38439,38439
1509646462,38468,38468
1509648326,38364,38364
1509649756,38359,38359
1509651749,38270,38270
1509653434,38288,38288
1509654902,38260,38260
1509655838,38265,38265
1509656469,38205,38205
1509657331,38309,38309
1509658525,38215,38215
1509659451,38277,38277
1509660639,38273,38273
1509661659,38389,38389
1509662555,38262,38262
1509663414,38339,38339
1509664234,38278,38278
1509666146,38202,38202
1509669868,38091,38091
1509671648,8244,8244
1509672628,37941,37941
1509673526,37967,37967
1509675030,37962,37962
1509676835,37841,37841
1509677783,37979,37979
1509678636,37947,37947
1509678862,37978,37978
1509681022,37976,37976
1509682035,37941,37941
1509683128,38094,38094
1509684152,37868,37868
1509686076,37876,37876
1509687023,8244,8244
1509687754,37661,37661
1509689670,37773,37773
1509690626,37459,37459
1509691844,37575,37575
1509693034,37528,37528
1509694953,37424,37424
1509696638,37515,37515
1509698552,37432,37432
1509700475,37666,37666
1509701657,37480,37480
1509702626,37608,37608
1509703837,37604,37604
1509705638,37532,37532
1509706539,37720,37720
1509707432,37687,37687
1509708629,37606,37606
1509709531,37794,37794
1509711032,37696,37696
1509712208,37634,37634
1509713135,37679,37679
1509714871,37803,37803
1509715836,37768,37768
1509716728,37947,37947
1509718165,37914,37914
1509720152,37850,37850
1509721279,37807,37807
1509722133,37962,37962
1509723633,37788,37788
1509724526,37946,37946
1509725430,37845,37845
1509726502,38033,38033
1509727457,37867,37867
1509729263,37959,37959
1509730228,37845,37845
1509730948,37941,37941
1509732357,37825,37825
1509733237,37937,37937
1509734431,37734,37734
1509735985,37767,37767
1509736836,37851,37851
1509737308,37913,37913
1509738143,37737,37737
1509738992,37835,37835
1509739827,37687,37687
1509741034,37593,37593
1509742375,8244,8244
1509743438,37619,37619
1509744809,37554,37554
1509745829,37664,37664
1509746947,37617,37617
1509748228,37540,37540
1509749439,37582,37582
1509750928,37630,37630
1509751833,37501,37501
1509752547,37574,37574
1509754533,37499,37499
1509755427,37336,37336
1509756153,37284,37284
1509756989,37357,37357
1509757835,37249,37249
1509758929,37372,37372
1509759747,37172,37172
1509761434,37021,37021
1509763531,36740,36740
1509764556,36617,36617
1509765632,36722,36722
1509766831,36419,36419
1509767738,36531,36531
1509768638,36360,36360
1509769680,36487,36487
1509770551,36076,36076
1509771609,36056,36056
1509772464,36155,36155
1509773438,35995,35995
1509774148,36048,36048
1509776072,36178,36178
1509777034,36039,36039
1509777898,36056,36056
1509779436,36075,36075
1509781525,35958,35958
1509782381,35855,35855
1509783273,35961,35961
1509784236,35761,35761
1509784954,35734,35734
1509785793,35865,35865
1509786636,35757,35757
1509787816,35506,35506
1509788729,35556,35556
1509790472,35583,35583
1509791435,35417,35417
1509792333,35444,35444
1509792987,35529,35529
1509793835,35407,35407
1509794063,35435,35435
1509795029,35280,35280
1509795927,35307,35307
1509796581,35393,35393
1509797433,35296,35296
1509798506,35461,35461
1509799498,35205,35205
1509801033,35245,35245
1509803127,35055,35055
1509804630,34897,34897
1509805828,34689,34689
1509806734,34637,34637
1509808468,34512,34512
1509809412,8244,8244
1509810146,34206,34206
1509811621,34023,34023
1509812422,34043,34043
1509812902,34056,34056
1509813934,33754,33754
1509815431,33651,33651
1509816369,33687,33687
1509817223,33426,33426
1509818181,33445,33445
1509819252,8244,8244
1509820227,33146,33146
1509821098,8244,8244
1509822105,33014,33014
