DateTime,Entries,UniqueIPs
1509440578,9622,9622
1509442824,9628,9628
1509444629,9644,9644
1509445703,9696,9696
1509446740,9640,9640
1509448234,9653,9653
1509449124,9689,9689
1509450025,9669,9669
1509451281,9650,9650
1509452129,9690,9690
1509453043,9657,9657
1509453887,9676,9676
1509454590,9711,9711
1509455428,9667,9667
1509457343,9681,9681
1509459269,9717,9717
1509460529,9718,9718
1509462869,9737,9737
1509463845,9696,9696
1509464672,9696,9696
1509465700,9699,9699
1509466529,9737,9737
1509467440,9706,9706
1509469799,9766,9766
1509471387,9738,9738
1509472980,9752,9752
1509474034,9800,9800
1509474937,9763,9763
1509477268,9777,9777
1509478945,9752,9752
1509480628,9774,9774
1509482377,9758,9758
1509483185,9795,9795
1509484255,9797,9797
1509486032,9801,9801
1509486927,9841,9841
1509487829,9809,9809
1509489032,9785,9785
1509491439,9971,9971
1509492310,10018,10018
1509493344,10010,10010
1509494688,10052,10052
1509495630,10097,10097
1509496828,10110,10110
1509497782,10154,10154
1509498633,10122,10122
1509500159,10139,10139
1509501021,10156,10156
1509502227,10180,10180
1509503464,10188,10188
1509504401,10245,10245
1509506722,10297,10297
1509507748,10270,10270
1509510032,10332,10332
1509511349,10309,10309
1509512186,10338,10338
1509513034,10347,10347
1509514112,10402,10402
1509515131,10381,10381
1509516862,10400,10400
1509517715,10453,10453
1509518727,10429,10429
1509521127,10516,10516
1509522021,10463,10463
1509525334,10558,10558
1509526433,10594,10594
1509527429,10612,10612
1509528280,10663,10663
1509530177,10676,10676
1509531031,10673,10673
1509532829,10701,10701
1509533784,10749,10749
1509534622,10727,10727
1509535697,10779,10779
1509536722,10742,10742
1509538227,10753,10753
1509539718,10754,10754
1509542057,10803,10803
1509543024,10782,10782
1509544859,10792,10792
1509545660,10832,10832
1509546501,10946,10946
1509547531,11004,11004
1509548977,11162,11162
1509550949,11302,11302
1509552074,11297,11297
1509553826,11371,11371
1509554547,11423,11423
1509556464,11469,11469
1509557299,11512,11512
1509558138,11475,11475
1509558979,11518,11518
1509559830,11529,11529
1509560899,11576,11576
1509561745,11565,11565
1509563033,11551,11551
1509565219,11560,11560
1509566092,11592,11592
1509567027,11590,11590
1509568097,11640,11640
1509568938,11597,11597
1509570867,11615,11615
1509571705,11651,11651
1509572720,11619,11619
1509573554,11608,11608
1509574520,11649,11649
1509575300,11683,11683
1509576320,11683,11683
1509577825,11685,11685
1509579913,11662,11662
1509581428,11669,11669
1509582924,11661,11661
1509585318,11693,11693
1509586220,11664,11664
1509586938,11669,11669
1509588449,11680,11680
1509589326,11712,11712
1509592227,11705,11705
1509594017,11713,11713
1509594917,11757,11757
1509595825,11748,11748
1509597005,11710,11710
1509597924,11726,11726
1509599426,11742,11742
1509601773,11757,11757
1509603029,11765,11765
1509604945,11755,11755
1509606860,11791,11791
1509607994,11787,11787
1509610227,11814,11814
1509610458,11825,11825
1509611426,11814,11814
1509612148,11822,11822
1509614112,11851,11851
1509615314,11802,11802
1509616218,11835,11835
1509617219,11833,11833
1509619340,11803,11803
1509620141,11837,11837
1509621027,11819,11819
1509623036,12163,12163
1509624063,12353,12353
1509625824,12369,12369
1509626544,12382,12382
1509627384,12416,12416
1509628228,12401,12401
1509629299,12450,12450
1509630319,12410,12410
1509631824,12408,12408
1509633628,12388,12388
1509634552,12430,12430
1509635426,12410,12410
1509637340,12383,12383
1509639260,12388,12388
1509640220,12340,12340
1509640939,12353,12353
1509642628,12343,12343
1509643477,12377,12377
1509644418,12312,12312
1509645317,12340,12340
1509646457,12345,12345
1509648321,12307,12307
1509649744,12313,12313
1509651739,12268,12268
1509653424,12286,12286
1509654896,12279,12279
1509655825,12277,12277
1509656461,12241,12241
1509657321,12272,12272
1509658519,12265,12265
1509659444,12268,12268
1509660626,12277,12277
1509661654,12314,12314
1509662546,12269,12269
1509663409,12297,12297
1509664229,12279,12279
1509666137,12267,12267
1509669864,12263,12263
1509672620,12223,12223
1509673518,12218,12218
1509675025,12201,12201
1509676827,12159,12159
1509677778,12200,12200
1509678857,12197,12197
1509681017,12196,12196
1509682023,12195,12195
1509683119,12247,12247
1509684140,12193,12193
1509686064,12181,12181
1509687744,12163,12163
1509689661,12178,12178
1509690613,12140,12140
1509691839,12179,12179
1509693024,12177,12177
1509694941,12124,12124
1509696629,12133,12133
1509698541,12136,12136
1509700465,12130,12130
1509701650,12098,12098
1509702620,12102,12102
1509703831,12085,12085
1509705626,12021,12021
1509706524,12058,12058
1509707427,12022,12022
1509708620,11963,11963
1509709519,12015,12015
1509711026,11932,11932
1509712197,11834,11834
1509713123,11835,11835
1509714863,11823,11823
1509715829,11776,11776
1509716719,11825,11825
1509718153,11786,11786
1509720143,11717,11717
1509721265,11695,11695
1509722124,11743,11743
1509723621,11727,11727
1509724520,11781,11781
1509726497,11802,11802
1509727452,11757,11757
1509729258,11784,11784
1509730222,11747,11747
1509730938,11777,11777
1509732351,11734,11734
1509733225,11766,11766
1509734419,11693,11693
1509735974,11698,11698
1509736824,11739,11739
1509737299,11755,11755
1509738137,11696,11696
1509738983,11734,11734
1509739822,11692,11692
1509741023,11661,11661
1509743429,11673,11673
1509744797,11652,11652
1509745824,11691,11691
1509746941,11637,11637
1509748219,11628,11628
1509749429,11653,11653
1509750919,11660,11660
1509751824,11605,11605
1509752538,11631,11631
1509754524,11611,11611
1509755420,11557,11557
1509756140,11546,11546
1509756980,11572,11572
1509758057,11556,11556
1509758923,11583,11583
1509759738,11548,11548
1509761427,11533,11533
1509763521,11521,11521
1509764546,11505,11505
1509765623,11542,11542
1509766823,11488,11488
1509767728,11516,11516
1509768625,11497,11497
1509769675,11557,11557
1509770542,11486,11486
1509771603,11475,11475
1509772457,11508,11508
1509773429,11486,11486
1509774139,11478,11478
1509776064,11497,11497
1509777025,11458,11458
1509777892,11480,11480
1509779424,11481,11481
1509781518,11447,11447
1509782376,11438,11438
1509783264,11465,11465
1509784224,11434,11434
1509784941,11434,11434
1509785780,11472,11472
1509786857,11441,11441
1509787806,11373,11373
1509788720,11385,11385
1509790459,11390,11390
1509791423,11196,11196
1509792324,10958,10958
1509792978,10988,10988
1509794058,10753,10753
1509795019,10718,10718
1509795923,10720,10720
1509796576,10750,10750
1509797424,10709,10709
1509798501,10751,10751
1509799493,10685,10685
1509801024,10671,10671
1509803119,10644,10644
1509804625,10638,10638
1509805817,10615,10615
1509806723,10620,10620
1509808460,10628,10628
1509810136,10601,10601
1509811614,10830,10830
1509812417,10864,10864
1509812897,10922,10922
1509813926,10893,10893
1509815423,10912,10912
1509816363,10932,10932
1509817219,10865,10865
1509818176,10917,10917
1509820219,10849,10849
1509822100,10845,10845
1509822919,10874,10874
1509823819,10833,10833
1509824718,10845,10845
1509825376,10861,10861
1509826229,10855,10855
1509827116,10892,10892
1509828022,10829,10829
1509828979,10855,10855
1509829825,10833,10833
1509831739,10837,10837
1509833425,10874,10874
1509834496,10922,10922
1509835344,10862,10862
1509837030,10867,10867
1509838097,10905,10905
1509839777,10873,10873
1509840626,10864,10864
1509841697,10911,10911
1509843316,10895,10895
1509844225,10892,10892
1509845297,10938,10938
1509847442,10888,10888
1509848424,10920,10920
1509848901,10934,10934
1509849922,10888,10888
1509851719,10916,10916
1509852619,10881,10881
1509853339,10874,10874
1509855026,10898,10898
1509857119,10915,10915
1509859697,10929,10929
1509860536,10867,10867
1509861377,10903,10903
1509862223,10883,10883
1509863133,10914,10914
1509864138,10847,10847
1509864976,10875,10875
1509865826,10851,10851
1509867739,10810,10810
1509869206,10821,10821
1509870023,10848,10848
1509872737,10809,10809
1509873627,10844,10844
1509874527,10803,10803
1509876625,10875,10875
1509877698,10903,10903
1509879876,10842,10842
1509880776,10872,10872
1509881301,10890,10890
1509882139,10837,10837
1509883558,10839,10839
1509884423,10876,10876
1509885737,10824,10824
1509886580,10850,10850
1509887658,10842,10842
1509888619,10794,10794
1509889519,10804,10804
1509891257,10813,10813
1509892097,10842,10842
1509893119,10740,10740
1509893777,10775,10775
1509894626,10715,10715
1509895822,10624,10624
1509896536,10614,10614
1509897659,10576,10576
1509898521,10603,10603
1509899297,10627,10627
1509900322,10561,10561
1509901367,10547,10547
1509902423,10593,10593
1509903739,10560,10560
1509905425,10562,10562
1509907519,10519,10519
1509909023,10518,10518
1509911307,10482,10482
1509913223,10489,10489
1509914537,10453,10453
1509915379,10478,10478
1509916464,10472,10472
1509918139,10461,10461
1509919160,10442,10442
1509921024,10449,10449
1509921833,10421,10421
1509922683,10440,10440
1509923658,10413,10413
1509924483,10442,10442
1509926507,10383,10383
1509927258,10412,10412
1509928218,10396,10396
1509928937,10390,10390
1509929887,10436,10436
1509930863,10476,10476
1509931821,10483,10483
1509932537,10513,10513
1509933378,10596,10596
1509934227,10631,10631
1509935301,10731,10731
1509936321,10731,10731
1509937260,10744,10744
1509938119,10792,10792
1509939458,10802,10802
1509940519,10826,10826
1509941659,10832,10832
1509942617,10800,10800
1509943337,10809,10809
1509945260,10830,10830
1509946099,10870,10870
1509946939,10817,10817
1509947778,10848,10848
1509948623,10843,10843
1509949820,10813,10813
1509950544,10829,10829
1509952458,10866,10866
1509953297,10897,10897
1509954319,10840,10840
1509954979,10863,10863
1509956063,10860,10860
1509956903,10892,10892
1509957920,10843,10843
1509958580,10867,10867
