DateTime,Entries,UniqueIPs
1509755105,18335,18335
1509755706,18307,18307
1509756304,18293,18293
1509756904,18262,18262
1509757505,18252,18252
1509758104,18212,18212
1509758705,18157,18157
1509759304,18159,18159
1509759608,18158,18158
1509760205,18123,18123
1509760806,1814,1814
1509761405,18118,18118
1509762004,18119,18119
1509762604,18117,18117
1509763205,18105,18105
1509763804,18095,18095
1509764404,18103,18103
1509765004,18125,18125
1509765604,18121,18121
1509766203,18139,18139
1509766803,18155,18155
1509767404,18169,18169
1509768005,18193,18193
1509768604,18198,18198
1509769204,18197,18197
1509769803,18209,18209
1509770404,15793,15793
1509771005,18224,18224
1509771604,18232,18232
1509772204,18252,18252
1509772805,18249,18249
1509773405,18255,18255
1509774005,18261,18261
1509774603,18284,18284
1509775205,18288,18288
1509775804,18343,18343
1509776404,18351,18351
1509777005,18354,18354
1509777603,18353,18353
1509778204,18351,18351
1509778808,18315,18315
1509779404,18303,18303
1509780004,18304,18304
1509780605,18297,18297
1509781204,18297,18297
1509781804,18320,18320
1509782405,18338,18338
1509783004,18340,18340
1509783604,18365,18365
1509784204,18366,18366
1509784804,18382,18382
1509785106,18399,18399
1509785704,18397,18397
1509786304,18403,18403
1509786904,18380,18380
1509787805,18351,18351
1509788405,18319,18319
1509789003,18318,18318
1509789604,1891,1891
1509790203,18301,18301
1509790803,18304,18304
1509791403,18311,18311
1509792004,18415,18415
1509792604,18404,18404
1509793205,18407,18407
1509793804,18420,18420
1509794404,18455,18455
1509795003,18443,18443
1509795605,18431,18431
1509796209,18373,18373
1509796805,18378,18378
1509797404,18379,18379
1509798004,18362,18362
1509798604,18348,18348
1509799204,18351,18351
1509799803,18348,18348
1509800405,18341,18341
1509801004,18339,18339
1509801604,18342,18342
1509802204,18319,18319
1509802806,18297,18297
1509803404,18340,18340
1509804006,18354,18354
1509804604,18345,18345
1509805206,18313,18313
1509805804,18307,18307
1509806404,18392,18392
1509807005,18384,18384
1509807606,18388,18388
1509808204,18392,18392
1509808803,18417,18417
1509809406,18397,18397
1509810005,18381,18381
1509810605,18380,18380
1509811208,18362,18362
1509811805,18375,18375
1509812406,18346,18346
1509813002,18394,18394
1509813604,18412,18412
1509814204,18409,18409
1509814804,18406,18406
1509815402,18397,18397
1509815705,18387,18387
1509816304,18386,18386
1509816904,18387,18387
1509817503,18376,18376
1509818104,18382,18382
1509818703,18426,18426
1509819304,18532,18532
1509819904,18524,18524
1509820504,18517,18517
1509821105,18498,18498
1509821704,18486,18486
1509822307,18425,18425
1509822904,18451,18451
1509823504,18465,18465
1509824104,18460,18460
1509824704,18496,18496
1509825304,18494,18494
1509825904,18505,18505
1509826503,18558,18558
1509827104,18561,18561
1509827704,18581,18581
1509828305,18566,18566
1509828903,18566,18566
1509829504,18574,18574
1509830103,18585,18585
1509830703,18591,18591
1509831005,18606,18606
1509831604,18614,18614
1509832203,18628,18628
1509832507,18602,18602
1509833104,18606,18606
1509833703,18615,18615
1509834305,18626,18626
1509834904,18642,18642
1509835503,18656,18656
1509836104,18663,18663
1509836406,18656,18656
1509837004,18652,18652
1509837608,18651,18651
1509838508,18650,18650
1509839110,18686,18686
1509839706,18696,18696
1509840304,18719,18719
1509840904,18759,18759
1509841507,18777,18777
1509842105,18786,18786
1509842707,18784,18784
1509843304,18793,18793
1509843606,18796,18796
1509844204,18813,18813
1509844804,18825,18825
1509845403,18838,18838
1509846007,18842,18842
1509846604,18868,18868
1509847212,18880,18880
1509847807,18873,18873
1509848404,18895,18895
1509849007,18905,18905
1509849606,18915,18915
1509850208,18912,18912
1509850804,18922,18922
1509851106,18919,18919
1509851704,18926,18926
1509852306,18932,18932
1509853208,18941,18941
1509853805,18950,18950
1509854108,18952,18952
1509854706,18955,18955
1509855306,18966,18966
1509855907,19003,19003
1509856222,19024,19024
1509856805,19032,19032
1509857409,19035,19035
1509858008,19030,19030
1509858316,19018,19018
1509858907,19054,19054
1509859509,19062,19062
1509860104,19075,19075
1509860706,19082,19082
1509861303,19077,19077
1509861905,19130,19130
1509862806,19103,19103
1509863405,19105,19105
1509864003,19113,19113
1509864604,19114,19114
1509865205,19118,19118
