DateTime,AddedIPs,RemovedIPs
1507277763,72,60
1507283525,72,61
1507285685,61,52
1507291444,111,115
1507297204,116,99
1507304884,86,70
1507310643,134,154
1507316414,170,122
1507322406,65,70
1507326244,64,87
1507330085,116,147
1507338007,137,145
1507345685,130,177
1507349524,87,98
1507355283,158,132
1507362964,110,106
1507370646,135,104
1507376404,74,63
1507380245,73,62
1507384085,120,101
1507393685,125,107
1507397524,68,61
1507403284,75,66
1507407124,96,145
1507410965,57,74
1507416722,117,148
1507424413,123,133
1507430165,98,87
1507434003,142,180
1507439764,80,90
1507447444,114,96
1507454163,129,83
1507461843,121,108
1507467607,131,89
1507473363,83,70
1507477203,108,116
1507482963,76,68
1507490883,134,124
1507494723,69,74
1507498567,74,86
1507504323,78,140
1507510811,118,149
1507518484,140,147
1507526164,160,181
1507530004,83,58
1507535764,70,60
1507539612,60,63
1507541524,64,42
1507547285,105,93
1507553045,54,59
1507556884,120,78
1507566725,84,101
1507574405,174,116
1507578244,125,161
1507586644,92,151
1507592403,143,139
1507598163,46,78
1507603923,142,148
1507611611,147,177
1507619283,152,129
1507626963,114,110
1507632964,75,61
1507636814,100,84
1507644483,60,55
1507646403,64,57
1507650245,121,86
1507661044,127,131
1507666803,120,102
1507672564,104,159
1507678323,52,97
1507684323,151,141
1507688163,75,66
1507695845,163,187
1507699684,84,89
1507705444,110,121
1507711204,76,52
1507715045,67,51
1507720803,106,97
1507728486,64,51
1507730413,99,91
1507738083,150,96
1507745764,134,135
1507751523,70,72
1507753444,79,60
1507757284,64,106
1507761123,59,85
1507767124,130,164
1507772884,43,76
1507774805,74,80
1507778645,81,96
1507784412,164,186
1507790164,93,62
1507794006,121,110
1507801684,135,100
1507811284,116,116
1507815124,69,68
1507819203,84,50
1507823044,66,58
1507829045,71,63
1507830965,76,64
1507836967,144,123
1507842723,116,151
1507848486,75,74
1507852324,122,146
1507860246,113,147
1507866005,66,83
1507869843,94,111
1507871764,79,80
1507875605,86,71
1507879445,56,60
1507887125,113,92
1507890965,57,44
1507896723,60,74
1507898645,120,93
1507908484,124,95
1507914485,129,109
1507922404,115,128
1507928164,53,64
1507930085,65,81
1507935844,103,124
1507941605,81,82
1507945444,63,75
1507947603,80,76
1507951925,78,83
1507957925,150,189
1507963923,86,69
1507967764,50,48
1507971611,122,88
1507979764,117,108
1507987444,102,105
1507995126,141,102
1508002805,76,69
1508004724,129,140
1508012643,126,103
1508018412,85,117
1508024164,50,85
1508029924,135,135
1508037603,150,161
1508045284,153,186
1508051044,132,97
1508056805,60,42
1508060643,120,114
1508068329,74,60
1508070253,70,65
1508074324,74,63
1508078163,74,65
1508084165,106,112
1508091844,152,125
1508097612,67,78
1508101443,129,126
1508107203,59,95
1508112964,123,149
1508116803,52,81
1508122564,72,72
1508126413,73,96
1508130244,163,167
1508136003,139,106
1508145603,110,100
1508151364,67,69
1508155212,125,115
1508162883,117,117
1508168645,65,57
1508172483,91,71
1508178245,139,113
1508185924,144,128
1508189763,110,135
1508199604,119,158
1508205618,131,155
1508209445,90,93
1508213286,85,117
1508220965,173,139
1508226723,66,54
1508231523,109,99
1508239203,98,96
1508244965,78,63
1508246884,72,57
1508252645,129,118
1508260324,140,130
1508266083,103,88
1508271845,147,122
1508275684,61,74
1508279524,59,106
1508283364,162,201
1508292964,122,139
1508300643,152,189
1508306417,106,90
1508310965,130,100
1508316723,83,56
1508320564,91,92
1508328244,109,110
1508336164,121,98
1508341923,80,65
1508345764,145,107
1508353443,130,146
1508361124,126,150
1508369043,105,181
