DateTime,AddedIPs,RemovedIPs
1508940983,16,2
1508942900,15,13
1508944822,17,18
1508947969,2,16
1508949854,21,0
1508951797,15,9
1508953704,20,16
1508955637,14,5
1508957545,5,15
1508959472,19,9
1508961370,6,14
1508963312,18,0
1508965235,6,3
1508967156,5,5
1508969064,5,7
1508970997,8,1
1508972894,10,7
1508974824,3,10
1508977012,6,6
1508978892,13,12
1508980861,16,2
1508982752,12,10
1508984654,7,24
1508986571,29,3
1508988491,18,2
1508990436,16,19
1508992347,13,13
1508994514,10,7
1508996428,17,17
1509004096,11,41
1509006040,4,14
1509007949,6,8
1509011771,3,4
1509013708,11,2
1509015639,6,2
1509017563,5,3
1509019492,6,3
1509021407,7,2
1509027149,7,16
1509029080,11,11
1509033156,14,25
1509035062,25,5
1509036985,6,8
1509038912,21,7
1509040909,7,5
1509042758,5,6
1509044807,5,3
1509046822,2,10
1509048744,3,14
1509050664,18,4
1509052836,2,22
1509055050,3,5
1509057156,3,12
1509059190,3,5
1509061477,13,7
1509063868,20,15
1509066006,4,12
1509067927,2,0
1509069854,2,5
1509071797,4,15
1509075973,11,37
1509077786,3,17
1509079690,8,9
1509081626,3,11
1509083542,4,13
1509085452,8,7
1509087382,6,8
1509089309,10,9
1509091223,4,8
1509093136,6,15
1509095067,14,6
1509097099,5,1
1509098905,4,4
1509100827,6,2
1509102752,8,6
1509106605,10,12
1509108491,12,13
1509110672,11,14
1509112579,1,12
1509116445,9,19
1509120266,5,16
1509122198,11,5
1509124117,4,3
1509126027,11,2
1509127953,1,7
1509129871,15,0
1509131800,1,4
1509133703,9,0
1509139690,10,42
1509141643,2,12
1509143797,5,5
1509145949,4,4
1509149766,4,8
1509151695,10,4
1509153615,4,0
1509155548,3,9
1509157452,6,12
1509159391,4,8
1509161290,9,15
1509163235,3,17
1509165149,3,12
1509167067,3,10
1509168970,3,13
1509170905,7,21
1509172822,3,4
1509174746,6,6
1509178597,9,14
1509180494,6,5
1509182434,5,4
1509184356,4,3
1509186266,6,5
1509188168,3,5
1509190097,8,8
1509192031,1,2
1509193948,5,17
1509197771,9,27
1509199697,16,15
1509201629,12,3
1509203545,2,9
1509207381,5,5
1509209301,8,9
1509211222,3,10
1509213136,4,8
1509215291,15,4
1509217240,4,11
1509219148,4,15
1509221073,16,13
1509222967,1,14
1509224900,1,6
1509227469,7,10
1509230074,3,7
1509235107,4,44
1509237642,3,11
1509239512,5,8
1509245290,8,37
1509247221,14,14
1509249138,4,7
1509251051,11,0
1509252967,4,13
1509254890,15,13
1509256840,7,16
1509258992,5,3
1509261500,11,10
1509265464,11,34
1509267381,6,0
1509269308,9,10
1509271214,6,0
1509273146,2,6
1509275064,2,4
1509278903,5,12
1509280821,3,0
1509284663,7,44
1509286576,12,0
1509288494,16,11
1509290425,12,21
1509292339,7,0
1509294254,20,9
1509296179,11,13
1509298106,10,0
1509301942,6,14
1509303862,11,8
1509305777,4,3
1509307690,5,16
1509309626,18,32
1509312051,7,25
1509313941,11,18
1509315854,9,10
1509317779,6,0
1509320118,11,0
1509322097,8,16
1509324009,11,0
1509325929,7,20
1509327854,10,10
1509329772,15,0
1509331691,7,11
1509333622,11,20
1509337455,6,10
1509339384,10,10
1509341293,9,0
1509343217,14,11
1509345145,14,13
1509347061,15,10
1509348970,11,18
1509350892,8,8
1509352808,10,5
1509354749,9,5
1509356668,1,6
1509358577,6,0
1509360504,11,4
