DateTime,Entries,UniqueIPs
1508940983,4740,4827
1508942900,4749,4836
1508944822,4760,4847
1508947969,4747,4834
1508949854,4755,4843
1508951797,4756,4844
1508953704,4753,4840
1508955637,4753,4840
1508957545,4747,4834
1508959472,4761,4848
1508961370,4766,4853
1508963312,4780,4868
1508965235,4784,4872
1508967156,4769,4857
1508969064,4770,4858
1508970997,4767,4854
1508972894,4777,4864
1508974824,4774,4861
1508977012,4765,4852
1508978892,4771,4858
1508980861,4791,4878
1508982752,4789,4876
1508984654,4804,4891
1508986571,4824,4911
1508988491,4815,4902
1508990436,4828,4915
1508992347,4837,4924
1508994514,4843,4928
1508996428,4864,4950
1509004096,4800,4886
1509006040,4802,4889
1509007949,4797,4884
1509011771,4793,4880
1509013708,4797,4886
1509015639,4798,4887
1509017563,4803,4893
1509019492,4809,4899
1509021407,4809,4899
1509027149,4807,4897
1509029080,4810,4900
1509033156,4807,4897
1509035062,4799,4890
1509036985,4805,4896
1509038912,4812,4904
1509040909,4811,4903
1509042758,4813,4905
1509044807,4813,4905
1509046822,4809,4900
1509048744,4802,4892
1509050664,4813,4903
1509052836,4803,4892
1509055050,4808,4897
1509057156,4802,4891
1509059190,4799,4888
1509061477,4795,4884
1509063868,4792,4880
1509066006,4772,4859
1509067927,4746,4832
1509069854,4720,4805
1509071797,4699,4783
1509075973,4685,4770
1509077786,4689,4774
1509079690,4686,4772
1509081626,4682,4768
1509083542,4668,4754
1509085452,4652,4738
1509087382,4650,4736
1509089309,4654,4739
1509091223,4645,4730
1509093136,4640,4725
1509095067,4656,4741
1509097099,4653,4738
1509098905,4653,4738
1509100827,4654,4739
1509102752,4654,4739
1509106605,4617,4702
1509108491,4616,4701
1509110672,4616,4700
1509112579,4600,4684
1509116445,4576,4658
1509120266,4549,4631
1509122198,4551,4632
1509124117,4555,4635
1509126027,4562,4642
1509127953,4558,4639
1509129871,4576,4657
1509131800,4566,4645
1509133703,4567,4646
1509139690,4539,4617
1509141643,4506,4584
1509143797,4507,4585
1509145949,4496,4574
1509149766,4491,4568
1509151695,4488,4565
1509153615,4471,4548
1509155548,4463,4541
1509157452,4449,4526
1509159391,4433,4510
1509161290,4428,4505
1509163235,4415,4493
1509165149,4399,4477
1509167067,4404,4482
1509168970,4387,4463
1509170905,4377,4453
1509172822,4351,4427
1509174746,4360,4436
1509178597,4356,4431
1509180494,4364,4439
1509182434,4362,4437
1509184356,4357,4432
1509186266,4358,4433
1509188168,4351,4426
1509190097,4339,4412
1509192031,4330,4403
1509193948,4323,4396
1509197771,4286,4358
1509199697,4257,4329
1509201629,4245,4317
1509203545,4225,4297
1509207381,4185,4257
1509209301,4171,4242
1509211222,4154,4225
1509213136,4141,4211
1509215291,4158,4229
1509217240,4157,4227
1509219148,4162,4232
1509221073,4155,4226
1509222967,4141,4212
1509224900,4116,4187
1509227469,4068,4139
1509230074,4056,4127
1509235107,4019,4090
1509237642,3997,4068
1509239512,3982,4053
1509245290,3936,4005
1509247221,3932,4001
1509249138,3914,3983
1509251051,3904,3974
1509252967,3901,3972
1509254890,3907,3980
1509256840,3914,3987
1509258992,3910,3983
1509261500,3906,3978
1509265464,3880,3950
1509267381,3866,3937
1509269308,3868,3939
1509271214,3878,3950
1509273146,3875,3947
1509275064,3863,3933
1509278903,3859,3929
1509280821,3816,3886
1509284663,3828,3898
1509286576,3828,3899
1509288494,3820,3893
1509290425,3831,3904
1509292339,3845,3918
1509294254,3857,3930
1509296179,3859,3931
1509298106,3871,3944
1509301942,3859,3932
1509303862,3860,3934
1509305777,3854,3928
1509307690,3845,3919
1509309626,3842,3916
1509312051,3823,3898
1509313941,3836,3911
1509315854,3830,3905
1509317779,3809,3882
1509320118,3819,3892
1509322097,3819,3892
1509324009,3819,3892
1509325929,3805,3877
1509327854,3787,3858
1509329772,3810,3881
1509331691,3818,3889
1509333622,3815,3886
1509337455,3800,3871
1509339384,3804,3875
1509341293,3816,3889
1509343217,3819,3894
1509345145,3816,3891
1509347061,3822,3898
1509348970,3824,3900
1509350892,3822,3898
1509352808,3827,3903
1509354749,3822,3898
1509356668,3814,3889
1509358577,3820,3895
1509360504,3827,3902
1509362411,3819,3893
1509364327,3825,3900
1509366256,3833,3910
1509368183,3823,3900
1509370104,3831,3909
1509373946,3849,3928
1509375860,3855,3934
1509377770,3842,3921
1509379690,3840,3921
1509381620,3841,3923
1509383549,3847,3929
1509385460,3848,3931
1509387384,3860,3943
1509389302,3866,3949
1509393131,3813,3896
1509395079,3809,3892
1509398463,3784,3867
1509400336,3778,3861
1509402265,3767,3853
1509404186,3764,3850
1509406536,3752,3840
1509408712,3738,3826
1509410656,3748,3836
1509412575,3761,3850
1509414492,3761,3849
1509416420,3746,3834
1509418341,3742,3832
1509420251,3743,3833
1509422169,3735,3826
1509424090,3726,3817
1509426029,3715,3806
1509427932,3728,3819
1509429862,3717,3808
1509433700,3722,3813
1509435608,3714,3804
1509437530,3706,3796
1509439455,3711,3801
1509441402,3714,3805
1509445222,3714,3805
1509447141,3716,3807
1509449053,3720,3811
1509450980,3713,3804
1509452902,3713,3804
1509454824,3722,3813
1509456738,3716,3807
1509458670,3719,3810
1509460577,3718,3809
1509462498,3730,3821
1509464412,3733,3824
1509468255,3746,3837
1509470188,3745,3835
1509472106,3739,3828
1509474028,3728,3817
1509475943,3714,3801
1509477859,3705,3791
1509479770,3712,3798
1509482924,3715,3802
1509484825,3720,3807
1509486740,3718,3807
1509488656,3725,3814
1509490855,3722,3811
1509492976,3724,3813
1509494907,3724,3812
1509496810,3719,3807
1509498995,3720,3807
1509500893,3707,3793
