DateTime,AddedIPs,RemovedIPs
1508940983,47,43
1508942900,48,49
1508944822,42,50
1508947969,16,42
1508949854,56,16
1508951797,31,55
1508953704,57,34
1508955637,51,54
1508957545,17,51
1508959472,53,19
1508961370,19,51
1508963312,46,22
1508965235,20,42
1508967156,13,22
1508969064,11,12
1508970997,17,14
1508972894,20,16
1508974824,15,18
1508977012,13,16
1508978892,32,13
1508980861,45,30
1508982752,36,40
1508984654,43,37
1508986571,55,45
1508988491,62,60
1508990436,45,56
1508992347,29,47
1508994514,30,34
1508996428,59,29
1509004096,35,52
1509006040,14,42
1509007949,26,16
1509011771,15,25
1509013708,30,15
1509015639,22,27
1509017563,18,24
1509019492,18,17
1509021407,17,20
1509027149,18,14
1509029080,42,19
1509033156,36,38
1509035062,52,40
1509036985,15,53
1509038912,50,14
1509040909,16,51
1509042758,20,18
1509044807,10,18
1509046822,18,11
1509048744,23,16
1509050664,44,23
1509052836,11,44
1509055050,15,9
1509057156,17,17
1509059190,12,18
1509061477,49,12
1509063868,48,43
1509066006,18,51
1509067927,7,21
1509069854,9,8
1509071797,17,9
1509075973,51,16
1509077786,13,48
1509079690,36,14
1509081626,20,35
1509083542,20,22
1509085452,38,15
1509087382,15,44
1509089309,42,13
1509091223,16,41
1509093136,24,18
1509095067,39,25
1509097099,17,35
1509098905,15,20
1509100827,29,17
1509102752,20,25
1509106605,23,23
1509108491,37,18
1509110672,28,34
1509112579,7,36
1509116445,16,8
1509120266,15,16
1509122198,16,14
1509124117,14,14
1509126027,28,15
1509127953,10,26
1509129871,41,11
1509131800,5,43
1509133703,32,4
1509139690,26,33
1509141643,10,26
1509143797,22,9
1509145949,10,23
1509149766,15,10
1509151695,30,16
1509153615,9,27
1509155548,16,12
1509157452,25,15
1509159391,14,26
1509161290,27,12
1509163235,11,30
1509165149,13,10
1509167067,13,12
1509168970,18,14
1509170905,20,16
1509172822,16,18
1509174746,24,17
1509178597,20,26
1509180494,22,19
1509182434,22,19
1509184356,14,24
1509186266,23,15
1509188168,12,24
1509190097,22,13
1509192031,9,20
1509193948,11,9
1509197771,54,10
1509199697,46,50
1509201629,44,43
1509203545,8,54
1509207381,27,8
1509209301,36,23
1509211222,18,36
1509213136,14,19
1509215291,38,16
1509217240,12,37
1509219148,12,13
1509221073,48,9
1509222967,9,52
1509224900,12,10
1509227469,32,10
1509230074,7,30
1509235107,19,11
1509237642,6,18
1509239512,21,6
1509245290,42,18
1509247221,51,40
1509249138,10,55
1509251051,35,9
1509252967,25,32
1509254890,42,22
1509256840,26,43
1509258992,33,27
1509261500,43,33
1509265464,46,39
1509267381,30,44
1509269308,27,35
1509271214,33,29
1509273146,10,31
1509275064,10,14
1509278903,16,12
1509280821,12,15
1509284663,46,12
1509286576,46,38
1509288494,40,46
1509290425,44,42
1509292339,43,44
1509294254,51,41
1509296179,36,56
1509298106,40,39
1509301942,22,36
1509303862,32,24
1509305777,17,32
1509307690,20,19
1509309626,48,21
1509312051,42,47
1509313941,46,37
1509315854,27,46
1509317779,29,29
1509320118,34,28
1509322097,35,37
1509324009,33,31
1509325929,32,30
1509327854,34,34
1509329772,37,37
1509331691,24,37
1509333622,47,25
1509337455,30,47
1509339384,41,28
1509341293,33,44
1509343217,43,31
1509345145,40,39
1509347061,43,40
1509348970,34,44
1509350892,29,34
1509352808,29,35
1509354749,15,28
1509356668,10,19
1509358577,26,9
1509360504,27,25
1509362411,11,26
1509364327,17,10
1509366256,20,19
1509368183,16,20
1509370104,28,16
1509373946,42,27
1509375860,8,39
1509377770,22,13
1509379690,21,21
1509381620,37,20
1509383549,43,33
1509385460,41,43
1509387384,51,45
1509389302,38,49
1509393131,43,41
1509395079,37,37
1509398463,45,37
1509400336,37,44
1509402265,35,35
1509404186,15,43
1509406536,39,14
1509408712,20,41
1509410656,42,17
1509412575,40,41
1509414492,50,40
1509416420,32,45
1509418341,34,36
1509420251,41,32
1509422169,35,43
1509424090,40,39
1509426029,22,34
1509427932,41,27
1509429862,31,36
1509433700,53,37
1509435608,39,49
1509437530,38,39
1509439455,45,37
1509441402,21,47
1509445222,16,23
1509447141,21,17
1509449053,29,22
1509450980,17,26
1509452902,25,18
1509454824,19,27
1509456738,18,18
1509458670,26,15
1509460577,26,28
1509462498,32,25
1509464412,23,33
1509468255,28,21
1509470188,31,29
1509472106,41,29
1509474028,24,42
1509475943,16,28
1509477859,33,15
1509479770,32,29
1509482924,39,32
1509484825,30,40
1509486740,19,30
1509488656,35,19
1509490855,23,36
1509492976,17,24
1509494907,46,18
1509496810,39,45
1509498995,26,32
1509500893,29,28
1509502826,37,33
1509506669,43,38
1509508574,29,40
1509510491,31,27
1509512427,29,34
1509514350,45,28
1509516264,34,38
1509518182,40,37
1509520101,25,46
1509522009,53,24
1509523934,36,47
1509525852,44,35
1509527779,23,52
1509529693,20,25
1509531623,15,20
1509533548,25,15
1509535468,24,23
1509539291,31,25
1509541477,18,33
1509543378,43,14
1509545295,30,42
1509549152,40,34
1509551071,33,36
1509554213,20,38
1509556359,34,20
1509558264,39,32
1509560439,37,38
1509564266,45,35
1509566205,25,45
1509568138,47,27
1509570094,32,45
1509571953,22,32
1509573875,34,25
1509575809,17,33
1509577725,20,18
1509579848,33,20
1509583949,12,31
1509585870,39,11
1509587784,41,40
1509589704,32,39
1509591636,36,32
1509593533,35,41
1509595458,25,30
1509597633,12,29
1509599547,51,13
1509601461,41,46
1509603393,36,34
1509605550,32,37
1509607461,45,34
1509609389,32,50
1509611313,48,33
1509613246,36,45
1509615150,33,40
1509617078,37,33
1509618973,10,35
1509620892,16,14
1509623567,22,16
1509625481,10,24
1509627397,21,9
1509629298,21,20
1509633149,20,21
1509635075,25,17
1509636976,21,28
1509638894,26,19
1509640829,13,28
1509642749,35,12
1509644657,41,33
1509646584,19,45
1509650440,37,20
1509652347,20,33
1509654339,48,21
1509656171,34,47
1509658221,41,31
1509660043,14,47
1509662202,38,15
1509664118,25,34
1509666014,39,25
1509668159,33,41
1509670355,7,35
1509672270,34,4
1509674203,17,32
1509676096,43,22
1509678049,8,41
1509679951,14,6
1509683777,40,12
1509685716,40,38
1509689555,35,44
1509691453,30,29
1509693401,9,37
1509695313,27,9
1509697242,47,25
1509701064,21,48
1509702990,44,19
1509704920,30,46
1509706819,19,30
1509708764,20,22
1509710676,21,20
1509712596,15,21
1509714511,43,14
1509716436,21,44
1509718346,48,18
1509720269,47,49
1509722194,37,47
1509724391,32,36
1509726514,42,32
1509728415,38,43
1509730353,43,36
1509734183,41,44
1509739957,43,40
1509743784,44,43
1509745690,37,46
1509747643,46,39
1509749554,45,43
1509751732,39,40
1509753879,33,39
1509755782,42,34
1509759611,38,47
1509761539,53,37
1509763452,26,51
1509765375,36,27
1509767292,34,39
1509773048,43,34
1509774972,45,36
1509776890,38,43
1509778828,44,42
1509780746,47,44
1509782659,29,51
1509784573,41,27
1509786503,38,39
1509788420,31,40
1509790343,17,32
1509792247,13,21
1509796099,24,12
1509798023,20,26
1509801850,41,15
1509809771,31,39
1509811698,28,33
1509813631,58,31
1509815545,31,54
1509817472,36,33
1509819404,22,38
1509821307,41,19
1509823216,40,39
1509827055,43,45
1509828986,20,41
1509830902,28,20
1509832837,39,26
1509834736,31,41
1509836664,38,26
