DateTime,AddedIPs,RemovedIPs
1509561374,170,27
1509562358,224,215
1509563294,179,205
1509564284,248,425
1509565217,138,28
1509566210,200,456
1509567141,188,44
1509568145,268,473
1509569061,221,46
1509570100,250,246
1509571226,249,193
1509572184,275,216
1509573131,257,195
1509574113,261,189
1509575325,283,369
1509576261,223,58
1509577228,203,202
1509578204,241,320
1509579137,169,33
1509580130,218,189
1509581332,266,422
1509582520,275,255
1509583460,157,24
1509584429,212,253
1509585397,215,178
1509586346,245,278
1509587313,230,384
1509588284,241,166
1509589217,159,33
1509590190,215,397
1509591148,206,217
1509592365,274,276
1509593306,173,168
1509594274,194,170
1509595217,240,214
1509596196,155,172
1509597147,214,205
1509598113,210,221
1509599070,162,193
1509600025,209,175
1509600998,183,180
1509601980,169,241
1509603025,245,195
1509604117,202,237
1509605063,185,199
1509606023,200,210
1509607008,174,204
1509607941,197,192
1509608908,180,184
1509609865,188,199
1509610819,170,162
1509611797,134,191
1509612733,200,233
1509613710,190,162
1509614655,171,172
1509615625,171,158
1509616584,147,201
1509617547,184,169
1509618498,163,165
1509619472,162,170
1509620434,153,155
1509621373,183,189
1509623584,330,331
1509624496,194,180
1509625487,132,218
1509626426,193,158
1509627413,201,165
1509628350,149,157
1509629304,144,186
1509630261,191,148
1509631253,162,195
1509632175,140,169
1509633166,169,148
1509634096,132,191
1509635081,183,176
1509636029,74,154
1509636993,231,167
1509637943,195,183
1509638899,247,361
1509639868,214,28
1509640834,168,175
1509641783,159,231
1509642766,179,26
1509643697,196,349
1509644662,179,34
1509645889,279,439
1509646830,110,17
1509648041,317,384
1509648976,186,218
1509649936,220,245
1509650912,193,165
1509651861,245,182
1509652844,226,201
1509653789,186,215
1509654774,183,253
1509655701,232,255
1509656681,239,256
1509657631,208,197
1509658856,281,274
1509659773,218,283
1509660751,212,318
1509661696,185,26
1509662670,262,510
1509663631,165,200
1509664599,179,32
1509665537,168,226
1509666532,230,497
1509667479,128,21
1509669928,477,652
1509670832,174,195
1509671788,170,20
1509672754,221,426
1509673714,172,26
1509674680,242,188
1509675637,240,392
1509676574,179,16
1509677558,259,419
1509678494,161,25
1509679473,211,138
1509680425,212,177
1509681388,210,206
1509682349,189,171
1509683306,182,221
1509684272,238,228
1509685261,149,196
1509686178,187,192
1509687166,165,194
1509688100,148,172
1509689072,161,252
1509690017,179,234
1509691002,171,180
1509691932,215,230
1509692914,154,203
1509693856,216,240
1509694819,191,168
1509695784,180,216
1509696752,150,214
1509697705,129,176
1509698669,185,229
1509699620,161,149
1509700607,168,189
1509701538,172,180
1509702517,174,158
1509703462,148,203
1509704423,191,233
1509705394,165,162
1509706339,168,170
1509707318,177,215
1509708267,167,396
1509709229,205,26
1509710207,155,233
1509711134,153,167
1509712127,168,192
1509713060,173,199
1509714058,141,183
1509714975,171,168
1509715946,153,226
1509716912,162,185
1509717884,169,141
1509718826,99,177
1509719793,168,113
1509720735,181,248
1509721768,137,75
1509722912,234,289
1509723857,241,205
1509725096,222,189
1509726032,131,157
1509726997,264,188
1509727933,188,163
1509728921,194,225
1509729857,114,148
1509730826,313,235
1509731788,181,226
1509732735,183,125
1509733703,217,224
1509734669,267,179
1509735613,195,200
1509736594,232,156
1509737542,248,207
1509738509,197,188
1509739463,236,168
1509740425,143,159
1509741387,264,238
1509742343,194,199
1509743297,195,197
1509744281,106,253
1509745210,276,51
1509746172,216,224
1509747155,220,324
1509748100,218,207
1509749061,198,22
1509751750,533,559
1509752920,227,222
1509753885,253,628
1509754838,109,22
1509755788,202,28
1509756745,213,183
1509757708,150,197
1509758655,108,189
1509759628,243,171
1509760575,175,210
1509761545,200,176
1509762512,126,178
1509763458,263,238
1509764434,216,204
1509765380,168,202
1509766359,158,190
1509767299,173,187
1509768263,179,198
1509769237,187,199
1509770176,154,235
1509771145,165,205
1509772109,183,193
1509773054,149,186
1509774025,171,152
1509774989,158,172
1509775975,164,176
1509776897,170,143
1509777876,188,205
1509778834,163,166
1509779784,167,178
1509780763,210,190
1509781699,135,165
1509782665,210,184
1509783626,172,162
1509784589,165,186
1509785543,148,158
1509786508,143,174
1509787471,160,153
1509788426,178,180
1509789374,146,149
1509790360,177,237
1509791299,91,176
1509792253,175,173
1509793249,145,215
1509794177,135,177
1509795849,293,371
1509796824,174,164
1509797780,167,195
1509798741,150,245
1509799704,139,168
1509800658,168,208
1509801626,112,154
1509802583,200,171
1509803540,173,168
1509804494,127,121
1509805469,181,239
1509806423,135,177
1509807375,150,151
1509808358,151,235
1509809295,104,15
1509810253,164,188
1509811255,178,230
1509812186,137,129
1509813153,157,253
1509814096,175,205
1509815091,154,170
1509816031,137,84
1509816991,192,256
1509817932,151,165
1509818921,135,180
1509819852,134,182
1509820819,153,194
1509821797,171,156
1509822735,149,201
1509823704,176,225
1509824672,130,191
1509825621,177,260
1509826594,133,147
1509827536,154,272
1509828524,185,183
1509829461,148,181
1509830415,141,102
1509831400,160,255
1509832346,177,217
1509833307,142,210
1509834253,159,242
1509835226,159,198
1509836190,228,552
1509837146,151,23
1509838245,233,236
