DateTime,Entries,UniqueIPs
1509561374,126840,126840
1509562358,126842,126842
1509563294,126855,126855
1509564284,126864,126864
1509565217,126829,126829
1509566210,126852,126852
1509567141,126870,126870
1509568145,126876,126876
1509569061,126880,126880
1509570100,126896,126896
1509571226,126905,126905
1509572184,126930,126930
1509573131,126970,126970
1509574113,126973,126973
1509575325,126991,126991
1509576261,127005,127005
1509577228,127007,127007
1509578204,127013,127013
1509579137,127008,127008
1509580130,126999,126999
1509581332,126996,126996
1509582520,127018,127018
1509583460,127018,127018
1509584429,127043,127043
1509585397,127060,127060
1509586346,127075,127075
1509587313,127105,127105
1509588284,127141,127141
1509589217,127165,127165
1509590190,127164,127164
1509591148,127191,127191
1509592365,127208,127208
1509593306,127231,127231
1509594274,127237,127237
1509595217,127251,127251
1509596196,127263,127263
1509597147,127273,127273
1509598113,127288,127288
1509599070,127299,127299
1509600025,127303,127303
1509600998,127304,127304
1509601980,127322,127322
1509603025,127341,127341
1509604117,127342,127342
1509605063,127346,127346
1509606023,127357,127357
1509607008,127339,127339
1509607941,127315,127315
1509608908,127285,127285
1509609865,127273,127273
1509610819,127242,127242
1509611797,127223,127223
1509612733,127223,127223
1509613710,127204,127204
1509614655,127185,127185
1509615625,127158,127158
1509616584,127139,127139
1509617547,126998,126998
1509618498,126987,126987
1509619472,126948,126948
1509620434,126919,126919
1509621373,126874,126874
1509623584,126779,126779
1509624496,126776,126776
1509625487,126758,126758
1509626426,126760,126760
1509627413,126766,126766
1509628350,126758,126758
1509629304,126761,126761
1509630261,126761,126761
1509631253,126765,126765
1509632175,126758,126758
1509633166,126748,126748
1509634096,126741,126741
1509635081,126707,126707
1509636029,126684,126684
1509636993,126679,126679
1509637943,126671,126671
1509638899,126659,126659
1509639868,126641,126641
1509640834,126623,126623
1509641783,126623,126623
1509642766,126630,126630
1509643697,126626,126626
1509644662,126645,126645
1509645889,126595,126595
1509646830,126609,126609
1509648041,126618,126618
1509648976,126607,126607
1509649936,126629,126629
1509650912,126619,126619
1509651861,126620,126620
1509652844,126626,126626
1509653789,126634,126634
1509654774,126644,126644
1509655701,126659,126659
1509656681,126652,126652
1509657631,126656,126656
1509658856,126651,126651
1509659773,126644,126644
1509660751,126638,126638
1509661696,126643,126643
1509662670,126640,126640
1509663631,126635,126635
1509664599,126634,126634
1509665537,126640,126640
1509666532,126639,126639
1509667479,126612,126612
1509669928,126591,126591
1509670832,126584,126584
1509671788,126582,126582
1509672754,126591,126591
1509673714,126602,126602
1509674680,126623,126623
1509675637,126635,126635
1509676574,126649,126649
1509677558,126656,126656
1509678494,126667,126667
1509679473,126655,126655
1509680425,126670,126670
1509681388,126666,126666
1509682349,126677,126677
1509683306,126670,126670
1509684272,126696,126696
1509685261,126702,126702
1509686178,126707,126707
1509687166,126716,126716
1509688100,126720,126720
1509689072,126720,126720
1509690017,126715,126715
1509691002,126663,126663
