DateTime,AddedIPs,RemovedIPs
1509561374,644,645
1509562358,812,815
1509563294,756,754
1509564284,809,821
1509565217,601,611
1509566210,709,705
1509567141,760,751
1509568145,760,765
1509569061,830,834
1509570100,820,834
1509571226,855,858
1509572184,808,797
1509573131,819,815
1509574113,866,869
1509575325,995,986
1509576261,962,960
1509577228,796,798
1509578204,697,697
1509579137,810,817
1509580130,763,778
1509581332,889,900
1509582520,977,986
1509583460,650,666
1509584429,816,818
1509585397,722,724
1509586346,914,930
1509587313,742,741
1509588284,748,731
1509589217,655,658
1509590190,760,761
1509591148,743,735
1509592365,926,933
1509593306,588,576
1509594274,682,687
1509595217,821,814
1509596196,603,608
1509597147,753,744
1509598113,878,873
1509599070,710,715
1509600025,754,764
1509600998,647,655
1509601980,671,670
1509603025,903,904
1509604117,783,788
1509605063,702,698
1509606023,811,807
1509607008,715,717
1509607941,772,785
1509608908,592,595
1509609865,773,768
1509610819,767,768
1509611797,567,579
1509612733,795,800
1509613710,723,718
1509614655,752,763
1509615625,630,633
1509616584,560,557
1509617547,769,777
1509618498,699,707
1509619472,732,734
1509620434,597,599
1509621373,794,806
1509623584,1486,1516
1509624496,811,811
1509625487,595,605
1509626426,839,819
1509627413,836,818
1509628350,707,703
1509629304,561,553
1509630261,832,826
1509631253,709,696
1509632175,560,562
1509633166,721,725
1509634096,376,373
1509635081,807,820
1509636029,271,272
1509636993,978,975
1509637943,736,725
1509638899,774,766
1509639868,725,727
1509640834,678,669
1509641783,699,701
1509642766,854,856
1509643697,565,568
1509644662,850,853
1509645889,891,892
1509646830,459,460
1509648041,987,988
1509648976,680,684
1509649936,830,822
1509650912,621,621
1509651861,817,810
1509652844,810,801
1509653789,582,586
1509654774,606,602
1509655701,774,779
1509656681,795,797
1509657631,632,630
1509658856,955,973
1509659773,774,776
1509660751,732,721
1509661696,764,762
1509662670,745,744
1509663631,632,634
1509664599,766,767
1509665537,581,586
1509666532,846,847
1509667479,649,661
1509669928,1602,1670
1509670832,630,649
1509671788,687,692
1509672754,696,694
1509673714,704,693
1509674680,796,796
1509675637,690,682
1509676574,661,644
1509677558,820,801
1509678494,654,643
1509679473,710,709
1509680425,713,705
1509681388,707,715
1509682349,665,658
1509683306,692,691
1509684272,888,879
1509685261,645,641
1509686178,685,687
1509687166,665,660
1509688100,616,624
1509689072,647,644
1509690017,763,773
1509691002,546,533
1509691932,761,763
1509692914,566,569
1509693856,727,728
1509694819,732,733
1509695784,671,675
1509696752,670,662
1509697705,627,622
1509698669,726,732
1509699620,660,658
1509700607,627,624
1509701538,617,603
1509702517,702,695
1509703462,526,526
1509704423,810,817
1509705394,641,637
1509706339,640,642
1509707318,736,737
1509708267,619,625
1509709229,770,761
1509710207,706,712
1509711134,613,626
1509712127,650,657
1509713060,748,747
1509714058,674,663
1509714975,745,732
1509715946,585,583
1509716912,746,736
1509717884,683,684
1509718826,408,414
1509719793,841,847
1509720735,741,741
1509721768,623,618
1509722912,858,866
1509723857,799,791
1509725096,840,830
1509726032,471,472
1509726997,903,900
1509727933,710,707
1509728921,656,648
1509729857,385,387
1509730826,1053,1043
1509731788,652,653
1509732735,633,632
1509733703,683,688
1509734669,824,823
1509735613,601,591
1509736594,715,713
1509737542,779,774
1509738509,657,659
1509739463,912,910
