DateTime,Entries,UniqueIPs
1509561374,2875,2875
1509562358,2872,2872
1509563294,2874,2874
1509564284,2862,2862
1509565217,2852,2852
1509566210,2856,2856
1509567141,2865,2865
1509568145,2860,2860
1509569061,2856,2856
1509570100,2842,2842
1509571226,2839,2839
1509572184,2850,2850
1509573131,2854,2854
1509574113,2851,2851
1509575325,2860,2860
1509576261,2862,2862
1509577228,2860,2860
1509578204,2860,2860
1509579137,2853,2853
1509580130,2838,2838
1509581332,2827,2827
1509582520,2818,2818
1509583460,2802,2802
1509584429,2800,2800
1509585397,2798,2798
1509586346,2782,2782
1509587313,2783,2783
1509588284,2800,2800
1509589217,2797,2797
1509590190,2796,2796
1509591148,2804,2804
1509592365,2797,2797
1509593306,2809,2809
1509594274,2804,2804
1509595217,2811,2811
1509596196,2806,2806
1509597147,2815,2815
1509598113,2820,2820
1509599070,2815,2815
1509600025,2805,2805
1509600998,2797,2797
1509601980,2798,2798
1509603025,2797,2797
1509604117,2792,2792
1509605063,2796,2796
1509606023,2800,2800
1509607008,2798,2798
1509607941,2785,2785
1509608908,2782,2782
1509609865,2787,2787
1509610819,2786,2786
1509611797,2774,2774
1509612733,2769,2769
1509613710,2774,2774
1509614655,2763,2763
1509615625,2760,2760
1509616584,2763,2763
1509617547,2755,2755
1509618498,2747,2747
1509619472,2745,2745
1509620434,2743,2743
1509621373,2731,2731
1509623584,2701,2701
1509624496,2701,2701
1509625487,2691,2691
1509626426,2711,2711
1509627413,2729,2729
1509628350,2733,2733
1509629304,2741,2741
1509630261,2747,2747
1509631253,2760,2760
1509632175,2758,2758
1509633166,2754,2754
1509634096,2757,2757
1509635081,2744,2744
1509636029,2743,2743
1509636993,2746,2746
1509637943,2757,2757
1509638899,2765,2765
1509639868,2763,2763
1509640834,2772,2772
1509641783,2770,2770
1509642766,2768,2768
1509643697,2765,2765
1509644662,2762,2762
1509645889,2761,2761
1509646830,2760,2760
1509648041,2759,2759
1509648976,2755,2755
1509649936,2763,2763
1509650912,2763,2763
1509651861,2770,2770
1509652844,2779,2779
1509653789,2775,2775
1509654774,2779,2779
1509655701,2774,2774
1509656681,2772,2772
1509657631,2774,2774
1509658856,2756,2756
1509659773,2754,2754
1509660751,2765,2765
1509661696,2767,2767
1509662670,2768,2768
1509663631,2766,2766
1509664599,2765,2765
1509665537,2760,2760
1509666532,2759,2759
1509667479,2747,2747
1509669928,2679,2679
1509670832,2660,2660
1509671788,2655,2655
1509672754,2657,2657
1509673714,2668,2668
1509674680,2668,2668
1509675637,2676,2676
1509676574,2693,2693
1509677558,2712,2712
1509678494,2723,2723
1509679473,2724,2724
1509680425,2732,2732
1509681388,2724,2724
1509682349,2731,2731
1509683306,2732,2732
1509684272,2741,2741
1509685261,2745,2745
1509686178,2743,2743
1509687166,2748,2748
1509688100,2740,2740
1509689072,2743,2743
1509690017,2733,2733
1509691002,2746,2746
1509691932,2744,2744
1509692914,2741,2741
1509693856,2740,2740
1509694819,2739,2739
1509695784,2735,2735
1509696752,2743,2743
1509697705,2748,2748
1509698669,2742,2742
1509699620,2744,2744
1509700607,2747,2747
1509701538,2761,2761
1509702517,2768,2768
1509703462,2768,2768
1509704423,2761,2761
1509705394,2765,2765
1509706339,2763,2763
1509707318,2762,2762
1509708267,2756,2756
1509709229,2765,2765
1509710207,2759,2759
1509711134,2746,2746
1509712127,2739,2739
1509713060,2740,2740
1509714058,2751,2751
1509714975,2764,2764
1509715946,2766,2766
1509716912,2776,2776
1509717884,2775,2775
1509718826,2769,2769
1509719793,2763,2763
1509720735,2763,2763
1509721768,2768,2768
1509722912,2760,2760
1509723857,2768,2768
