DateTime,Entries,UniqueIPs
1509561372,1917,1921
1509562356,1914,1918
1509563292,1912,1916
1509564281,1902,1906
1509565215,1906,1910
1509566208,1898,1902
1509567139,1908,1912
1509568142,1900,1904
1509569059,1906,1910
1509570098,1911,1915
1509571223,1907,1911
1509572182,1911,1915
1509573128,1920,1924
1509574110,1917,1921
1509575323,1916,1920
1509576259,1922,1926
1509577225,1933,1937
1509578202,1926,1930
1509579134,1931,1935
1509580128,1929,1933
1509581330,1895,1899
1509582517,1885,1888
1509583457,1903,1906
1509584426,1905,1909
1509585395,1907,1910
1509586343,1908,1911
1509587310,1900,1903
1509588280,1916,1919
1509589215,1935,1938
1509590187,1918,1921
1509591145,1927,1931
1509592362,1937,1941
1509593302,1939,1943
1509594272,1946,1950
1509595214,1941,1946
1509596193,1947,1952
1509597144,1945,1950
1509598109,1943,1949
1509599066,1937,1943
1509600022,1940,1946
1509600996,1937,1943
1509601977,1939,1945
1509603021,1938,1944
1509604115,1932,1938
1509605060,1930,1937
1509606020,1929,1936
1509607005,1923,1930
1509607938,1915,1922
1509608906,1904,1911
1509609862,1903,1910
1509610816,1905,1912
1509611795,1903,1910
1509612730,1885,1892
1509613707,1894,1901
1509614652,1891,1898
1509615622,1887,1894
1509616580,1891,1898
1509617544,1888,1894
1509618495,1886,1892
1509619470,1888,1894
1509620431,1890,1896
1509621371,1873,1879
1509623581,1869,1875
1509624494,1876,1883
1509625484,1869,1876
1509626424,1881,1888
1509627411,1879,1886
1509628348,1876,1883
1509629302,1883,1890
1509630259,1882,1889
1509631250,1884,1891
1509632172,1881,1888
1509633163,1881,1888
1509634093,1884,1891
1509635078,1878,1885
1509636027,1877,1884
1509636990,1885,1892
1509637941,1886,1893
1509638897,1874,1881
1509639865,1882,1889
1509640832,1881,1888
1509641780,1876,1883
1509642763,1881,1888
1509643695,1874,1882
1509644660,1878,1886
1509645886,1865,1873
1509646828,1869,1877
1509648038,1853,1861
1509648974,1854,1862
1509649933,1857,1865
1509650910,1860,1868
1509651858,1865,1873
1509652841,1861,1869
1509653786,1848,1855
1509654772,1837,1844
1509655699,1822,1829
1509656679,1813,1820
1509657628,1811,1818
1509658854,1805,1812
1509659770,1802,1809
1509660748,1802,1809
1509661694,1806,1813
1509662667,1792,1800
1509663629,1783,1791
1509664596,1792,1800
1509665534,1785,1793
1509666530,1755,1763
1509667476,1764,1772
1509669925,1680,1688
1509670829,1667,1675
1509671786,1682,1690
1509672751,1647,1655
1509673711,1654,1662
1509674677,1683,1691
1509675635,1676,1684
1509676572,1705,1713
1509677555,1696,1704
1509678491,1711,1719
1509679470,1716,1724
1509680422,1720,1728
1509681386,1717,1725
1509682347,1720,1728
1509683303,1721,1729
1509684268,1726,1734
1509685258,1721,1729
1509686175,1715,1722
1509687164,1711,1718
1509688098,1712,1719
1509689070,1705,1712
1509690014,1702,1709
1509690999,1703,1710
1509691929,1704,1711
1509692911,1695,1702
1509693854,1689,1696
1509694816,1696,1703
1509695781,1693,1700
1509696750,1693,1700
1509697703,1685,1691
1509698667,1682,1688
1509699617,1680,1686
1509700604,1683,1689
1509701536,1688,1694
1509702515,1685,1691
1509703460,1689,1694
1509704420,1686,1691
1509705392,1690,1695
1509706336,1691,1696
1509707316,1696,1701
1509708265,1672,1677
1509709226,1693,1698
1509710204,1687,1692
1509711132,1693,1698
1509712124,1692,1697
1509713057,1688,1693
1509714055,1683,1688
1509714973,1690,1695
1509715943,1694,1699
1509716910,1691,1696
1509717882,1692,1697
1509718823,1693,1698
1509719791,1695,1700
1509720732,1699,1704
1509721766,1710,1715
1509722910,1709,1714
1509723854,1710,1716
1509725093,1709,1715
1509726029,1707,1713
1509726994,1715,1721
1509727931,1715,1721
1509728918,1721,1727
1509729854,1719,1724
1509730824,1728,1733
1509731785,1726,1731
1509732733,1725,1730
1509733700,1726,1731
1509734666,1727,1732
1509735610,1728,1733
1509736592,1731,1736
1509737539,1727,1732
1509738507,1728,1733
1509739461,1727,1732
1509740422,1732,1737
1509741385,1728,1733
1509742341,1729,1734
1509743295,1729,1734
1509744279,1718,1723
1509745207,1728,1733
1509746169,1724,1729
1509747152,1726,1731
1509748097,1730,1735
1509749059,1738,1743
1509751747,1737,1742
1509752918,1742,1747
1509753882,1647,1652
1509754836,1655,1660
1509755785,1663,1668
1509756742,1659,1663
1509757705,1654,1657
1509758652,1647,1650
1509759626,1654,1657
1509760572,1655,1658
1509761542,1665,1668
1509762509,1667,1670
1509763455,1681,1684
1509764431,1703,1707
1509765378,1703,1706
1509766357,1705,1708
1509767296,1710,1713
1509768260,1718,1721
1509769235,1723,1726
1509770173,1718,1721
1509771142,1724,1727
1509772107,1728,1731
1509773052,1734,1737
1509774023,1733,1736
1509774986,1738,1741
1509775973,1741,1744
1509776894,1752,1755
1509777873,1754,1757
1509778832,1760,1763
1509779782,1760,1763
1509780761,1767,1770
1509781696,1766,1769
1509782662,1776,1779
1509783624,1776,1779
1509784587,1774,1777
1509785541,1773,1776
1509786505,1768,1771
1509787468,1771,1774
1509788423,1781,1784
1509789371,1773,1776
1509790357,1777,1780
1509791296,1775,1778
1509792250,1775,1778
1509793247,1778,1781
1509794175,1781,1784
1509795847,1787,1789
1509796821,1777,1779
1509797777,1781,1783
1509798739,1774,1776
1509799702,1774,1776
1509800655,1770,1772
1509801624,1767,1769
1509802581,1764,1766
1509803537,1763,1765
1509804491,1761,1763
1509805467,1767,1769
1509806420,1771,1773
1509807373,1776,1778
1509808356,1777,1779
1509809293,1788,1790
1509810250,1796,1798
1509811253,1795,1797
1509812184,1794,1796
1509813150,1796,1798
1509814094,1796,1798
1509815089,1795,1797
1509816029,1801,1803
1509816988,1801,1803
1509817929,1807,1809
1509818918,1809,1811
1509819849,1812,1814
1509820816,1810,1812
1509821795,1807,1809
1509822733,1803,1805
1509823701,1804,1806
1509824669,1805,1807
1509825618,1803,1805
1509826592,1804,1806
1509827534,1808,1810
1509828522,1806,1808
1509829458,1800,1802
1509830412,1798,1800
1509831398,1800,1802
1509832344,1795,1797
1509833305,1793,1795
1509834251,1799,1801
1509835224,1803,1805
1509836188,1778,1780
1509837143,1782,1784
1509838242,1776,1778
1509839304,1778,1780
1509840257,1765,1768
1509841242,1730,1733
1509842183,1738,1741
1509843131,1719,1722
1509844113,1666,1669
1509845063,1659,1662
1509846024,1668,1671
1509846981,1644,1647
1509847942,1660,1663
1509848893,1669,1672
1509849878,1646,1649
1509850833,1652,1655
1509851790,1663,1666
1509852750,1683,1686
1509853699,1684,1687
1509854658,1700,1704
1509855623,1697,1701
1509856596,1685,1689
1509857541,1691,1695
1509858493,1691,1695
1509859462,1690,1694
1509860413,1698,1702
1509861382,1697,1701
1509862347,1701,1705
1509863292,1698,1703
1509864254,1700,1705
1509865250,1688,1693
1509866178,1696,1701
1509867147,1694,1699
1509868112,1683,1688
1509869057,1688,1693
1509870022,1686,1691
1509870994,1664,1669
1509871943,1655,1660
