DateTime,AddedIPs,RemovedIPs
1509561372,9,5
1509562356,4,0
1509563292,6,14
1509564281,3,13
1509565215,4,0
1509566208,8,10
1509567139,10,0
1509568142,3,11
1509569059,6,0
1509570098,13,13
1509571223,6,7
1509572182,16,9
1509573128,14,6
1509574110,5,6
1509575323,15,5
1509576259,7,9
1509577225,11,7
1509578202,7,5
1509579134,5,6
1509580128,8,16
1509581330,16,30
1509582517,18,16
1509583457,18,21
1509584426,30,48
1509585395,24,0
1509586343,24,32
1509587310,24,13
1509588280,33,15
1509589215,19,20
1509590187,15,12
1509591145,19,12
1509592362,24,10
1509593302,15,13
1509594272,16,9
1509595214,15,18
1509596193,12,10
1509597144,16,22
1509598109,17,11
1509599066,10,16
1509600022,12,7
1509600996,3,9
1509601977,13,9
1509603021,20,14
1509604115,12,17
1509605060,6,14
1509606020,15,14
1509607005,11,13
1509607938,7,12
1509608906,6,9
1509609862,12,14
1509610816,12,7
1509611795,8,12
1509612730,14,14
1509613707,16,10
1509614652,7,12
1509615622,8,9
1509616580,15,10
1509617544,7,6
1509618495,10,8
1509619470,10,17
1509620431,16,15
1509621371,3,9
1509623581,10,20
1509624494,18,15
1509625484,4,12
1509626424,19,7
1509627411,8,14
1509628348,5,8
1509629302,11,11
1509630259,6,3
1509631250,12,6
1509632172,9,8
1509633163,4,10
1509634093,12,2
1509635078,7,17
1509636027,5,8
1509636990,13,4
1509637941,9,5
1509638897,3,11
1509639865,8,8
1509640832,8,6
1509641780,6,10
1509642763,5,15
1509643695,5,2
1509644660,4,10
1509645886,4,11
1509646828,4,11
1509648038,3,13
1509648974,6,0
1509649933,10,5
1509650910,8,15
1509651858,8,7
1509652841,7,7
1509653786,2,7
1509654772,4,9
1509655699,5,8
1509656679,5,0
1509657628,6,6
1509658854,5,18
1509659770,7,0
1509660748,7,12
1509661694,4,8
1509662667,3,15
1509663629,1,10
1509664596,9,20
1509665534,6,0
1509666530,7,11
1509667476,9,46
1509669925,17,50
1509670829,9,28
1509671786,15,16
1509672751,24,24
1509673711,24,0
1509674677,29,22
1509675635,26,12
1509676572,29,17
1509677555,23,10
1509678491,15,17
1509679470,17,21
1509680422,21,16
1509681386,12,14
1509682347,19,13
1509683303,10,0
1509684268,17,26
1509685258,11,0
1509686175,9,17
1509687164,13,8
1509688098,12,24
1509689070,12,19
1509690014,8,9
1509690999,13,13
1509691929,13,13
1509692911,8,11
1509693854,10,10
1509694816,15,16
1509695781,7,16
1509696750,12,21
1509697703,8,18
1509698667,11,11
1509699617,9,12
1509700604,14,14
1509701536,19,12
1509702515,14,8
1509703460,19,15
1509704420,12,10
1509705392,11,13
1509706336,14,12
1509707316,11,16
1509708265,4,7
1509709226,21,9
1509710204,6,8
1509711132,13,13
1509712124,8,5
1509713057,7,8
1509714055,8,5
1509714973,12,0
1509715943,6,7
1509716910,9,13
1509717882,5,15
1509718823,8,3
1509719791,8,0
1509720732,11,3
1509721766,14,14
1509722910,5,9
1509723854,10,4
1509725093,8,10
1509726029,4,5
1509726994,10,4
1509727931,6,4
1509728918,14,8
1509729854,5,7
1509730824,15,3
1509731785,6,10
1509732733,4,1
1509733700,4,2
1509734666,9,7
1509735610,8,9
1509736592,8,4
1509737539,4,7
1509738507,4,6
1509739461,5,11
1509740422,8,3
1509741385,3,8
1509742341,5,7
1509743295,7,9
1509744279,2,3
1509745207,10,7
1509746169,5,3
1509747152,13,11
1509748097,11,0
1509749059,8,16
1509751747,16,17
1509752918,13,21
1509753882,7,20
1509754836,8,0
1509755785,8,36
1509756742,21,20
1509757705,18,24
1509758652,17,33
1509759626,21,19
1509760572,23,14
1509761542,24,7
1509762509,14,9
1509763455,22,15
1509764431,31,15
1509765378,13,10
1509766357,21,10
1509767296,15,12
1509768260,15,11
1509769235,14,9
1509770173,11,11
1509771142,14,10
1509772107,11,9
1509773052,10,5
1509774023,14,12
1509774986,16,7
1509775973,18,12
1509776894,14,11
1509777873,14,9
1509778832,15,7
1509779782,11,15
1509780761,13,10
1509781696,9,10
1509782662,19,16
1509783624,11,14
1509784587,9,12
1509785541,10,11
1509786505,9,15
1509787468,11,8
1509788423,20,18
1509789371,9,16
1509790357,13,11
1509791296,7,15
1509792250,9,12
1509793247,13,7
1509794175,10,11
1509795847,14,18
1509796821,6,12
1509797777,11,23
1509798739,8,6
1509799702,8,9
1509800655,7,13
1509801624,10,16
1509802581,6,10
1509803537,9,5
1509804491,9,7
1509805467,11,12
1509806420,12,9
1509807373,12,3
1509808356,10,8
1509809293,11,10
1509810250,16,6
1509811253,4,6
1509812184,4,3
1509813150,7,2
1509814094,3,43
1509815089,6,11
1509816029,10,5
1509816988,7,8
1509817929,7,10
1509818918,6,5
1509819849,7,7
1509820816,4,4
1509821795,6,6
1509822733,6,5
1509823701,3,5
1509824669,6,7
1509825618,4,6
1509826592,3,0
1509827534,5,2
1509828522,5,19
1509829458,1,5
1509830412,3,0
1509831398,6,7
1509832344,4,6
1509833305,2,8
1509834251,10,0
1509835224,8,6
1509836188,1,11
1509837143,4,0
1509838242,10,29
1509839304,2,0
1509840257,5,93
1509841242,7,42
1509842183,8,11
1509843131,8,8
1509844113,71,0
1509845063,12,42
1509846024,9,11
1509846981,13,8
1509847942,16,16
1509848893,15,8
1509849878,10,13
1509850833,16,11
1509851790,20,9
1509852750,20,17
1509853699,23,5
1509854658,17,12
1509855623,10,8
1509856596,7,9
1509857541,6,9
1509858493,15,15
1509859462,19,5
1509860413,8,7
1509861382,11,6
1509862347,15,16
1509863292,10,15
1509864254,8,12
1509865250,12,15
1509866178,8,0
1509867147,11,8
1509868112,6,10
1509869057,5,9
1509870022,12,16
1509870994,8,14
1509871943,8,16
1509872913,11,13
1509873866,10,13
1509874837,14,10
1509875775,12,10
1509876748,11,19
1509877711,5,9
1509878650,8,11
1509879620,6,7
1509880608,11,13
1509881565,8,7
1509882506,14,11
1509883484,9,10
1509884410,11,6
1509885386,11,8
1509886333,7,8
1509887320,9,7
1509888249,13,4
1509889214,7,16
1509890195,6,6
1509891144,13,12
1509892090,5,7
1509893079,9,5
1509894020,6,6
1509894992,8,10
1509896206,12,17
1509897128,13,0
1509898104,6,10
1509899049,5,0
1509900023,5,11
1509900980,1,0
1509901932,4,3
1509902916,11,13
1509903853,10,0
1509904819,10,6
1509905794,4,9
1509906734,7,3
1509907711,1,3
1509908672,4,4
1509909613,5,5
1509911340,13,10
1509912258,3,5
1509913235,6,4
1509914447,10,4
1509915642,7,14
1509916588,5,0
1509917545,4,6
1509918502,3,5
1509919475,6,2
1509920423,4,2
1509921373,6,6
1509922341,2,3
1509923316,4,7
1509924248,5,11
1509925228,5,7
1509926197,4,15
1509927355,3,23
1509928348,10,23
1509929299,8,18
1509930269,12,22
1509931222,9,23
1509932176,10,8
1509933143,5,7
1509934103,18,9
1509935049,17,8
1509936023,13,8
1509936980,12,9
1509937945,14,11
1509938895,22,8
1509939855,19,10
1509940829,12,12
1509941788,23,5
1509942751,16,10
1509943710,20,9
1509944672,20,7
1509945613,11,7
1509946595,15,10
1509947557,9,5
1509948504,7,10
1509949465,14,5
1509950410,17,6
1509951381,9,11
1509952364,15,9
1509953302,4,15
1509954256,15,9
1509955228,14,9
1509956191,8,10
1509957138,10,9
1509958109,16,6
1509959082,18,7
1509960012,12,10
1509960984,9,11
1509961944,13,10
1509962905,8,4
1509963865,6,2
1509964821,15,9
1509965781,12,8
1509966755,7,8
1509967692,10,9
1509968653,13,12
1509969643,10,9
1509970580,7,4
1509971556,13,13
1509972521,7,2
1509973468,6,9
1509974666,12,7
1509975628,5,6
1509976588,8,4
1509977555,6,7
1509978489,6,7
1509979463,12,6
1509980421,7,6
1509981391,10,6
1509982346,7,3
1509983307,3,2
1509984261,7,5
1509985235,6,5
1509986187,6,2
1509987140,3,2
1509988091,5,12
1509989069,4,7
1509991580,15,16
1509992655,13,7
1509993610,7,2
1509994582,11,4
1509995550,9,7
1509996492,1,7
1509997449,7,8
1509998436,1,3
1509999373,8,6
1510000348,4,4
1510001291,8,13
1510002275,8,0
1510003226,6,0
1510005418,11,15
1510006349,9,5
1510007306,2,6
1510008249,3,6
1510009251,9,2
1510010172,8,13
1510011155,10,0
1510012092,3,8
1510013090,9,20
1510014041,8,40
1510014976,12,37
1510015944,4,40
1510016909,6,43
1510017850,5,23
1510018833,6,22
1510019786,13,10
1510020757,12,11
1510021691,12,18
1510022686,16,16
1510023631,16,22
1510024605,10,12
1510025550,11,16
1510026500,22,8
1510027460,13,10
1510028444,15,13
1510029373,16,15
1510030350,9,12
1510031291,12,12
1510032275,13,12
1510033210,9,18
1510034217,21,11
1510035137,11,16
1510036114,8,10
1510037048,14,9
1510038037,13,19
1510039331,14,14
1510040426,10,13
1510041388,11,4
1510042360,7,34
1510043295,11,0
1510044254,13,24
1510045249,10,22
1510046177,13,11
1510047148,11,26
1510048097,4,0
1510049080,13,27
1510050029,11,18
1510050984,6,11
1510051946,7,0
1510052897,9,6
1510053852,10,10
