DateTime,AddedIPs,RemovedIPs
1509561372,9,13
1509562356,4,7
1509563292,6,5
1509564281,4,7
1509565215,4,6
1509566208,9,3
1509567139,10,12
1509568142,4,16
1509569059,6,16
1509570098,13,20
1509571223,6,14
1509572182,16,8
1509573128,14,11
1509574110,5,10
1509575323,15,7
1509576259,7,5
1509577225,11,11
1509578202,7,10
1509579134,5,13
1509580128,8,11
1509581330,16,26
1509582517,18,34
1509583457,19,39
1509584426,30,29
1509585395,24,22
1509586343,24,39
1509587310,24,20
1509588280,33,17
1509589215,19,22
1509590187,15,11
1509591145,19,11
1509592362,24,21
1509593302,15,12
1509594272,16,17
1509595214,15,15
1509596193,12,16
1509597144,16,9
1509598109,17,12
1509599066,10,16
1509600022,12,16
1509600996,3,17
1509601977,13,11
1509603021,20,19
1509604115,12,11
1509605060,6,12
1509606020,15,12
1509607005,11,17
1509607938,7,16
1509608906,6,8
1509609862,12,10
1509610816,12,12
1509611795,8,17
1509612730,14,14
1509613707,16,11
1509614652,7,11
1509615622,8,14
1509616580,16,17
1509617544,7,17
1509618495,10,15
1509619470,11,7
1509620431,16,14
1509621371,3,6
1509623581,10,28
1509624494,18,12
1509625484,4,7
1509626424,20,9
1509627411,8,11
1509628348,5,13
1509629302,11,5
1509630259,6,2
1509631250,13,12
1509632172,9,4
1509633163,4,7
1509634093,12,6
1509635078,7,7
1509636027,5,3
1509636990,13,6
1509637941,9,8
1509638897,3,9
1509639865,8,6
1509640832,8,2
1509641780,6,6
1509642763,5,8
1509643695,5,8
1509644660,4,6
1509645886,4,8
1509646828,4,5
1509648038,3,3
1509648974,6,8
1509649933,10,7
1509650910,8,5
1509651858,8,8
1509652841,7,3
1509653786,2,6
1509654772,4,3
1509655699,5,7
1509656679,5,4
1509657628,6,7
1509658854,5,13
1509659770,7,9
1509660748,7,6
1509661694,4,5
1509662667,3,7
1509663629,1,3
1509664596,9,4
1509665534,6,10
1509666530,7,8
1509667476,9,19
1509669925,17,83
1509670829,9,26
1509671786,15,24
1509672751,24,24
1509673711,24,14
1509674677,29,22
1509675635,26,14
1509676572,29,12
1509677555,23,8
1509678491,15,8
1509679470,17,14
1509680422,21,19
