DateTime,Entries,UniqueIPs
1509561372,905,905
1509562356,902,902
1509563292,903,903
1509564281,900,900
1509565215,898,898
1509566208,904,904
1509567139,902,902
1509568142,890,890
1509569059,880,880
1509570098,873,873
1509571223,865,865
1509572182,873,873
1509573128,876,876
1509574110,871,871
1509575323,879,879
1509576259,881,881
1509577225,881,881
1509578202,878,878
1509579134,870,870
1509580128,867,867
1509581330,857,857
1509582517,841,841
1509583457,821,821
1509584426,822,822
1509585395,824,824
1509586343,809,809
1509587310,813,813
1509588280,829,829
1509589215,826,826
1509590187,830,830
1509591145,838,838
1509592362,841,841
1509593302,844,844
1509594272,843,843
1509595214,843,843
1509596193,839,839
1509597144,846,846
1509598109,851,851
1509599066,845,845
1509600022,841,841
1509600996,827,827
1509601977,829,829
1509603021,830,830
1509604115,831,831
1509605060,825,825
1509606020,828,828
1509607005,822,822
1509607938,813,813
1509608906,811,811
1509609862,813,813
1509610816,813,813
1509611795,804,804
1509612730,804,804
1509613707,809,809
1509614652,805,805
1509615622,799,799
1509616580,798,798
1509617544,788,788
1509618495,783,783
1509619470,787,787
1509620431,789,789
1509621371,786,786
1509623581,768,768
1509624494,774,774
1509625484,771,771
1509626424,782,782
1509627411,779,779
1509628348,771,771
1509629302,777,777
1509630259,781,781
1509631250,782,782
1509632172,787,787
1509633163,784,784
1509634093,790,790
1509635078,790,790
1509636027,792,792
1509636990,799,799
1509637941,800,800
1509638897,794,794
1509639865,796,796
1509640832,802,802
1509641780,802,802
1509642763,799,799
1509643695,796,796
1509644660,794,794
1509645886,790,790
1509646828,789,789
1509648038,789,789
1509648974,787,787
1509649933,790,790
1509650910,793,793
1509651858,793,793
1509652841,797,797
1509653786,793,793
1509654772,794,794
1509655699,792,792
1509656679,793,793
1509657628,792,792
1509658854,784,784
1509659770,782,782
1509660748,783,783
1509661694,782,782
1509662667,778,778
1509663629,776,776
1509664596,781,781
1509665534,777,777
1509666530,776,776
1509667476,766,766
1509669925,700,700
1509670829,683,683
1509671786,674,674
1509672751,674,674
1509673711,684,684
1509674677,691,691
1509675635,703,703
1509676572,720,720
1509677555,735,735
1509678491,742,742
1509679470,745,745
1509680422,747,747
1509681386,749,749
1509682347,761,761
1509683303,762,762
1509684268,763,763
1509685258,766,766
1509686175,768,768
1509687164,777,777
1509688098,774,774
1509689070,775,775
1509690014,768,768
