DateTime,Entries,UniqueIPs
1509561374,32299,35662
1509562358,32320,35698
1509563294,32317,35713
1509564284,32139,35493
1509565217,32278,35668
1509566210,32020,35396
1509567141,32193,35625
1509568145,31976,35358
1509569061,32187,35628
1509570100,32186,35621
1509571226,32265,35728
1509572184,32319,35777
1509573131,32395,35876
1509574113,32487,35986
1509575325,32424,35950
1509576261,32634,36243
1509577228,32641,36269
1509578204,32546,36132
1509579137,32709,36334
1509580130,32757,36383
1509581332,32601,36189
1509582520,32657,36280
1509583460,32801,36455
1509584429,32762,36436
1509585397,32797,36468
1509586346,32788,36484
1509587313,32625,36298
1509588284,32675,36350
1509589217,32814,36531
1509590190,32637,36341
1509591148,32617,36332
1509592365,32611,36316
1509593306,32620,36316
1509594274,32633,36320
1509595217,32676,36367
1509596196,32655,36340
1509597147,32667,36361
1509598113,32672,36378
1509599070,32660,36388
1509600025,32707,36433
1509600998,32697,36408
1509601980,32623,36337
1509603025,32688,36429
1509604117,32682,36435
1509605063,32659,36422
1509606023,32651,36445
1509607008,32614,36429
1509607941,32628,36439
1509608908,32626,36434
1509609865,32612,36426
1509610819,32638,36486
1509611797,32574,36430
1509612733,32577,36467
1509613710,32602,36503
1509614655,32616,36529
1509615625,32624,36524
1509616584,32566,36443
1509617547,32580,36462
1509618498,32602,36513
1509619472,32604,36535
1509620434,32602,36531
1509621373,32627,36568
1509623584,32662,36612
1509624496,32682,36625
1509625487,32595,36546
1509626426,32632,36609
1509627413,32670,36655
1509628350,32672,36669
1509629304,32616,36606
1509630261,32657,36663
1509631253,32632,36654
1509632175,32599,36622
1509633166,32617,36647
1509634096,32524,36506
1509635081,32546,36538
1509636029,32452,36429
1509636993,32533,36525
1509637943,32541,36529
1509638899,32406,36331
1509639868,32618,36578
1509640834,32614,36576
1509641783,32547,36526
1509642766,32725,36741
1509643697,32540,36490
1509644662,32722,36712
1509645889,32541,36494
1509646830,32646,36621
1509648041,32558,36481
1509648976,32536,36453
1509649936,32504,36413
1509650912,32531,36440
1509651861,32585,36496
1509652844,32603,36525
1509653789,32562,36463
1509654774,32469,36341
1509655701,32426,36279
1509656681,32403,36249
1509657631,32394,36220
1509658856,32427,36265
1509659773,32374,36200
1509660751,32261,36056
1509661696,32435,36268
1509662670,32145,35882
1509663631,32108,35849
1509664599,32280,36058
1509665537,32221,35989
1509666532,31949,35698
1509667479,32068,35845
1509669928,31916,35632
1509670832,31891,35604
1509671788,32043,35784
1509672754,31807,35473
1509673714,31953,35645
1509674680,31984,35658
1509675637,31791,35407
1509676574,31940,35582
1509677558,31747,35343
1509678494,31888,35517
1509679473,31942,35570
1509680425,31962,35582
1509681388,31964,35575
1509682349,31965,35578
1509683306,31916,35535
1509684272,31910,35511
1509685261,31849,35452
1509686178,31828,35412
1509687166,31806,35395
1509688100,31784,35372
1509689072,31683,35265
1509690017,31638,35220
1509691002,31605,35161
1509691932,31579,35091
1509692914,31514,35003
1509693856,31482,34936
1509694819,31497,34953
1509695784,31453,34887
1509696752,31379,34807
1509697705,31347,34796
1509698669,31304,34739
1509699620,31314,34728
1509700607,31289,34700
1509701538,31268,34679
1509702517,31295,34710
1509703462,31212,34621
1509704423,31177,34615
1509705394,31176,34601
1509706339,31174,34613
1509707318,31138,34575
1509708267,30894,34284
1509709229,31093,34518
1509710207,31013,34444
1509711134,30994,34406
1509712127,30955,34352
1509713060,30914,34320
1509714058,30866,34273
1509714975,30887,34321
1509715946,30802,34236
1509716912,30787,34235
1509717884,30816,34268
1509718826,30733,34178
1509719793,30814,34298
1509720735,30750,34241
1509721768,30825,34332
1509722912,30778,34315
1509723857,30816,34352
1509725096,30844,34378
1509726032,30804,34314
1509726997,30880,34395
1509727933,30906,34408
1509728921,30856,34354
1509729857,30824,34307
1509730826,30910,34412
1509731788,30876,34373
1509732735,30940,34435
1509733703,30916,34395
1509734669,31009,34480
1509735613,30992,34451
1509736594,31064,34526
1509737542,31121,34578
1509738509,31122,34565
1509739463,31198,34652
1509740425,31183,34643
1509741387,31229,34688
1509742343,31227,34658
1509743297,31231,34674
1509744281,31074,34493
1509745210,31337,34821
1509746172,31328,34824
1509747155,31195,34631
1509748100,31208,34633
1509749061,31397,34849
1509751750,31371,34826
1509752920,31358,34815
1509753885,30996,34361
1509754838,31093,34491
1509755788,31290,34721
1509756745,31326,34757
1509757708,31285,34724
1509758655,31199,34624
1509759628,31267,34695
1509760575,31231,34656
1509761545,31246,34666
1509762512,31193,34602
1509763458,31207,34622
1509764434,31206,34630
1509765380,31171,34584
1509766359,31122,34530
1509767299,31099,34506
1509768263,31071,34485
1509769237,31050,34462
1509770176,30952,34366
1509771145,30907,34327
1509772109,30883,34307
1509773054,30850,34285
1509774025,30876,34307
1509774989,30866,34305
1509775975,30853,34286
1509776897,30885,34332
1509777876,30868,34310
1509778834,30858,34297
1509779784,30833,34256
1509780763,30858,34278
1509781699,30816,34220
1509782665,30850,34241
1509783626,30857,34243
1509784589,30844,34238
1509785543,30849,34240
1509786508,30819,34204
1509787471,30825,34198
1509788426,30816,34179
1509789374,30816,34182
1509790360,30746,34113
1509791299,30658,34020
1509792253,30671,34025
1509793249,30581,33934
1509794177,30554,33899
1509795849,30457,33789
1509796824,30490,33817
1509797780,30459,33783
1509798741,30369,33698
1509799704,30318,33638
1509800658,30272,33601
1509801626,30222,33541
1509802583,30258,33572
1509803540,30253,33570
1509804494,30256,33559
1509805469,30196,33480
1509806423,30122,33409
1509807375,30109,33392
1509808358,30003,33275
1509809295,30107,33397
1509810253,30069,33328
1509811255,30020,33259
1509812186,30028,33260
1509813153,29924,33144
1509814096,29891,33109
1509815091,29879,33107
1509816031,29924,33149
1509816991,29844,33055
1509817932,29818,33021
1509818921,29767,32963
1509819852,29715,32915
1509820819,29660,32838
1509821797,29671,32847
1509822735,29623,32802
1509823704,29567,32752
1509824672,29503,32678
1509825621,29415,32593
1509826594,29398,32579
1509827536,29261,32429
1509828524,29252,32406
1509829461,29209,32349
1509830415,29271,32413
1509831400,29156,32268
1509832346,29107,32200
1509833307,29029,32101
1509834253,28942,32015
1509835226,28891,31975
1509836190,28516,31514
1509837146,28660,31689
1509838245,28653,31659
1509839307,28804,31852
1509840259,28791,31828
1509841244,28592,31588
1509842186,28732,31772
1509843133,28697,31715
1509844115,28665,31646
1509845066,28558,31534
1509846026,28702,31707
1509846984,28549,31518
1509847944,28678,31673
1509848896,28696,31710
1509849881,28464,31424
1509850835,28430,31389
1509851792,28428,31389
1509852753,28554,31549
1509853702,28387,31339
1509854660,28528,31518
1509855625,28493,31461
1509856598,28339,31262
1509857544,28479,31419
1509858495,28429,31383
1509859464,28236,31130
1509860415,28363,31289
1509861384,28324,31246
1509862350,28336,31269
1509863295,28271,31198
1509864257,28241,31175
1509865252,28086,31007
1509866180,28174,31111
1509867149,28128,31070
1509868114,27948,30873
1509869060,28064,31007
1509870024,28022,30952
1509870996,27860,30753
1509871945,27907,30815
1509872916,27849,30751
1509873868,27989,30916
1509874839,27911,30796
1509875777,27862,30744
1509876751,28005,30943
1509877714,27879,30773
1509878653,27980,30912
1509879622,27970,30913
1509880611,27754,30630
1509881568,27908,30818
1509882509,27895,30816
1509883487,27884,30805
1509884413,27874,30780
1509885388,27836,30729
1509886335,27808,30699
1509887323,27792,30713
1509888252,27733,30647
1509889216,27702,30626
1509890197,27689,30600
1509891146,27671,30587
1509892092,27676,30587
1509893081,27726,30634
1509894023,27721,30632
1509894994,27742,30653
1509896208,27785,30727
1509897130,27734,30664
1509898106,27737,30667
1509899051,27721,30651
1509900026,27651,30569
1509900983,27656,30592
1509901935,27715,30665
1509902918,27715,30659
1509903856,27802,30752
1509904821,27855,30803
1509905797,27887,30833
1509906736,27933,30895
1509907713,27947,30932
1509908674,27956,30931
1509909615,27952,30931
1509911342,27959,30936
1509912261,27976,30954
1509913237,27977,30959
1509914450,28011,30989
1509915644,28032,31034
1509916590,28020,31014
1509917548,28030,31052
1509918504,28014,31032
1509919478,28063,31075
1509920425,28073,31058
1509921376,28079,31070
1509922343,28136,31139
1509923318,28173,31169
1509924251,28098,31077
1509925231,28128,31103
1509926199,28116,31084
1509927357,28234,31243
1509928350,28213,31213
1509929301,28230,31245
1509930272,28214,31237
1509931225,28246,31268
1509932178,28188,31208
1509933146,28188,31200
1509934106,28213,31218
1509935052,28258,31269
1509936026,28224,31240
1509936983,28237,31257
1509937947,28284,31313
1509938897,28281,31313
1509939857,28309,31322
1509940831,28293,31322
1509941791,28317,31347
1509942754,28298,31329
1509943712,28271,31311
1509944675,28276,31322
1509945615,28271,31328
1509946597,28254,31305
1509947559,28281,31349
1509948507,28298,31363
1509949467,28328,31393
1509950413,28380,31443
1509951383,28366,31422
1509952366,28391,31454
1509953305,28406,31458
1509954258,28444,31503
1509955230,28439,31492
1509956193,28463,31509
1509957141,28473,31525
1509958111,28468,31505
1509959084,28463,31501
1509960015,28462,31495
1509960987,28490,31526
1509961947,28506,31545
1509962908,28415,31443
1509963868,28423,31449
1509964824,28469,31499
1509965783,28452,31469
1509966757,28486,31526
1509967694,28430,31448
1509968655,28510,31539
1509969645,28565,31617
1509970582,28616,31665
1509971559,28605,31649
1509972523,28670,31718
1509973471,28705,31752
1509974670,28616,31640
1509975630,28739,31750
1509976591,28874,31926
1509977557,28805,31847
1509978491,28968,32041
1509979465,29041,32128
1509980423,29097,32198
1509981393,29125,32225
1509982348,29117,32205
1509983310,29177,32272
1509984264,29278,32371
1509985238,29290,32354
1509986190,29374,32445
1509987143,29414,32489
1509988094,29482,32548
1509989072,29532,32605
1509991582,29605,32683
1509992657,29671,32770
1509993613,29666,32760
1509994584,29768,32884
1509995552,29872,33003
1509996495,29886,33006
1509997451,30076,33244
1509998438,30198,33366
1509999375,30276,33456
1510000350,30434,33625
1510001293,30541,33735
1510002278,30731,33941
1510003228,30725,33930
1510005421,31026,34268
1510006351,31118,34338
1510007308,31157,34400
1510008252,31205,34458
1510009254,31257,34523
1510010174,31357,34658
1510011158,31341,34606
1510012095,31428,34728
1510013093,31426,34728
1510014043,31399,34691
1510014978,31406,34718
1510015947,31515,34843
1510016911,31536,34880
1510017853,31558,34906
1510018835,31582,34944
1510019788,31647,34991
1510020759,31721,35076
1510021693,31744,35115
1510022688,31799,35158
1510023633,31814,35163
1510024607,31840,35203
1510025553,31908,35277
1510026502,31921,35290
1510027462,31942,35319
1510028447,31958,35345
1510029376,31995,35400
1510030353,32003,35395
1510031294,32064,35469
1510032278,32084,35490
1510033212,32089,35491
1510034220,32118,35508
1510035140,32189,35581
1510036117,32190,35570
1510037051,32187,35563
1510038040,32212,35589
1510039334,32293,35711
1510040428,32273,35682
1510041390,32300,35721
1510042362,32315,35747
1510043298,32348,35783
1510044257,32374,35816
1510045252,32372,35832
1510046180,32404,35876
1510047151,32421,35906
1510048099,32398,35897
1510049083,32458,35964
1510050031,32520,36047
1510050986,32538,36069
1510051948,32580,36113
1510052899,32551,36081
1510053854,32627,36178
