DateTime,AddedIPs,RemovedIPs
1509561374,38,21
1509562358,33,18
1509563294,39,14
1509564284,51,14
1509565217,34,57
1509566210,39,0
1509567141,25,0
1509568145,36,21
1509569061,32,26
1509570100,41,20
1509571226,45,25
1509572184,51,17
1509573131,46,0
1509574113,47,38
1509575325,51,21
1509576261,49,17
1509577228,38,30
1509578204,31,18
1509579137,33,24
1509580130,43,21
1509581332,40,38
1509582520,32,13
1509583460,31,20
1509584429,35,19
1509585397,37,16
1509586346,39,16
1509587313,46,13
1509588284,37,17
1509589217,34,9
1509590190,38,19
1509591148,38,11
1509592365,61,30
1509593306,14,0
1509594274,25,27
1509595217,45,14
1509596196,19,5
1509597147,31,26
1509598113,35,17
1509599070,32,13
1509600025,37,22
1509600998,31,23
1509601980,32,10
1509603025,43,19
1509604117,35,13
1509605063,26,18
1509606023,32,31
1509607008,27,64
1509607941,40,71
1509608908,36,78
1509609865,32,53
1509610819,42,76
1509611797,19,43
1509612733,46,49
1509613710,38,59
1509614655,41,88
1509615625,35,72
1509616584,24,66
1509617547,38,195
1509618498,37,87
1509619472,29,99
1509620434,44,102
1509621373,47,118
1509623584,88,227
1509624496,56,42
1509625487,37,38
1509626426,39,47
1509627413,37,29
1509628350,37,49
1509629304,35,48
1509630261,37,33
1509631253,26,24
1509632175,37,38
1509633166,26,30
1509634096,18,46
1509635081,46,60
1509636029,15,37
1509636993,55,48
1509637943,37,50
1509638899,35,41
1509639868,37,52
1509640834,27,43
1509641783,30,31
1509642766,48,29
1509643697,33,33
1509644662,39,0
1509645889,38,79
1509646830,26,0
1509648041,48,20
1509648976,39,33
1509649936,48,31
1509650912,39,42
1509651861,44,26
1509652844,32,36
1509653789,42,32
1509654774,35,22
1509655701,33,14
1509656681,33,25
1509657631,26,17
1509658856,45,46
1509659773,35,36
1509660751,28,45
1509661696,29,13
1509662670,28,31
1509663631,25,23
1509664599,34,27
1509665537,28,18
1509666532,26,27
1509667479,26,85
1509669928,61,73
1509670832,24,33
1509671788,24,32
1509672754,21,36
1509673714,30,27
1509674680,31,28
1509675637,21,41
1509676574,23,33
1509677558,28,29
1509678494,18,26
1509679473,25,41
1509680425,30,33
1509681388,30,42
1509682349,25,32
1509683306,26,29
1509684272,43,13
1509685261,27,16
1509686178,24,21
1509687166,26,21
1509688100,27,32
1509689072,24,22
1509690017,35,40
1509691002,22,120
1509691932,28,100
1509692914,28,56
1509693856,39,52
1509694819,42,35
1509695784,35,32
1509696752,29,31
1509697705,22,35
1509698669,38,41
1509699620,28,35
1509700607,32,30
1509701538,24,36
1509702517,34,37
1509703462,21,44
1509704423,40,33
1509705394,25,27
1509706339,32,32
1509707318,32,26
1509708267,33,53
1509709229,55,0
1509710207,33,19
1509711134,40,23
1509712127,37,42
1509713060,38,27
1509714058,32,43
1509714975,35,26
1509715946,24,36
1509716912,25,32
1509717884,23,43
1509718826,19,31
1509719793,38,28
1509720735,38,57
1509721768,27,29
1509722912,78,30
1509723857,56,51
1509725096,62,51
1509726032,24,45
1509726997,59,31
1509727933,42,47
1509728921,43,42
1509729857,34,36
1509730826,70,37
1509731788,39,52
1509732735,49,38
1509733703,56,44
1509734669,81,32
1509735613,51,57
1509736594,69,30
1509737542,73,50
1509738509,35,34
1509739463,45,30
1509740425,31,21
1509741387,44,32
1509742343,36,29
1509743297,35,23
1509744281,7,18
1509745210,59,30
1509746172,38,25
1509747155,35,58
1509748100,35,65
1509749061,30,0
1509751750,98,83
1509752920,31,23
1509753885,36,31
1509754838,20,36
1509755788,42,27
1509756745,39,0
1509757708,25,63
1509758655,14,19
1509759628,46,38
1509760575,24,0
1509761545,35,37
1509762512,18,60
1509763458,49,0
1509764434,32,64
1509765380,28,37
1509766359,22,33
1509767299,22,0
1509768263,33,28
1509769237,38,64
1509770176,29,0
1509771145,35,64
1509772109,34,0
1509773054,34,29
1509774025,24,73
1509774989,34,26
1509775975,34,33
1509776897,35,0
1509777876,43,69
1509778834,30,32
1509779784,24,0
1509780763,36,68
1509781699,27,0
1509782665,49,37
1509783626,36,62
1509784589,38,0
1509785543,35,37
1509786508,19,55
1509787471,47,33
1509788426,22,28
1509789374,30,0
1509790360,38,51
1509791299,15,0
1509792253,39,20
1509793249,38,52
1509794177,40,0
1509795849,74,61
1509796824,53,77
1509797780,40,0
1509798741,39,47
1509799704,21,76
1509800658,32,0
1509801626,19,28
1509802583,53,74
1509803540,35,0
1509804494,25,51
1509805469,38,39
1509806423,19,29
1509807375,19,29
1509808358,26,37
1509809295,26,27
1509810253,40,0
1509811255,31,68
1509812186,31,0
1509813153,32,43
1509814096,40,39
1509815091,28,24
1509816031,23,38
1509816991,33,48
1509817932,33,94
1509818921,19,27
1509819852,22,39
1509820819,24,23
1509821797,27,39
1509822735,22,18
1509823704,34,28
1509824672,20,33
1509825621,24,36
