DateTime,AddedIPs,RemovedIPs
1509561374,644,644
1509562358,819,819
1509563294,765,765
1509564284,823,823
1509565217,613,613
1509566210,716,716
1509567141,756,756
1509568145,769,769
1509569061,836,836
1509570100,818,818
1509571226,860,860
1509572184,801,801
1509573131,815,815
1509574113,868,868
1509575325,992,992
1509576261,962,962
1509577228,794,794
1509578204,697,697
1509579137,810,810
1509580130,775,775
1509581332,882,882
1509582520,967,967
1509583460,640,640
1509584429,797,797
1509585397,706,706
1509586346,905,905
1509587313,728,728
1509588284,726,726
1509589217,645,645
1509590190,760,760
1509591148,734,734
1509592365,925,925
1509593306,579,579
1509594274,680,680
1509595217,818,818
1509596196,599,599
1509597147,752,752
1509598113,873,873
1509599070,713,713
1509600025,757,757
1509600998,650,650
1509601980,671,671
1509603025,902,902
1509604117,786,786
1509605063,704,704
1509606023,806,806
1509607008,716,716
1509607941,778,778
1509608908,592,592
1509609865,771,771
1509610819,770,770
1509611797,566,566
1509612733,797,797
1509613710,722,722
1509614655,763,763
1509615625,633,633
1509616584,553,553
1509617547,776,776
1509618498,706,706
1509619472,735,735
1509620434,597,597
1509621373,817,817
1509623584,1525,1525
1509624496,827,827
1509625487,613,613
1509626426,841,841
1509627413,842,842
1509628350,717,717
1509629304,559,559
1509630261,837,837
1509631253,702,702
1509632175,566,566
1509633166,727,727
1509634096,371,371
1509635081,825,825
1509636029,276,276
1509636993,985,985
1509637943,741,741
1509638899,779,779
1509639868,730,730
1509640834,680,680
1509641783,702,702
1509642766,867,867
1509643697,565,565
1509644662,858,858
1509645889,900,900
1509646830,460,460
1509648041,999,999
1509648976,689,689
1509649936,826,826
1509650912,623,623
1509651861,819,819
1509652844,805,805
1509653789,589,589
1509654774,606,606
1509655701,775,775
1509656681,804,804
1509657631,629,629
1509658856,968,968
1509659773,776,776
1509660751,727,727
1509661696,765,765
1509662670,745,745
1509663631,634,634
1509664599,767,767
1509665537,579,579
1509666532,846,846
1509667479,648,648
1509669928,1604,1604
1509670832,627,627
1509671788,677,677
1509672754,678,678
1509673714,687,687
1509674680,780,780
1509675637,674,674
1509676574,638,638
1509677558,807,807
1509678494,644,644
1509679473,702,702
1509680425,696,696
1509681388,710,710
1509682349,655,655
1509683306,690,690
1509684272,880,880
1509685261,640,640
1509686178,690,690
1509687166,663,663
1509688100,614,614
1509689072,646,646
1509690017,768,768
1509691002,542,542
1509691932,760,760
1509692914,571,571
1509693856,733,733
1509694819,738,738
1509695784,679,679
1509696752,669,669
1509697705,626,626
1509698669,737,737
1509699620,660,660
1509700607,622,622
1509701538,604,604
1509702517,703,703
1509703462,516,516
1509704423,817,817
1509705394,643,643
1509706339,644,644
1509707318,741,741
1509708267,632,632
1509709229,774,774
1509710207,724,724
1509711134,629,629
1509712127,669,669
1509713060,759,759
1509714058,686,686
1509714975,748,748
1509715946,586,586
1509716912,746,746
1509717884,689,689
1509718826,410,410
1509719793,852,852
1509720735,747,747
1509721768,624,624
1509722912,872,872
1509723857,803,803
1509725096,849,849
1509726032,474,474
1509726997,909,909
1509727933,719,719
1509728921,650,650
1509729857,392,392
1509730826,1056,1056
1509731788,661,661
1509732735,646,646
1509733703,695,695
1509734669,833,833
1509735613,602,602
1509736594,717,717
1509737542,789,789
1509738509,665,665
1509739463,919,919
1509740425,532,532
1509741387,925,925
1509742343,699,699
1509743297,710,710
1509744281,309,309
1509745210,1037,1037
1509746172,773,773
1509747155,684,684
1509748100,757,757
1509749061,711,711
1509751750,1982,1982
1509752920,913,913
1509753885,690,690
1509754838,479,479
1509755788,845,845
1509756745,784,784
1509757708,626,626
1509758655,381,381
1509759628,923,923
1509760575,615,615
1509761545,703,703
1509762512,467,467
1509763458,980,980
1509764434,778,778
1509765380,672,672
1509766359,606,606
1509767299,662,662
1509768263,718,718
1509769237,725,725
1509770176,656,656
1509771145,674,674
1509772109,753,753
1509773054,594,594
1509774025,699,699
1509774989,681,681
1509775975,659,659
1509776897,709,709
1509777876,707,707
1509778834,629,629
1509779784,522,522
1509780763,750,750
1509781699,494,494
1509782665,779,779
1509783626,718,718
1509784589,598,598
1509785543,659,659
1509786508,611,611
1509787471,757,757
1509788426,689,689
1509789374,596,596
1509790360,749,749
1509791299,466,466
1509792253,798,798
1509793249,700,700
1509794177,571,571
1509795849,1106,1106
1509796824,726,726
1509797780,635,635
1509798741,691,691
1509799704,532,532
1509800658,721,721
1509801626,491,491
1509802583,880,880
1509803540,679,679
1509804494,592,592
1509805469,626,626
1509806423,542,542
1509807375,591,591
1509808358,611,611
1509809295,535,535
1509810253,622,622
1509811255,747,747
1509812186,633,633
1509813153,678,678
1509814096,753,753
1509815091,651,651
1509816031,595,595
1509816991,680,680
1509817932,630,630
1509818921,627,627
1509819852,634,634
1509820819,535,535
1509821797,672,672
1509822735,660,660
1509823704,679,679
1509824672,543,543
1509825621,737,737
1509826594,624,624
1509827536,661,661
1509828524,741,741
1509829461,557,557
1509830415,695,695
1509831400,684,684
1509832346,727,727
1509833307,574,574
1509834253,711,711
1509835226,654,654
1509836190,677,677
1509837146,652,652
1509838245,809,809
1509839307,817,817
1509840259,684,684
1509841244,458,458
1509842186,746,746
1509843133,600,600
1509844115,656,656
1509845066,624,624
1509846026,674,674
1509846984,604,604
1509847944,624,624
1509848896,672,672
1509849881,707,707
1509850835,558,558
1509851792,648,648
1509852753,672,672
1509853702,649,649
1509854660,688,688
1509855625,582,582
1509856598,666,666
1509857544,608,608
1509858495,676,676
1509859464,616,616
1509860415,681,681
1509861384,562,562
1509862350,708,708
1509863295,543,543
1509864257,635,635
1509865252,568,568
1509866180,508,508
1509867149,613,613
1509868114,632,632
1509869060,650,650
1509870024,673,673
1509870996,614,614
1509871945,769,769
1509872916,609,609
1509873868,612,612
1509874839,636,636
1509875777,530,530
1509876751,841,841
1509877714,546,546
1509878653,611,611
1509879622,706,706
1509880611,554,554
1509881568,682,682
1509882509,673,673
1509883487,721,721
1509884413,584,584
1509885388,586,586
1509886335,723,723
1509887323,641,641
1509888252,644,644
1509889216,645,645
1509890197,581,581
1509891146,681,681
1509892092,583,583
1509893081,763,763
