DateTime,Entries,UniqueIPs
1507687226,418,418
1507690834,415,415
1507694424,400,400
1507698024,392,392
1507701630,391,391
1507705231,392,392
1507708824,391,391
1507712424,392,392
1507716024,395,395
1507719625,395,395
1507723224,393,393
1507726824,394,394
1507734025,392,392
1507737624,390,390
1507744824,389,389
1507748422,333,333
1507752023,343,343
1507755621,325,325
1507759221,324,324
1507762822,332,332
1507766421,332,332
1507770022,328,328
1507773621,336,336
1507777222,340,340
1507784421,335,335
1507788021,334,334
1507791621,336,336
1507795222,337,337
1507798821,335,335
1507802421,332,332
1507806023,334,334
1507809621,332,332
1507813222,335,335
1507816822,336,336
1507820423,333,333
1507824021,333,333
1507827621,333,333
1507831221,332,332
1507834825,327,327
1507838421,320,320
1507842020,319,319
1507845620,319,319
1507849221,319,319
1507852820,317,317
1507856420,314,314
1507860020,313,313
1507863620,313,313
1507874420,312,312
1507888820,313,313
1507896020,314,314
1507899620,316,316
1507903221,316,316
1507914020,315,315
1507917620,316,316
1507921221,329,329
1507924830,339,339
1507932022,341,341
1507935622,338,338
1507942821,335,335
1507946423,328,328
1507950021,327,327
1507953622,326,326
1507957220,327,327
1507960821,326,326
1507964432,328,328
1507968029,341,341
1507971626,355,355
1507975222,364,364
1507978823,376,376
1507982425,385,385
1507986024,390,390
1507989625,391,391
1507993224,393,393
1508004024,394,394
1508007624,393,393
1508011228,394,394
1508014824,397,397
1508018425,396,396
1508022024,403,403
1508025625,413,413
1508029236,415,415
1508032825,417,417
1508040034,419,419
1508047225,418,418
1508050826,419,419
1508054425,422,422
1508058025,426,426
1508061626,428,428
1508065226,429,429
1508068826,434,434
1508072433,436,436
1508076026,435,435
1508079625,432,432
1508083238,433,433
1508086825,430,430
1508090427,428,428
1508094027,421,421
1508097627,416,416
1508101225,414,414
1508104826,415,415
1508108426,413,413
1508112025,412,412
1508115625,411,411
1508119225,410,410
1508122824,411,411
1508130025,412,412
1508133625,413,413
1508137225,414,414
1508140824,416,416
1508155226,433,433
1508158825,430,430
1508162431,431,431
1508166025,430,430
1508169627,431,431
1508173226,434,434
1508176832,438,438
1508180427,441,441
1508184026,439,439
1508187627,442,442
1508191226,442,442
1508194831,441,441
1508198439,439,439
1508202026,437,437
1508205628,437,437
1508209226,438,438
1508216426,436,436
1508220026,434,434
1508223629,435,435
1508227225,433,433
1508230828,432,432
1508234425,431,431
1508238026,431,431
1508245226,433,433
1508256026,434,434
1508263225,432,432
1508270444,431,431
1508274027,432,432
1508277635,434,434
1508281255,436,436
1508284850,438,438
