DateTime,AddedIPs,RemovedIPs
1508040062,2,0
1508043664,2,0
1508047263,0,2
1508050869,4,1
1508058070,0,3
1508061651,1,2
1508065247,1,3
1508068861,3,1
1508072476,3,1
1508076072,0,1
1508079672,2,0
1508083264,0,1
1508086870,2,1
1508090468,1,1
1508094050,2,1
1508097650,2,0
1508101249,1,4
1508104861,3,6
1508108481,2,2
1508112102,3,1
1508115701,2,0
1508119303,1,0
1508122883,1,0
1508126485,1,2
1508130097,1,1
1508133676,1,1
1508137310,0,2
1508140911,2,1
1508144517,2,0
1508148120,3,0
1508151719,1,0
1508155324,0,1
1508158920,0,1
1508162510,1,1
1508173293,1,2
1508176921,2,0
1508180516,0,7
1508184120,3,0
1508187716,1,0
1508191320,2,1
1508194921,0,1
1508198521,0,2
1508202122,0,1
1508205724,0,1
1508209327,0,1
1508212922,2,1
1508216519,1,0
1508220115,0,1
1508223724,1,1
1508227325,3,0
1508230926,0,2
1508234525,0,2
1508238125,3,2
1508241723,1,3
1508245327,1,3
1508256119,2,2
1508259723,1,1
1508263322,1,0
1508266926,2,1
1508270523,3,0
1508274128,0,5
1508277728,1,2
1508281327,2,1
1508284930,6,2
1508288527,1,3
1508292127,1,1
1508295731,3,1
1508299330,2,0
1508302926,0,2
1508310126,2,1
1508313728,0,1
1508317328,0,1
1508320922,0,2
1508324523,1,1
1508328124,1,1
1508331740,1,0
1508335319,1,1
1508338927,1,1
1508342518,1,2
1508346120,1,1
1508349719,0,2
1508353322,0,1
1508356921,0,2
1508360524,0,3
1508364124,0,3
1508367726,1,0
1508371323,0,1
1508374932,1,2
1508378530,1,1
1508385722,1,2
1508392923,0,1
1508396521,1,1
1508400136,3,4
1508403737,2,0
1508407337,1,1
1508410928,0,1
1508414514,2,1
1508418126,2,2
1508421728,1,2
1508425322,1,0
1508432522,0,2
1508436123,2,1
1508439727,1,2
1508443325,0,1
1508446925,1,1
1508450528,2,1
1508454130,4,2
1508457729,2,3
1508461328,0,1
1508464929,1,0
1508468524,1,0
1508472136,0,1
1508475733,1,1
1508482921,2,1
