DateTime,AddedIPs,RemovedIPs
1508246056,66,57
1508249655,87,49
1508253254,80,62
1508256856,67,49
1508260458,68,64
1508264056,60,63
1508267662,69,51
1508271262,58,55
1508274860,53,50
1508278459,83,54
1508282061,56,60
1508285664,70,51
1508289262,49,59
1508292860,52,50
1508296463,57,49
1508300063,58,44
1508303664,62,56
1508307263,58,48
1508310861,47,52
1508314458,59,46
1508318055,69,60
1508321655,74,52
1508325260,73,60
1508328858,87,59
1508332463,82,51
1508336059,56,46
1508339659,57,76
1508343260,81,55
1508346863,89,62
1508350470,70,47
1508354064,62,78
1508357669,82,76
1508361267,69,68
1508364866,58,60
1508368464,56,67
1508372067,51,62
1508375665,67,68
1508379263,50,75
1508382864,58,65
1508386460,56,72
1508390064,53,83
1508393660,46,65
1508397259,62,69
1508400856,64,93
1508404455,66,60
1508408053,41,62
1508411653,69,49
1508415261,69,58
1508418857,66,49
1508422459,59,67
1508426060,76,63
1508429660,64,70
1508433261,75,72
1508436868,93,59
1508440468,71,56
1508444072,86,65
1508447687,78,64
1508451274,82,79
1508454870,65,64
1508458474,69,56
1508462070,77,62
1508465672,72,77
1508469267,58,64
1508472871,81,57
1508476472,84,52
1508480067,68,64
1508483667,75,37
1508487270,58,76
1508490867,60,57
1508494467,66,62
1508498067,70,61
1508501666,65,65
1508505273,68,73
1508508872,85,59
1508512473,67,60
1508516073,62,72
1508519675,74,79
1508523276,72,66
1508526876,83,58
1508530476,56,66
1508534078,83,53
1508537677,65,66
1508541278,69,58
1508544877,50,80
1508548477,40,65
1508552072,67,67
1508555671,56,57
1508559265,53,66
1508562865,54,54
1508566465,51,53
1508570067,69,50
1508573671,55,49
1508577280,65,50
1508580871,48,53
1508584473,68,50
1508588072,71,59
1508591678,74,63
1508595274,67,75
1508598876,74,72
1508602468,62,61
1508606073,58,77
1508609673,50,58
1508613273,62,59
1508616893,53,59
1508620486,46,55
1508624074,59,76
1508627675,57,53
1508631273,45,55
1508634872,62,60
1508638471,43,69
1508642070,60,71
1508645674,51,56
1508649269,52,63
1508652873,54,42
1508656468,61,56
1508660070,45,49
1508663667,50,69
1508667267,64,66
1508670862,49,71
1508674462,46,62
1508678062,66,55
1508681662,67,63
1508685261,45,60
1508688863,53,68
1508692459,53,62
1508696061,53,63
1508699657,52,80
1508703257,64,72
1508706856,61,75
1508710455,51,83
1508714055,43,63
1508717654,45,65
1508721251,71,63
1508724855,124,85
1508728470,94,72
1508732055,91,64
1508735655,77,69
1508739257,66,68
1508742857,65,61
1508746453,69,87
1508750061,56,79
1508753656,61,104
1508757255,71,81
1508760856,63,81
1508764454,64,109
1508768055,74,89
1508771653,62,109
1508775252,35,89
1508778851,106,87
1508782452,90,89
1508786062,80,78
1508789667,102,70
1508793284,74,79
1508796855,59,80
1508800459,68,82
1508804055,71,78
1508807658,60,91
1508811253,57,92
1508814852,65,76
1508818447,52,77
1508822047,55,84
1508825650,39,79
1508829276,57,79
1508832847,52,77
1508836449,62,83
1508840042,61,70
1508843646,64,68
1508847242,74,89
1508850845,43,68
1508854451,70,94
1508858046,63,80
1508861650,63,60
1508865251,64,61
1508868847,54,67
1508872449,57,64
1508876045,60,67
1508879647,53,59
1508883242,59,74
1508886842,64,65
1508890446,57,72
1508894046,58,61
1508897641,53,66
1508901237,56,58
1508904834,72,64
1508908816,80,64
1508912035,59,55
1508915637,65,53
1508919247,58,67
1508922846,80,78
1508926441,74,79
1508930049,74,66
1508933647,67,85
1508937238,49,84
1508940844,64,63
1508944444,61,71
1508948038,59,80
1508951640,49,77
1508955237,61,55
1508958839,63,73
1508962436,51,84
1508966031,65,77
1508969633,50,62
1508973231,61,72
1508976828,49,77
1508980430,47,63
1508984029,69,55
1508987630,56,63
1508991227,51,53
1508994823,53,60
1508998423,55,58
1509002028,61,59
1509005627,67,67
1509009222,63,69
1509012824,66,70
1509016430,61,67
1509020033,59,77
1509023630,69,71
1509027228,71,59
1509030827,69,79
1509034428,75,89
1509038025,65,120
1509041620,56,96
1509045228,71,74
1509048821,51,79
1509052419,52,76
1509056015,65,81
1509059616,65,73
1509063217,61,81
1509066821,67,80
1509070413,53,73
1509074015,53,67
1509077614,159,80
1509081219,197,89
1509084824,143,78
1509088422,118,80
1509092023,108,70
1509095627,101,77
1509099226,84,98
1509102830,89,81
1509106429,77,81
1509110029,78,95
1509113629,70,92
1509117233,60,86
1509120826,63,86
1509124427,70,73
1509128032,70,69
1509131628,84,85
1509135224,67,65
1509138824,54,67
1509142426,64,72
1509146025,61,75
1509149625,52,47
1509153229,63,45
1509156821,57,63
1509160425,63,56
1509164020,58,61
1509167614,55,68
1509171222,49,55
1509174815,48,69
1509178416,59,58
1509182018,63,70
1509185619,64,64
1509189220,53,69
1509192861,61,72
1509200090,50,59
1509203726,265,157
1509207284,84,64
1509210852,95,54
1509214505,75,61
1509218117,64,70
1509221693,65,48
1509225269,71,56
1509228872,57,66
1509232510,50,66
1509236111,51,56
1509239678,59,70
1509243306,60,44
1509246937,71,54
1509250533,51,58
1509254076,48,47
1509257661,64,49
1509261299,67,59
1509264915,52,51
1509268537,50,46
1509272072,46,68
1509275698,57,56
1509279295,63,59
1509282904,70,63
1509286497,52,63
1509290073,54,61
1509293699,65,52
1509297305,45,56
1509300898,64,64
1509304484,50,57
1509308098,54,53
1509311701,59,67
1509315292,51,61
1509318897,49,59
1509322484,49,74
1509326096,41,44
1509329693,51,57
1509333290,51,67
1509336877,47,73
1509340491,55,62
1509344110,37,72
1509347695,41,59
1509351272,37,66
1509354882,51,77
1509358495,46,65
1509362092,62,71
1509365688,47,61
1509369270,60,73
1509372885,75,77
1509376497,69,69
1509380080,70,60
1509383676,68,60
1509387286,72,59
1509390889,56,56
1509394476,58,73
1509398077,85,58
1509401681,59,55
1509405283,69,73
1509408891,70,66
1509412477,59,56
1509416066,62,60
