DateTime,AddedIPs,RemovedIPs
1508126466,0,3
1508130074,2,0
1508133670,2,1
1508137264,2,1
1508140861,1,2
1508144475,1,3
1508148070,1,0
1508151669,1,0
1508155269,1,0
1508158863,1,2
1508162472,2,1
1508166071,6,0
1508169667,2,1
1508176873,1,0
1508180469,1,2
1508184067,3,0
1508187690,2,0
1508191267,0,1
1508194866,2,0
1508202069,1,0
1508205668,1,2
1508209269,2,0
1508212870,7,0
1508216465,1,3
1508220089,0,1
1508223667,1,1
1508227262,2,0
1508230865,0,5
1508234469,2,0
1508238075,0,1
1508241665,3,1
1508245276,1,0
1508248863,2,5
1508252477,3,3
1508256066,1,2
1508259668,2,0
1508263273,2,0
1508266861,8,0
1508270473,0,4
1508274073,7,1
1508277665,1,3
1508281274,1,2
1508284880,1,2
1508288466,0,1
1508292077,1,0
1508295672,0,1
1508299272,2,1
1508302865,3,1
1508306471,6,0
1508310093,2,0
1508317265,1,3
1508320866,3,3
1508324477,0,2
1508328071,2,3
1508331676,4,2
1508335280,3,2
1508338888,3,0
1508342486,1,1
1508346079,2,1
1508349674,2,4
1508353274,8,0
1508356870,1,1
1508360476,1,0
1508364070,5,1
1508367678,8,3
1508371282,0,2
1508374875,0,2
1508378487,0,1
1508382084,1,0
1508385683,0,1
1508389278,0,1
1508392880,2,0
1508396480,0,2
1508400077,0,2
1508403676,0,2
1508407293,0,2
1508410878,0,2
1508414474,1,0
1508418076,1,2
1508421687,0,2
1508425294,4,1
1508428890,5,2
1508432474,0,4
1508436081,2,2
1508439681,0,1
1508443271,2,2
1508446884,2,3
1508450470,0,5
1508454070,1,0
1508457671,1,1
1508461271,0,1
1508464868,0,1
1508468476,1,0
1508479271,2,1
1508482873,1,2
1508486471,1,1
1508490082,2,0
1508493666,3,6
1508497277,2,1
1508500884,2,2
1508504475,2,0
1508508069,1,1
1508511676,2,3
1508515269,1,2
1508518873,1,3
1508522474,2,4
1508526069,1,4
1508533273,1,2
1508536866,0,1
1508540484,1,1
1508544070,1,0
1508554878,1,4
1508558476,0,1
1508562085,0,1
1508565681,2,1
1508569286,1,0
1508572873,0,1
1508576476,2,0
1508580069,0,1
1508583668,0,2
1508587281,2,2
1508590881,0,15
1508594480,1,1
1508598075,0,1
1508601675,1,1
1508605264,4,1
1508608872,3,2
1508612475,1,1
1508616071,3,1
1508619679,0,1
1508623269,1,1
1508626868,2,1
1508630472,1,2
1508634073,2,1
1508637683,1,1
1508641272,1,0
1508644872,0,2
1508652084,0,3
1508655676,2,2
1508659273,1,0
1508662884,2,4
1508666488,2,1
1508670047,1,1
1508673651,0,1
1508677250,0,1
1508680857,2,2
1508684454,0,1
1508688054,2,2
1508691657,0,2
1508695251,0,2
1508698853,4,2
1508702450,1,4
1508706052,4,3
1508709651,5,8
1508713260,1,0
1508716850,2,1
1508720453,0,1
1508727659,5,2
1508731252,1,0
1508734857,1,1
1508738457,1,1
1508742052,3,2
1508745652,2,3
1508749251,0,2
1508752858,4,1
1508760052,4,2
1508763664,0,1
1508770853,0,5
1508774451,1,1
1508778059,1,1
1508781653,2,2
1508785282,2,3
1508788860,2,8
1508792457,1,1
1508796052,3,2
1508799659,2,2
1508803251,1,2
1508806858,0,3
1508810463,5,2
1508814051,1,3
1508817659,1,8
1508824857,0,1
1508828461,2,0
1508832060,2,1
1508839263,2,1
1508842865,1,0
1508846461,1,2
1508850063,4,0
1508853654,0,1
1508857258,1,3
1508864457,1,5
1508868059,2,3
1508871662,1,1
1508875262,1,2
1508878861,3,7
1508882456,3,1
1508886060,0,1
1508889660,2,2
1508893255,1,1
1508896860,2,0
1508900456,0,1
1508904061,1,2
1508907652,2,6
1508911258,0,4
1508914863,1,2
1508918460,0,1
1508922050,2,0
1508925662,4,2
1508929265,2,3
1508932857,2,1
1508936455,3,2
1508940058,2,0
1508947271,3,0
1508950866,5,2
1508954463,2,2
1508958065,2,5
1508961682,2,0
1508965285,8,3
1508968879,2,6
1508972480,1,8
1508976085,4,1
1508979680,4,0
1508983283,1,1
1508986883,0,1
1508997688,3,1
1509001313,0,2
1509004896,1,0
1509008505,7,1
1509015697,3,1
1509019284,0,1
1509022891,5,0
1509026491,1,0
1509030091,2,1
1509033692,1,1
1509037295,4,0
1509040897,0,3
1509044474,2,0
1509048087,0,1
1509051681,4,1
1509055294,2,0
1509058890,5,2
1509062499,1,0
1509066105,2,1
1509069704,0,2
1509073304,1,0
1509076916,0,1
1509080501,0,1
1509087700,1,1
1509091319,1,1
1509094894,1,2
1509098493,2,2
1509102087,3,2
1509105684,22,1
1509109287,23,1
1509112889,21,1
1509116478,6,2
1509120082,1,0
1509123683,2,1
1509127287,3,4
1509130880,9,0
1509134476,4,0
1509138076,3,2
1509141688,6,1
1509145278,1,0
1509148876,1,2
1509152481,3,0
1509159686,0,2
1509163276,0,1
1509166881,6,0
1509170490,1,2
1509174080,1,1
1509181286,1,1
1509184882,0,2
1509188485,1,0
1509192086,1,0
1509199264,5,5
1509202865,2,1
1509206460,1,2
1509210064,5,4
1509213657,6,2
1509217267,3,0
1509220860,3,2
1509224463,2,1
1509228063,0,1
1509231667,1,1
1509235259,5,3
1509238865,4,0
1509242470,1,0
1509246076,3,2
1509249677,0,1
1509253273,1,0
1509256866,3,0
1509260467,2,1
1509264073,0,2
1509267660,0,2
1509271264,3,2
1509274864,1,2
1509278474,2,1
1509282067,3,0
1509285664,1,3
1509289274,4,0
1509292869,2,0
1509296478,0,1
1509300068,0,1
1509303669,0,2
1509307269,3,2
1509310867,2,2
1509314473,4,1
1509318082,4,2
1509321681,1,2
1509325279,1,0
1509328880,1,1
1509332485,2,3
1509336072,1,2
1509343275,2,1
1509346876,1,2
1509350471,2,1
1509357676,0,3
1509361288,1,0
1509364874,0,2
1509368475,0,1
1509372073,5,0
1509375678,1,1
1509379291,1,1
1509382870,1,5
1509386470,0,3
1509390080,1,1
1509393682,3,0
1509397272,1,3
1509400882,4,5
1509404478,2,3
1509408070,3,0
1509411678,0,1
1509415281,0,4
1509418878,0,4
1509422486,0,1
1509426085,1,0
1509429677,3,0
1509433272,2,2
1509436873,0,1
1509440480,1,1
1509444087,0,2
1509447673,1,1
1509451283,1,0
1509454873,1,3
1509458481,6,1
1509462095,2,1
1509465679,3,1
1509469281,2,2
1509472873,1,4
1509476500,1,4
1509480073,1,1
1509483668,3,2
1509487273,6,1
1509490899,5,3
1509494471,4,3
1509498075,2,2
1509501685,1,0
1509505280,0,1
1509508881,1,1
1509512483,0,2
1509516082,2,0
1509519679,0,1
1509523276,1,0
1509526881,2,0
1509530477,2,2
1509534080,0,3
1509537682,3,1
1509541280,2,3
1509544879,0,2
1509548472,1,0
1509552077,0,2
1509555681,2,5
1509559292,0,1
1509562895,1,1
1509566474,0,2
1509570093,0,3
1509573679,2,3
1509577282,3,1
1509584488,2,6
1509588090,1,0
1509598890,1,0
1509602475,0,3
1509606080,1,1
1509609699,2,1
1509613292,1,8
1509616887,2,0
1509620494,1,1
1509624095,17,0
1509627694,3,3
1509631289,1,3
1509634884,0,2
1509638491,0,3
1509642097,3,3
1509645708,3,0
1509649290,5,0
1509652899,1,1
1509656494,0,1
1509660084,2,3
1509663696,1,4
1509667291,2,1
1509670888,2,0
1509674486,2,1
1509678098,0,1
1509681689,1,2
1509685275,0,1
1509688869,1,1
1509692482,1,0
1509696091,0,2
1509703286,1,1
1509706887,0,3
1509710474,1,6
1509714084,3,18
1509717674,0,33
1509721268,3,12
1509724870,2,3
1509728472,3,2
1509732071,3,1
1509735664,2,2
1509739275,3,2
1509742869,0,4
1509746463,1,6
1509750063,1,3
1509753664,0,4
1509757265,3,2
1509760873,3,2
1509764476,0,1
1509771665,0,6
1509775266,2,0
1509778869,0,2
1509782469,0,1
1509786068,2,0
1509789673,2,2
1509793270,2,2
1509796873,4,2
1509800471,0,3
1509804067,0,4
1509807677,2,3
1509811272,1,3
1509814872,1,18
1509818468,1,10
1509822073,3,4
1509825662,0,1
1509829261,1,2
1509832865,1,0
1509836470,1,1
1509840060,2,5
1509843666,1,3
1509847262,0,1
1509850864,1,2
1509854464,1,1
1509858065,4,1
1509861664,0,2
1509865262,3,0
1509868869,0,1
1509872471,0,2
1509876065,2,2
1509879660,1,1
1509886863,4,3
1509890469,2,2
1509894065,2,2
1509897666,1,4
1509901271,5,2
1509904860,1,0
1509908464,1,1
1509912064,2,2
1509915664,1,1
1509919274,1,0
1509922865,2,5
1509926470,1,3
1509933663,0,2
1509937268,0,2
1509940865,0,1
1509944464,1,0
1509948072,2,2
1509951661,2,1
1509962474,3,0
1509966078,0,1
1509969667,0,1
1509973267,0,3
1509976872,0,5
1509980471,1,8
1509984068,5,2
1509987665,3,0
1509991268,1,0
1509994870,1,2
1509998462,2,4
1510002063,2,4
1510005667,1,4
1510009277,2,3
1510012871,0,2
1510016469,1,1
1510020076,3,1
1510030878,0,1
1510034479,1,2
1510038071,1,0
1510041667,3,0
1510045276,1,3
1510048868,2,1
1510052469,3,0
