DateTime,Entries,UniqueIPs
1508463842,6350,6350
1508467682,6363,6363
1508471522,6346,6346
1508477524,6372,6372
1508481364,6361,6361
1508485204,6367,6367
1508490962,6346,6346
1508492883,6383,6383
1508496723,6385,6385
1508502483,6382,6382
1508504411,6399,6399
1508506322,6410,6410
1508510164,6399,6399
1508514002,6430,6430
1508517844,6428,6428
1508521682,6436,6436
1508525763,6468,6468
1508529613,6430,6430
1508533443,6417,6417
1508535363,6408,6408
1508539205,6374,6374
1508541124,6389,6389
1508546883,6356,6356
1508548802,6389,6389
1508550724,6374,6374
1508552644,6350,6350
1508554565,6345,6345
1508558643,6311,6311
1508560562,6318,6318
1508562482,6311,6311
1508564403,6325,6325
1508568484,6334,6334
1508574484,6364,6364
1508576413,6384,6384
1508580243,6383,6383
1508582164,6383,6383
1508584082,6384,6384
1508586004,6387,6387
1508589844,6367,6367
1508593923,6391,6391
1508597767,6408,6408
1508601615,6405,6405
1508603524,6420,6420
1508605445,6408,6408
1508607363,6432,6432
1508611203,6416,6416
1508613123,6432,6432
1508615042,6427,6427
1508620804,6433,6433
1508622722,6408,6408
1508626817,6382,6382
1508628723,6376,6376
1508632564,6356,6356
1508634483,6376,6376
1508636406,6356,6356
1508638322,6346,6346
1508644324,6307,6307
1508648164,6313,6313
1508652014,6326,6326
1508653923,6336,6336
1508657762,6365,6365
1508661603,6376,6376
1508663524,6365,6365
1508665442,6388,6388
1508669284,6398,6398
1508673122,6411,6411
1508676964,6431,6431
1508680811,6428,6428
1508684643,6443,6443
1508686563,6437,6437
1508690404,6445,6445
1508694244,6441,6441
1508700002,6448,6448
1508701923,6439,6439
1508707922,6374,6374
1508712003,6317,6317
1508715842,6360,6360
1508719922,6341,6341
1508723764,6345,6345
1508729525,6298,6298
1508733603,6298,6298
1508737444,6340,6340
1508741284,6335,6335
1508745123,6337,6337
1508748965,6342,6342
1508752812,6353,6353
1508754723,6342,6342
1508757364,6358,6358
1508759281,6370,6370
1508761445,6358,6358
1508763364,6366,6366
1508767208,6369,6369
1508772964,6362,6362
1508774883,6369,6369
1508776804,6359,6359
1508780644,6373,6373
1508784483,6384,6384
1508786402,6373,6373
1508788324,6388,6388
1508790484,6384,6384
1508792410,6365,6365
1508794322,6356,6356
1508798162,6334,6334
1508802004,6327,6327
1508806083,6303,6303
1508810164,6292,6292
1508814008,6272,6272
1508815922,6192,6192
1508820003,6235,6235
1508826003,6258,6258
1508827922,6256,6256
1508832025,6262,6262
1508833923,6280,6280
1508837762,6283,6283
1508843522,6291,6291
1508847362,6307,6307
1508853122,6330,6330
1508857210,6364,6364
1508859122,6354,6354
1508862963,6370,6370
1508867283,6367,6367
1508870646,6361,6361
1508876403,6386,6386
1508878324,6352,6352
1508882165,6278,6278
1508886023,6294,6294
1508887922,6289,6289
1508891762,6251,6251
1508895603,6264,6264
1508899444,6259,6259
1508905444,6236,6236
1508909285,6259,6259
1508911206,6236,6236
1508913125,6235,6235
1508916963,6242,6242
1508920804,6256,6256
1508924643,6272,6272
1508928484,6274,6274
1508932324,6277,6277
1508938084,6277,6277
1508940011,6330,6330
1508941922,6362,6362
1508945762,6330,6330
1508947924,6366,6366
1508953682,6355,6355
1508957522,6359,6359
1508959444,6355,6355
1508961363,6373,6373
1508965207,6289,6289
1508967124,6363,6363
1508969042,6359,6359
1508970963,6298,6298
1508974803,6326,6326
1508976722,6303,6303
1508980804,6303,6303
1508982723,6326,6326
1508984644,6303,6303
1508986564,6275,6275
1508990412,6237,6237
1508994485,6216,6216
1508998324,6255,6255
1509004082,6267,6267
1509006003,6252,6252
1509007922,6261,6261
1509011763,6281,6281
1509015611,6268,6268
1509019443,6294,6294
1509021364,6294,6294
1509025204,6311,6311
1509030962,6324,6324
1509033123,6311,6311
1509035043,6348,6348
1509036965,6336,6336
1509038885,6348,6348
1509040815,6350,6350
1509042723,6365,6365
1509046562,6355,6355
1509052323,6342,6342
1509054243,6325,6325
1509056646,6342,6342
1509058564,6310,6310
1509061205,6328,6328
1509065524,6294,6294
1509069617,6285,6285
1509071763,6282,6282
1509077762,6264,6264
1509079682,6235,6235
1509087363,6283,6283
1509089286,6304,6304
1509093122,6296,6296
1509098883,6293,6293
1509104643,6329,6329
1509106564,6359,6359
1509108482,6371,6371
1509114482,6338,6338
1509118323,6347,6347
1509122164,6356,6356
1509126004,6381,6381
1509127923,6356,6356
1509129844,6385,6385
1509131764,6387,6387
1509133683,6385,6385
1509135602,6387,6387
1509137764,6385,6385
1509139682,6368,6368
1509141613,6354,6354
1509145922,6323,6323
1509150243,6332,6332
1509152163,6292,6292
1509156010,6299,6299
1509157922,6310,6310
1509161762,6246,6246
1509163682,6299,6299
1509165602,6310,6310
1509167523,6223,6223
1509169443,6256,6256
1509173283,6267,6267
1509179042,6284,6284
1509180963,6293,6293
1509182882,6267,6267
1509184814,6302,6302
1509186723,6311,6311
1509190562,6319,6319
