DateTime,AddedIPs,RemovedIPs
1508719814,173,6
1508722814,0,1
1508723715,0,1
1508730014,0,1
1508736015,0,1
1508741414,0,1
1508742316,0,1
1508745314,1,0
1508745615,1,0
1508745915,0,1
1508747123,6,0
1508747415,1,0
1508748014,12,0
1508748314,1,0
1508748616,2,0
1508748914,6,0
1508749215,1,0
1508750114,1,0
1508752814,0,1
1508754014,1,0
1508756114,3,0
1508756714,1,0
1508759115,1,0
1508760914,0,1
1508762115,24,0
1508762714,104,0
1508763314,53,0
1508764213,72,3
1508764814,1,0
1508765714,0,1
1508766014,0,1
1508767214,0,1
1508767817,3,0
1508769914,0,1
1508770514,1,1
1508786722,0,1
1508790017,3,0
1508790615,1,0
1508797523,5,0
1508798114,3,0
1508805015,361,3
1508805313,251,3
1508805614,240,30
1508805914,253,0
1508806215,250,0
1508806815,496,18
1508807114,249,0
1508807714,491,27
1508808015,223,12
1508808614,256,9
1508809215,244,0
1508809517,124,0
1508809816,124,0
1508810114,128,0
1508810415,124,0
1508810714,120,0
1508811314,253,0
1508811615,119,6
1508820915,0,1
1508829014,1,1
1508832014,0,1
1508832915,0,1
1508835616,2,0
1508836215,55,0
1508836516,136,0
1508839514,0,1
1508844318,50,0
1508844914,1,0
1508848214,1,0
1508849714,43,0
1508850615,0,11
1508850914,8,4
1508851520,0,1
1508851815,95,9
1508852416,59,3
1508853314,0,1
1508855118,0,1
1508865014,1,0
1508866215,1,0
1508872815,139,3
1508873414,459,52
1508874015,245,21
1508874315,126,15
1508875214,376,33
1508875515,119,6
1508876115,247,0
1508876415,124,3
1508876718,123,0
1508877314,232,3
1508877913,171,9
1508878814,1,0
1508881814,38,0
1508882114,113,0
1508882419,56,0
1508883314,1,0
1508884815,30,1
1508885414,2,0
1508888716,19,4
1508896215,0,1
1508896514,1,0
1508897114,55,0
1508897415,114,1
1508898015,1,5
1508898318,1,0
1508901914,88,13
1508902815,0,6
1508903414,8,0
1508903715,22,6
1508904915,3,0
1508905815,1,0
1508912721,0,1
