DateTime,Entries,UniqueIPs
1509726032,36605,39581
1509726514,36610,39586
1509726997,36694,39685
1509727597,36751,39744
1509727933,36770,39737
1509728169,36793,39760
1509728415,36795,39763
1509728921,36758,39720
1509729857,36722,39675
1509730353,36725,39678
1509730826,36805,39769
1509731198,36828,39796
1509731788,36784,39735
1509732735,36838,39787
1509733703,36808,39727
1509734183,36804,39723
1509734669,36877,39786
1509734798,36912,39825
1509735613,36899,39816
1509736594,36967,39887
1509737542,37015,39931
1509738509,37079,39993
1509739463,37144,40067
1509739957,37145,40069
1509740425,37142,40076
1509741387,37177,40114
1509741998,37216,40155
1509742343,37211,40108
1509743297,37216,40122
1509743784,37223,40131
1509744281,37069,39969
1509745210,37321,40273
1509745690,37351,40307
1509746172,37350,40330
1509747155,37250,40201
1509747643,37278,40230
1509748100,37295,40241
1509749061,37480,40448
1509749554,37510,40480
1509751750,37492,40479
1509752920,37516,40500
1509753885,37125,40050
1509754838,37217,40183
1509755788,37403,40402
1509756398,34836,37733
1509756745,34863,37757
1509757708,34818,37719
1509758655,34733,37610
1509759628,34809,37695
1509759998,34966,37853
1509760575,34932,37810
1509761545,34953,37835
1509762512,34895,37760
1509763458,34912,37769
1509763598,35011,37869
1509764434,35033,37890
1509765380,35000,37839
1509766359,34961,37820
1509767299,34987,37846
1509768263,34970,37847
1509769237,34948,37834
1509770176,34859,37747
1509770798,34894,37784
1509771145,34856,37738
1509772109,34835,37723
1509773054,34807,37694
1509774025,34824,37705
1509774397,34886,37768
1509774989,34878,37766
1509775975,34863,37742
1509776897,34909,37804
1509777876,34897,37789
1509777998,34963,37861
1509778834,34958,37861
1509779784,34935,37813
1509780763,34965,37848
1509781699,35002,37870
1509782665,35035,37882
1509783626,35038,37863
1509784589,35026,37861
1509785198,35100,37940
1509785543,35100,37943
1509786508,35074,37905
1509787471,35080,37916
1509788426,35087,37909
1509788797,35174,37999
1509789374,35168,37993
1509790360,35086,37910
1509791299,35002,37817
1509792253,35008,37819
1509792398,35108,37922
1509793249,35020,37835
1509794177,34994,37807
1509795849,34896,37697
1509796099,35016,37819
1509796824,35033,37842
1509797780,34999,37789
1509798023,35001,37790
1509798741,34909,37698
1509799704,34946,37734
1509800658,34903,37697
1509801626,34862,37665
1509801850,34868,37671
1509802583,34891,37678
1509803197,34952,37740
1509803540,34952,37755
1509804494,34955,37748
1509805469,34899,37676
1509806423,34840,37622
1509806798,34952,37736
1509807375,34944,37723
1509808358,34849,37630
1509809295,34945,37744
1509809771,34932,37729
1509810253,34899,37669
1509810397,34934,37706
1509811255,34882,37636
1509811698,34882,37636
1509812186,34884,37640
1509813153,34779,37532
1509813631,34781,37534
1509814096,34784,37526
1509815091,34769,37509
1509815545,34769,37509
1509816031,34809,37543
1509816727,34796,37531
1509816991,34726,37460
1509817472,34729,37463
1509817598,34756,37492
1509817932,34724,37450
1509818921,34674,37385
1509819404,34675,37386
1509819852,34621,37324
1509820819,34560,37233
1509821307,34681,37358
1509821797,34693,37365
1509822735,34659,37339
1509823216,34661,37341
1509823704,34612,37298
1509824672,34548,37202
1509824798,34585,37242
1509825621,34511,37172
1509826594,34497,37162
1509827055,34499,37165
1509827536,34380,37026
1509828524,34428,37049
1509828986,34431,37052
1509829461,34392,37007
1509830415,34440,37062
1509830902,34442,37063
1509831400,34330,36927
1509832088,34326,36922
1509832346,34267,36845
1509832837,34271,36849
1509833307,34188,36761
1509834253,34104,36680
1509834736,34108,36685
1509835226,34067,36661
1509835598,34101,36696
1509835932,34063,36658
1509836190,33711,36227
1509836664,33711,36227
1509837146,33840,36389
1509838245,33831,36370
1509838714,33827,36367
1509839307,34012,36599
1509840259,33994,36578
1509840944,33991,36575
1509841244,33786,36339
1509842186,33918,36516
1509842906,31856,34366
1509843133,31804,34304
1509844115,31739,34199
1509844806,31744,34204
1509845066,31642,34106
1509846026,31781,34268
1509846398,31812,34300
1509846736,31809,34297
1509846984,31657,34122
1509847944,31789,34276
1509848645,31787,34275
1509848896,31805,34296
1509849881,31574,34036
1509849998,31610,34075
1509850566,31613,34078
1509850835,31592,34063
1509851792,31607,34090
1509852498,31608,34094
1509852753,31737,34250
1509853702,31614,34109
1509854660,31749,34268
1509855625,31718,34228
1509856334,31723,34233
1509856598,31571,34040
1509857199,31596,34066
1509857544,31732,34218
1509858495,31693,34203
1509859464,31501,33957
1509860185,31499,33957
1509860415,31619,34090
1509860798,31661,34132
1509861384,31626,34099
1509862098,31630,34103
1509862350,31638,34125
1509863295,31570,34046
1509864020,31573,34049
1509864257,31545,34013
1509864398,31568,34036
1509865252,31418,33885
1509865947,31424,33889
1509866180,31512,33991
1509867149,31465,33946
1509867847,31460,33940
1509868114,31318,33789
1509869060,31425,33910
1509870024,31380,33858
1509870996,31234,33689
1509871695,31263,33719
1509871945,31294,33752
1509872916,31247,33705
1509873606,31241,33699
1509873868,31364,33847
1509874839,31274,33708
1509875198,31307,33741
1509875537,31309,33743
1509875777,31263,33684
1509876751,31390,33850
1509877450,31393,33854
1509877714,31272,33688
1509878653,31364,33813
1509878798,31398,33850
1509879377,31403,33855
1509879622,31386,33835
1509880611,31189,33580
1509881302,31194,33585
1509881568,31327,33746
1509882509,31352,33777
1509883208,31349,33775
1509883487,31342,33766
1509884413,31343,33768
1509885129,31342,33767
1509885388,31319,33726
1509885998,31370,33780
1509886335,31332,33739
1509887050,31336,33743
1509887323,31316,33745
1509888252,31277,33703
1509888980,31270,33697
1509889216,31246,33690
1509889599,31310,33754
1509890197,31291,33733
1509890888,31298,33740
1509891146,31292,33732
1509892092,31297,33744
1509892805,31301,33748
1509893081,31348,33789
1509893198,31391,33832
1509894023,31380,33810
1509894732,31382,33812
1509894994,31401,33829
1509896208,31436,33887
1509896652,31436,33886
1509896798,31464,33915
1509897130,31420,33853
1509898106,31409,33826
1509898597,31407,33824
1509899051,31408,33835
1509900026,31339,33751
1509900520,31396,33809
1509900983,31398,33835
1509901212,31423,33862
1509901935,31476,33932
1509902423,31478,33934
1509902918,31503,33964
1509903856,31589,34064
1509903999,31696,34172
1509904334,31695,34172
1509904821,31736,34205
1509905797,31765,34232
1509906267,31773,34240
1509906736,31812,34308
1509907713,31863,34381
1509908182,31865,34383
1509908674,31883,34399
1509909615,31881,34409
1509911342,31922,34459
1509912261,31932,34467
1509913237,31944,34480
1509914450,31975,34505
1509914798,32016,34547
1509915152,32015,34546
1509915644,32032,34562
1509916590,32008,34530
1509917072,32058,34581
1509917548,32064,34609
1509918504,32103,34645
1509918975,32103,34646
1509919478,32144,34690
1509920425,32161,34709
1509920899,32195,34744
1509921376,32209,34779
1509921998,32230,34802
1509922343,32278,34865
1509922848,32279,34866
1509923318,32307,34873
1509924251,32247,34793
1509924993,32254,34800
1509925231,32290,34835
1509925599,32321,34870
1509926199,32297,34829
1509926887,32299,34831
1509927357,32389,34953
1509928350,32358,34914
1509928826,32358,34913
1509929301,30589,33100
1509930272,30562,33074
1509930745,30561,33073
1509931225,30581,33098
1509932178,30523,33032
1509932670,30523,33032
1509932798,30745,33255
1509933146,30725,33235
1509934106,30739,33235
1509934604,30740,33236
1509935052,30792,33295
1509936026,30750,33256
1509936503,30819,33326
1509936983,30842,33360
1509937947,30884,33410
1509938427,30883,33409
1509938897,30885,33406
1509939857,30919,33428
1509940355,30958,33468
1509940831,30939,33449
1509941791,30987,33506
1509942272,31000,33519
1509942754,30973,33473
1509943712,31030,33551
1509944186,31031,33551
1509944675,31050,33579
1509945615,31043,33572
1509946597,31040,33572
1509947198,31093,33628
1509947559,31119,33664
1509948048,31122,33666
1509948507,31131,33655
1509949467,31159,33686
1509950413,31210,33755
1509950799,31274,33819
1509951383,31264,33815
1509951866,31261,33812
1509952366,31289,33842
1509953305,31302,33840
1509953795,31306,33844
1509954258,31332,33875
1509954398,31397,33944
1509955230,31403,33960
1509955712,31406,33963
1509956193,31414,33970
1509957141,31417,33987
1509957630,31425,33995
1509958111,31547,34121
1509959084,31550,34130
1509960015,31556,34141
1509960987,31581,34173
1509961455,31580,34172
1509961598,31649,34242
1509961947,31668,34264
1509962908,31590,34185
1509963401,31593,34188
1509963868,31601,34193
1509964824,31620,34193
1509965304,31766,34342
1509965783,31743,34306
1509966757,31765,34319
1509967236,31761,34314
1509967694,31705,34227
1509968655,31772,34296
1509968798,32022,34549
1509969152,32025,34552
1509969645,32082,34626
1509970582,32119,34652
1509971060,32122,34654
1509971559,32129,34654
1509972523,32265,34796
1509973471,32284,34805
1509974670,32214,34708
1509975158,32214,34709
1509975630,32332,34815
1509975998,32404,34888
1509976591,32522,35028
1509977077,32523,35029
1509977557,32457,34971
1509978491,32606,35149
1509978979,32606,35147
1509979465,32666,35209
1509979598,32720,35264
1509980423,32771,35321
1509980904,32774,35324
1509981393,32801,35356
1509982348,32787,35328
1509982837,32789,35329
1509983310,32908,35470
1509984264,33004,35567
1509985238,33024,35553
1509986190,33106,35643
1509986799,33164,35702
1509987143,33189,35713
1509988094,33246,35754
1509988577,33239,35748
1509989072,33281,35790
1509991582,33379,35926
1509992657,33454,36021
1509993386,33452,36019
1509993613,33464,36037
1509994584,33573,36163
1509994898,33728,36322
1509995301,33730,36324
1509995552,33833,36442
1509996495,33851,36452
1509997222,33857,36458
1509997451,34039,36671
1509998438,34150,36776
1509998498,34191,36823
1509999375,34273,36918
1510000350,34422,37078
1510001055,34425,37080
1510001293,34547,37208
1510002278,34758,37442
1510002982,34745,37427
1510003228,34740,37419
1510005421,35017,37724
1510005698,35064,37772
1510006351,35151,37848
1510006810,35154,37857
1510007308,35193,37910
1510008252,35238,37959
1510009254,35291,38037
1510009299,35348,38096
1510010174,35453,38242
1510011158,35445,38200
1510012095,35519,38305
1510013093,34523,37282
1510014043,34498,37262
1510014978,34487,37250
1510015947,34575,37343
1510016498,34616,37386
1510016911,34633,37417
1510017853,34644,37435
1510018835,34655,37465
1510019788,34725,37537
1510020099,34762,37581
1510020759,34832,37664
1510021693,34850,37691
1510022688,34916,37755
1510023633,34940,37773
1510023699,34970,37804
1510024607,34991,37838
1510025553,35065,37909
1510026502,35084,37934
1510027462,35124,37978
1510028447,35148,38009
1510029376,35193,38078
1510030353,35193,38067
1510030899,35235,38115
1510031294,35295,38182
1510032278,35318,38213
1510033212,35327,38207
1510034220,35361,38227
1510034499,35416,38283
1510035140,35475,38357
1510036117,35485,38355
1510037051,35490,38352
1510038040,35521,38390
1510038099,35635,38508
1510039334,35715,38617
1510039960,35720,38622
1510040428,35713,38613
1510041390,35732,38636
1510041875,35849,38761
1510042362,35864,38786
1510043298,35912,38836
1510043779,35912,38837
1510044257,35947,38882
1510045252,35940,38876
1510045708,35987,38938
1510046180,36021,38988
1510047151,36051,39035
1510047715,36056,39040
1510048099,36036,39024
1510049083,36179,39170
1510049559,36177,39168
1510050031,36243,39244
1510050986,36253,39247
1510051475,36255,39249
1510051948,36300,39307
1510052499,36364,39372
1510052899,36341,39341
1510053401,36343,39343
1510053854,36419,39435
