DateTime,AddedIPs,RemovedIPs
1509573370,60,54
1509574113,41,32
1509575325,44,19
1509576261,38,24
1509577228,41,26
1509578204,35,25
1509579137,34,25
1509580130,36,23
1509581332,45,42
1509582520,47,17
1509583460,35,30
1509584429,53,29
1509585397,57,28
1509586346,47,24
1509587313,61,19
1509588284,65,16
1509589217,46,15
1509590190,45,30
1509591148,52,18
1509592365,55,43
1509593306,25,0
1509594274,35,20
1509595217,49,22
1509596196,59,68
1509597147,34,24
1509598113,38,19
1509599070,31,15
1509600025,36,25
1509600998,26,23
1509601980,34,14
1509603025,44,26
1509604117,31,22
1509605063,30,14
1509606023,41,25
1509607008,32,48
1509607941,41,54
1509608908,28,67
1509609865,40,38
1509610819,35,56
1509611797,21,35
1509612733,44,37
1509613710,43,44
1509614655,40,50
1509615625,34,64
1509616584,28,46
1509617547,33,168
1509618498,35,58
1509619472,31,57
1509620434,45,61
1509621373,34,69
1509623584,65,130
1509624496,42,35
1509625487,21,37
1509626426,45,29
1509627413,28,26
1509628350,24,43
1509629304,39,31
1509630261,29,29
1509631253,31,20
1509632175,32,35
1509633166,18,25
1509634096,28,38
1509635081,29,48
1509636029,10,31
1509636993,47,40
1509637943,30,39
1509638899,28,36
1509639868,31,43
1509640834,28,39
1509641783,33,22
1509642766,1939,1068
1509643214,22,26
1509643697,34,29
1509644662,27,3
1509645889,26,73
1509646830,24,2
1509648041,34,23
1509648976,31,25
1509649936,51,19
1509650912,44,35
1509651861,49,20
1509652844,36,25
1509653789,34,26
1509654774,28,23
1509655701,32,12
1509656681,27,21
1509657631,25,16
1509658856,80,57
1509659773,26,27
1509660751,31,34
1509661696,21,17
1509662670,45,54
1509663631,23,23
1509664599,39,19
1509665537,28,22
1509666532,29,23
1509667479,27,58
1509669928,63,71
1509670832,26,39
1509671788,33,38
1509672754,41,31
1509673714,43,23
1509674680,48,37
1509675637,36,30
1509676574,46,34
1509677558,43,23
1509678494,29,19
1509679473,42,28
1509680425,43,20
1509681388,30,29
1509682349,81,124
1509683306,25,28
1509684272,44,11
1509685261,30,16
1509686178,24,13
1509687166,28,19
1509688100,33,26
1509689072,25,22
1509690017,34,30
1509691002,26,86
1509691932,29,74
1509692914,25,54
1509693856,31,46
1509694819,35,34
1509695784,22,33
1509696752,29,27
1509697705,20,31
1509698669,30,36
1509699620,26,36
1509700607,31,33
1509701538,37,34
1509702517,30,31
1509703462,35,30
1509704423,29,23
1509705394,23,25
1509706339,25,22
1509707318,25,23
1509708267,19,48
1509709229,46,1
1509710207,19,17
1509711134,32,16
1509712127,27,35
1509713060,26,22
1509714058,32,26
1509714975,35,22
1509715946,27,28
1509716912,25,32
1509717884,17,30
1509718826,19,25
1509719793,25,22
1509720735,36,34
1509721768,31,20
1509722912,54,42
1509723857,41,46
1509725096,48,46
1509726032,18,36
1509726997,54,18
1509727933,31,39
1509728169,16,13
1509728921,56,26
1509729857,1322,1156
1509730826,64,37
1509731788,37,37
1509732735,35,32
1509733703,42,50
1509734669,65,28
1509735613,44,47
1509736594,59,24
1509737542,62,37
1509738509,26,21
1509739463,35,29
1509740425,32,17
1509741387,38,27
1509742343,33,31
1509743297,33,23
1509743771,38,0
1509744281,9,16
1509745210,57,24
1509746172,36,29
1509747155,37,40
1509747614,14,27
1509748100,38,59
1509749061,35,2
1509751750,91,92
1509752920,36,24
1509753885,39,35
1509754838,23,30
1509755788,40,30
1509756745,45,5
1509757708,36,75
1509758655,30,12
1509759628,58,39
1509760575,40,3
1509761545,53,39
1509762512,27,64
1509763458,51,0
1509764434,63,53
1509765380,37,26
1509766359,39,31
1509767299,36,0
1509768263,40,25
1509769237,89,169
1509770176,32,4
1509771145,37,60
1509772109,33,7
1509773054,31,22
