DateTime,AddedIPs,RemovedIPs
1509088521,32,10
1509092179,5,14
1509095726,2,2
1509099603,4,9
1509100206,2,0
1509101703,1,0
1509102931,7,22
1509104706,1,1
1509105302,2560,2560
1509106802,16,11
1509107406,0,1
1509107702,256,256
1509108750,768,768
1509109802,0,1
1509110648,11,11
1509112807,2,0
1509113750,18,17
1509114606,1,0
1509117331,33,11
1509120932,16,8
1509122166,256,256
1509123302,16640,23040
1509124202,0,1
1509124510,3,11
1509126006,256,256
1509126651,256,0
1509127929,0,1
1509128153,22,1
1509132002,1,38
1509132626,0,1
1509135605,13,4
1509137766,0,2
1509138007,2,0
1509138949,11,3
1509142529,5,14
1509144002,256,256
1509146102,0,1
1509146402,10,12
1509150245,12,15
1509150635,256,256
1509151506,0,1
1509152165,256,256
1509153322,14,14
1509154502,0,1
1509156921,2,13
1509158102,256,256
1509158705,0,1
1509160526,6,29
1509162002,256,256
1509164106,12,25
1509167728,62,7
1509171602,7,4
1509171902,0,2
1509172207,2,0
1509175204,12,2
1509177124,1,0
1509179044,6,6
1509179438,1024,6144
1509182117,2,51
1509186002,22,5
1509186724,0,1
1509188646,1,0
1509189318,9,8
1509190202,1,0
1509191702,256,256
1509192927,25,8
1509193837,0,3
1509194702,1,1
1509198245,1,1
1509200168,0,1
1509200402,2,16
1509202356,2560,2816
1509204007,18,6
1509204620,512,512
1509207310,29,10
1509208802,256,256
1509209499,256,256
1509210008,0,57345
1509210920,9,20
1509213107,256,256
1509214559,1,2
1509215767,1,0
1509216993,255,256
1509218106,2,0
1509218125,4,24
1509219906,1,0
1509222002,9,18
1509223202,768,768
1509225613,11,28
1509229446,15,6
1509230401,512,256
1509235075,10,12
1509236172,34,7
1509239765,8,6
1509243602,5,13
1509247203,6,42
1509247836,0,1
1509250557,13,4
1509254402,32,5
1509255302,256,256
1509257766,7,6
1509261372,14,0
1509265836,13,1
1509268807,10,2
1509269406,1,0
1509271225,4,0
1509272645,3,0
1509275781,1,10
1509276485,0,1
1509278422,1,0
1509279359,6,7
1509282251,1,1
1509282981,6,8
1509286581,5,14
1509288902,1792,2048
1509290151,6,18
1509291023,256,256
1509294622,262,265
1509296103,256,256
1509296419,1024,9472
1509297607,1,5
1509300979,4,16
1509302402,256,256
1509304201,0,1
1509304501,1,0
1509304544,6,5
1509306939,256,256
1509308181,4,10
1509312012,299,261
1509314425,256,256
1509315367,12,5
1509316230,256,256
1509317765,256,256
1509319202,3,3
1509321626,0,1
1509322612,25,5
1509323531,256,256
1509324672,256,0
1509326163,13,9
1509328268,0,256
1509330002,7,13
1509331211,256,0
1509331503,1,2
1509332102,2,0
1509333348,4,20
1509335702,1,0
1509337202,268,8713
1509340804,6,9
1509341701,0,256
1509342003,1,1
1509344644,5,14
1509345602,1,1
1509345903,0,1
1509346840,1,0
1509347765,4,9
1509351397,7,28
1509353632,256,0
1509354252,0,1
1509354932,12,9
1509358088,0,1
1509358801,10,18
1509362147,16,9
1509366002,5,12
1509366647,1,0
1509369607,21,12
1509373447,6,12
1509376598,8,15
1509380106,1,0
1509380147,10,3
1509381906,0,1
1509383048,0,3840
1509383793,8,11
1509385202,1,257
1509385907,256,0
1509387602,9,2
1509389501,1,1
1509390982,11,6
1509395405,20,4
1509396490,0,1
1509398411,4,6
1509401751,6,6
1509404167,1024,1279
1509405325,3,18
1509406502,256,256
1509409030,36,13
1509410102,256,256
1509412593,263,260
1509414966,256,256
1509416402,7,6
1509420607,11,17
1509423607,9,23
1509427445,18,12
1509428708,0,1
1509430571,23,4
1509432374,0,1
1509434179,3,3
1509437786,8,7
1509440891,2050,2048
1509441603,17,14
1509442205,0,1
1509443702,1,0
1509444947,14,26
1509446702,2,0
1509448567,1,0
1509448604,27,5
1509452409,5,4
1509456246,5,12
1509458405,1,0
1509459389,4,38
1509463203,38,8
1509463929,1,1
1509465854,3,0
1509466570,6,8
1509468790,256,256
1509469219,256,28160
1509470402,7,10
1509473779,9,12
1509474302,256,256
1509477369,5,37
1509479508,256,256
1509481207,7,9
1509482708,256,256
1509484530,20,11
1509488157,28,4
1509489602,512,512
1509492001,7,4
1509494103,0,1
1509494703,769,769
1509495409,26,2
1509496502,256,256
1509499445,14,3
1509500103,256,256
1509502581,0,10
1509506402,4,35
1509509769,3,10
1509513302,1,0
1509513603,9,24
1509516970,27,3
1509520802,7,2
1509524405,4,2
1509528246,4,0
1509531418,1,27
1509535202,13,25
1509541225,1,0
1509543006,11,12
1509546605,5,9
1509547691,1,0
1509548425,1,0
1509549609,5,4
1509549902,1,0
1509554171,8,18
1509555623,0,47872
1509556549,10,12
1509561008,11,9
1509564245,9,6
1509565506,0,1
1509567601,9,5
1509569402,0,1
1509570902,1,0
1509570934,12,14
1509575102,4,8
1509576903,1792,1536
1509578402,22,10
1509581835,23,9
1509584102,256,256
1509584703,0,5
1509585849,3,12
1509587401,0,1
1509587766,1,0
1509588984,16,3
1509592524,22,30
1509592802,256,256
1509596402,6,12
1509599746,12,6
1509600607,1,0
1509603602,14,5
1509607445,9,21
1509610569,8,5
1509613502,256,256
1509614146,8,9
1509617781,9,12
1509621602,7,20
1509623530,1,1
1509624916,1,0
1509625446,13,18
1509627637,1,0
1509628597,35,11
1509632401,11,9
1509635808,10,6
1509639602,2,4
1509641702,1,1
1509642050,4352,34560
1509642724,1,0
1509642989,6,13
1509645041,1,1
1509646802,12,6
1509650409,6,20
1509654246,13,16
1509657387,9,12
1509659494,767,1024
1509660951,13,13
1509662401,768,768
1509664802,18,9
1509666005,256,256
1509666683,256,256
1509669850,24,13
1509672003,12,3
1509672903,512,511
1509674090,256,256
1509675609,7,22
1509676503,256,256
1509678943,14,21
1509682559,9,19
1509685217,1,1
1509685802,0,1
1509686103,1,0
1509686155,24,4
1509688252,256,256
1509689718,5,5
1509690663,2,0
1509691894,1024,1024
1509693342,3,16
1509695159,256,256
1509696961,5,13
1509700802,12,25
1509701411,0,2
1509704404,11,17
1509707103,4096,18427
1509707772,29,7
1509708244,1,0
1509709508,3,0
1509711336,17,6
1509712502,1,0
1509714923,19,3
1509717302,256,256
1509718550,3,5
1509722137,3,17
1509726302,13,14
1509728420,2816,24576
1509729602,2,30
1509731290,1,0
1509733204,28,5
1509735302,768,768
1509737049,22,3
1509738303,0,1
1509740402,10,13
1509743731,14,4
1509747305,10,16
1509749402,0,2
1509751460,272,263
1509754574,20,4
1509756655,256,256
1509758128,9,5
1509759959,73728,0
1509761756,4,4
1509763818,256,256
1509765355,0,32
1509768934,7,11
1509770706,0,3
1509772802,17,24
1509776409,14,10
1509780247,10,1
1509782458,0,1
1509783333,7,4
1509786921,9,29
1509790551,10,16
1509794133,10,6
1509795002,0,1
1509795906,2,0
1509797751,18,6
1509801368,1,1
1509801602,14,13
1509805209,7,5
1509807661,0,1
1509808529,9,8
1509812133,7,26
1509815047,1280,15616
1509815731,24,17
1509816647,0,4
1509816965,1,0
1509819344,18,14
1509822915,11,2
1509826802,2,9
1509827702,0,1
1509828769,1,0
1509830404,8,22
1509832502,1280,1024
1509833731,2,8
1509834902,256,256
1509835540,1,0
1509836165,256,256
1509837364,17,31
1509841015,37,8
1509845102,20,6
1509845402,0,1
1509845702,1,0
1509846602,5120,0
1509847214,0,1
1509848408,15,10
1509852245,5,17
1509852606,0,1
1509852903,1,0
1509855602,13,12
1509857402,1,1
1509858902,4096,0
1509858945,5,15
1509860707,0,1
1509861002,1,0
1509862579,38,6
1509866139,11,1
1509869735,1,6
1509873369,0,1
1509873902,4,5
1509877205,13,9
1509878102,2,0
1509879302,256,256
1509880502,2,0
1509881049,6,9
1509882302,256,256
1509882965,256,256
1509884187,5,4
1509887739,4,8
1509890647,0,1
1509891359,6,17
1509895202,8,9
1509898582,6,4
1509900686,1280,1280
1509901220,1536,4096
1509902408,6,22
1509906247,29,8
1509907506,1,0
1509909344,11,4
1509911291,256,257
1509911413,512,512
1509911702,0,1
1509912017,1,0
1509913208,5,10
1509917046,269,257
1509920152,4,20
