DateTime,Entries,UniqueIPs
1509662528,47215,62921
1509663399,47324,63030
1509664120,47324,63030
1509664506,47240,62945
1509665407,47166,62871
1509666015,47158,62862
1509666127,47136,62842
1509666683,47136,63097
1509668160,47140,63100
1509669854,47016,62720
1509670356,47009,62712
1509671646,47004,62709
1509672271,47000,62705
1509672606,46785,62491
1509673507,46811,62518
1509674204,46792,62755
1509676097,46756,62720
1509676808,46587,62549
1509678050,46758,62722
1509678847,46749,62710
1509679953,46731,62692
1509681007,46728,62692
1509681885,46718,62680
1509682013,46690,62652
1509683106,46905,62869
1509683778,46884,62847
1509684128,46593,62556
1509685717,47084,63067
1509686047,47079,63065
1509687007,46785,62770
1509687627,46784,62769
1509687727,46832,62815
1509689556,46837,62819
1509689647,46974,62954
1509690663,46607,62586
1509691454,46608,62586
1509691894,46604,63092
1509692404,46763,63252
1509693402,46703,63193
1509695315,46539,63281
1509697243,46634,63379
1509698527,46548,63289
1509699145,46538,63280
1509699179,46541,63028
1509700449,46764,63257
1509701066,46762,63256
1509701634,46548,63040
1509702991,46685,63177
1509703807,46657,63152
1509704921,46659,63155
1509705613,46516,63010
1509706507,46748,63242
1509706820,46733,63227
1509707718,46655,63148
1509708765,46498,62996
1509709507,46735,63237
1509710677,46742,63244
1509711009,46562,63061
1509712185,46389,62889
1509712598,46382,62881
1509713107,46428,62926
1509713989,46294,62791
1509714512,46293,62791
1509714848,46533,63035
1509715818,46428,62932
1509716437,46412,62916
1509716707,46647,63154
1509717042,46647,63409
1509718347,46624,63386
1509718529,46544,63310
1509720270,46389,63156
1509721250,46229,62995
1509722195,46433,63195
1509724392,46219,62975
1509724826,46436,63194
1509725647,46339,63096
1509726516,45221,61934
1509726619,45426,62141
1509727442,45185,61900
1509728416,45692,62422
1509729328,45795,62524
1509730354,45592,62319
1509730927,45724,62451
1509732341,45525,62256
1509733206,45671,62404
1509734184,45670,62406
1509734407,45368,62103
1509735127,45363,62352
1509736123,45358,62345
1509736807,45504,62491
1509737287,45580,62568
1509738022,45581,62570
1509738127,45317,62305
1509738967,45450,62442
1509739958,45219,62211
1509741011,45075,62068
1509741870,45072,62065
1509742845,45167,62161
1509743785,45065,62056
1509744782,44969,61961
1509745691,44967,61959
1509745903,44967,61194
1509746456,45116,61344
1509747644,44996,61224
1509748220,44912,61137
1509749555,44973,61197
1509751733,45003,61228
1509751843,44811,61035
1509752708,44912,61137
1509753880,44892,61118
1509754507,44799,61024
1509755419,44564,60791
1509755783,44549,60777
1509756128,44480,60709
1509756967,44582,60812
1509757703,44561,60793
1509758047,44440,60674
1509758913,44577,60812
1509759612,44573,60553
1509759959,44318,60295
1509761540,44314,60293
1509761705,44130,60110
1509763508,43791,59772
1509764535,43629,59607
1509765376,43632,59609
1509765607,43784,59761
1509766807,43382,59356
1509767293,43375,59350
1509767707,43521,59498
1509768607,43314,59292
1509769221,43324,59303
1509769664,43520,59504
1509770526,42999,58980
1509771139,42994,58975
1509771592,42942,58924
1509772507,43087,59071
1509773050,43576,59569
1509773412,43228,59218
1509774127,43259,59253
1509774973,43253,58992
1509776047,43331,59075
1509776892,43327,59070
1509777009,43095,58323
1509777882,43107,58334
1509778830,43105,58332
1509779407,43084,58311
1509780608,42834,58059
1509780747,42829,58054
1509781507,42857,57826
1509782366,42704,57674
1509782660,42693,57663
1509783248,42819,57796
1509784207,42519,57490
1509784574,42506,57478
1509785119,42469,57443
1509785767,42644,57620
1509786503,42629,57604
1509786846,42501,57477
1509787839,42102,57074
1509788421,42094,57066
1509788707,42153,57123
1509790344,42141,57111
1509790447,42152,57123
1509791407,41772,56740
1509792248,41760,56727
1509792308,41548,56510
1509792967,41669,56632
1509794047,41326,56284
1509794173,41319,56276
1509795009,41127,56081
1509796100,41141,56098
1509796811,41257,56215
1509797406,41111,56071
1509798024,41099,56057
1509798486,41306,56264
1509799482,40979,55936
1509799941,40964,55922
1509801007,40985,55946
1509801851,40963,55924
1509802208,40802,55759
1509803107,40753,55710
1509804034,40738,55441
1509804607,40578,55280
1509805950,40328,55029
