DateTime,Entries,UniqueIPs
1509624968,4004,4072
1509625454,4005,4074
1509626404,4002,4071
1509626889,4003,4072
1509627852,4000,4069
1509628329,4001,4070
1509628805,4002,4071
1509629764,4001,4070
1509633126,4000,4069
1509633606,4000,4069
1509634085,4000,4069
1509634569,4002,4071
1509635530,4000,4069
1509636005,4000,4069
1509636488,4001,4070
1509636966,4000,4069
1509637925,4001,4070
1509641290,4000,4069
1509641776,4001,4070
1509642726,4000,4069
1509643211,3999,4068
1509643691,3998,4067
1509644164,3999,4068
1509644647,3997,4066
1509645125,4000,4069
1509645848,3999,4068
1509646328,3998,4067
1509646805,3999,4068
1509649449,3998,4067
1509649924,3999,4068
1509651364,3997,4066
1509651848,4003,4072
1509652327,4004,4073
1509652811,4010,4079
1509653285,4010,4079
1509653769,4010,4079
1509654249,4011,4080
1509654735,4010,4079
1509655209,4010,4079
1509655690,4010,4079
1509656167,4011,4080
1509656650,4010,4079
1509657129,4010,4079
1509657607,4011,4080
1509658841,4011,4080
1509659286,4009,4078
1509659766,4011,4080
1509660246,4010,4079
1509660724,4011,4080
1509661209,4010,4079
1509661689,4011,4080
1509662166,4010,4079
1509662652,4011,4080
1509664088,4009,4078
1509664571,4011,4080
1509669861,4012,4081
1509670810,4011,4080
1509671287,4012,4081
1509672729,4010,4079
1509673206,4012,4081
1509674167,4011,4080
1509674647,4009,4078
1509675126,4010,4079
1509675611,4009,4078
1509676086,4011,4080
1509676564,4010,4079
1509677049,4011,4080
1509678021,4013,4082
1509678486,4012,4081
1509678964,4012,4081
1509679448,4013,4082
1509679929,4012,4081
1509680405,4012,4081
1509680887,4012,4081
1509681367,4011,4080
1509681850,4009,4078
1509682325,4011,4080
1509683765,4009,4078
1509684249,4010,4079
1509684731,4009,4078
1509685219,4008,4077
1509685693,4006,4075
1509686169,4007,4076
1509686645,4008,4077
1509687130,4006,4075
1509687606,4008,4077
1509689049,4010,4079
1509689526,4009,4078
1509690005,4010,4079
1509691556,4011,4080
1509692412,4013,4082
1509693369,4012,4081
1509693845,4013,4082
1509696727,4012,4081
1509697214,4013,4082
1509698651,4011,4080
1509699124,4013,4082
1509699608,4014,4083
1509700087,4011,4080
1509700571,4011,4080
1509701047,4012,4081
1509702006,4009,4078
1509702513,4011,4080
1509702970,4012,4081
1509703446,4010,4079
1509703930,4011,4080
1509704406,4014,4083
1509705364,4013,4082
1509705850,4013,4082
1509706328,4014,4083
