DateTime,Entries,UniqueIPs
1509075974,1795,1795
1509077787,1788,1788
1509079691,1775,1775
1509081627,2744,2744
1509083543,2675,2675
1509085453,2662,2662
1509087383,2640,2640
1509089310,2611,2611
1509091224,2567,2567
1509093137,2534,2534
1509095068,2509,2509
1509097100,2483,2483
1509098906,2462,2462
1509100828,2428,2428
1509102754,2408,2408
1509104665,2380,2380
1509106606,2361,2361
1509108492,2342,2342
1509110673,2348,2348
1509112580,2335,2335
1509114516,2343,2343
1509116447,2344,2344
1509118360,2345,2345
1509120267,1159,1159
1509122199,1157,1157
1509124118,1743,1743
1509126028,1739,1739
1509127955,1742,1742
1509129873,1751,1751
1509131801,1738,1738
1509133704,1732,1732
1509135629,1734,1734
1509137812,1736,1736
1509139691,1735,1735
1509141644,1728,1728
1509143798,1727,1727
1509145950,1722,1722
1509147854,1723,1723
1509149768,1704,1704
1509151696,1692,1692
1509153616,1687,1687
1509155549,1664,1664
1509157453,1681,1681
1509159392,1682,1682
1509161291,1677,1677
1509163236,1661,1661
1509165151,1658,1658
1509167068,2180,2180
1509168971,2162,2162
1509170906,2162,2162
1509172823,2169,2169
1509174747,2160,2160
1509176654,2155,2155
1509178598,2153,2153
1509180495,2154,2154
1509182435,2155,2155
1509184357,2157,2157
1509186267,2143,2143
1509188171,2143,2143
1509190098,2136,2136
1509192032,2128,2128
1509193949,2119,2119
1509195860,2107,2107
1509197772,2081,2081
1509199698,2067,2067
1509201630,2069,2069
1509203546,2064,2064
1509205467,2067,2067
1509207382,1116,1116
1509209302,1128,1128
1509211224,1659,1659
1509213137,1665,1665
1509215292,1663,1663
1509217241,1679,1679
1509219149,1675,1675
1509221074,1678,1678
1509222969,1676,1676
1509224901,1679,1679
1509227470,1680,1680
1509230075,1682,1682
1509232573,1660,1660
1509235108,1647,1647
1509237643,1684,1684
1509239513,1677,1677
1509241472,1670,1670
1509243370,1651,1651
1509245291,1640,1640
1509247223,1631,1631
1509249139,1643,1643
1509251052,1649,1649
1509252968,1649,1649
1509254891,2136,2136
1509256841,2138,2138
1509258993,2145,2145
1509261501,2149,2149
1509263550,2140,2140
1509265466,2136,2136
1509267382,2136,2136
1509269310,2142,2142
1509271215,2127,2127
1509273147,2120,2120
1509275065,2110,2110
1509276980,2103,2103
1509278904,2107,2107
1509280822,2099,2099
1509282747,2091,2091
1509284664,2095,2095
1509286577,2079,2079
1509288495,2070,2070
1509290427,2069,2069
1509292341,2078,2078
1509294255,1150,1150
1509296180,1149,1149
1509298107,1634,1634
1509300042,1637,1637
1509301943,1633,1633
1509303863,1644,1644
1509305779,1645,1645
1509307691,1654,1654
1509309627,1654,1654
1509312052,1654,1654
1509313942,1644,1644
1509315855,1648,1648
1509317781,1646,1646
1509320119,1619,1619
1509322099,1617,1617
1509324011,1614,1614
1509325930,1618,1618
1509327855,1612,1612
1509329773,1607,1607
1509331692,1596,1596
1509333623,1595,1595
1509335541,1592,1592
1509337456,1580,1580
1509339385,1574,1574
1509341294,2003,2003
1509343218,1993,1993
1509345146,1990,1990
1509347062,1987,1987
1509348971,1979,1979
1509350893,1981,1981
1509352809,1977,1977
1509354751,1976,1976
1509356669,1969,1969
1509358578,1981,1981
1509360505,1976,1976
1509362412,1983,1983
1509364328,1977,1977
1509366257,1987,1987
1509368184,1990,1990
1509370105,1998,1998
1509372025,2009,2009
1509373947,2012,2012
1509375862,2018,2018
1509377771,2024,2024
1509379691,1104,1104
1509381621,1110,1110
1509383550,1569,1569
1509385461,1577,1577
1509387385,1599,1599
1509389303,1598,1598
1509391214,1601,1601
1509393132,1618,1618
1509395080,1639,1639
1509398464,1665,1665
1509400337,1676,1676
1509402266,1678,1678
1509404187,1677,1677
1509406537,1659,1659
1509408713,1648,1648
1509410657,1656,1656
1509412576,1646,1646
1509414494,1646,1646
1509416422,1647,1647
1509418343,1654,1654
1509420252,1645,1645
1509422171,1632,1632
1509424091,1627,1627
1509426030,2034,2034
1509427933,2035,2035
1509429863,2043,2043
1509431782,2047,2047
1509433702,2043,2043
1509435609,2053,2053
1509437531,2050,2050
1509439456,2066,2066
1509441403,2066,2066
1509443303,2070,2070
1509445224,2088,2088
1509447142,2110,2110
1509449054,2112,2112
1509450981,2116,2116
1509452903,2119,2119
1509454825,2144,2144
1509456740,2159,2159
1509458671,2168,2168
1509460578,2196,2196
1509462499,2199,2199
1509464413,2198,2198
1509466331,1299,1299
1509468256,1298,1298
1509470189,1805,1805
1509472107,1814,1814
1509474029,1835,1835
1509475945,1839,1839
1509477860,1855,1855
1509479771,1857,1857
1509482925,1933,1933
1509484826,1930,1930
1509486741,1933,1933
1509488657,1931,1931
1509490856,1922,1922
1509492978,1912,1912
1509494909,1909,1909
1509496811,1908,1908
1509498996,1906,1906
1509500894,1906,1906
1509502827,1914,1914
1509504740,1909,1909
1509506670,1903,1903
1509508575,1901,1901
1509510492,1904,1904
1509512428,2381,2381
1509514351,2380,2380
1509516265,2398,2398
1509518183,2408,2408
1509520102,2420,2420
1509522010,2428,2428
1509523935,2435,2435
1509525853,2441,2441
1509527780,2440,2440
1509529694,2448,2448
1509531624,2449,2449
1509533550,2468,2468
1509535469,2467,2467
1509537378,2472,2472
1509539292,2471,2471
1509541478,2500,2500
1509543379,2528,2528
1509545296,2557,2557
1509547226,2580,2580
1509549153,2606,2606
1509551072,2630,2630
1509554214,1581,1581
1509556360,2224,2224
1509558265,2254,2254
1509560440,2296,2296
1509562354,2349,2349
1509564267,2402,2402
1509566206,2445,2445
1509568139,2514,2514
1509570096,2574,2574
1509571954,2624,2624
1509573876,2646,2646
1509575810,2644,2644
1509577726,2652,2652
1509579849,2649,2649
1509582026,2645,2645
1509583950,2635,2635
1509585872,2624,2624
1509587785,2618,2618
1509589705,2624,2624
1509591637,2629,2629
1509593535,2635,2635
1509595460,2647,2647
1509597634,2652,2652
1509599548,3225,3225
1509601462,3232,3232
1509603394,3245,3245
1509605551,3264,3264
1509607462,3283,3283
1509609390,3286,3286
1509611314,3311,3311
1509613247,3301,3301
1509615151,3302,3302
1509617079,3303,3303
1509618974,3287,3287
1509620892,3288,3288
1509623567,3295,3295
1509625482,3294,3294
1509627398,3305,3305
1509629300,3301,3301
1509631244,3309,3309
1509633150,3304,3304
1509635076,3300,3300
1509636977,3310,3310
1509638895,1997,1997
1509640830,1959,1959
1509642750,2781,2781
1509644658,2790,2790
1509646585,2792,2792
1509648509,2793,2793
1509650441,2806,2806
1509652348,2803,2803
1509654340,2826,2826
1509656172,2839,2839
1509658222,2855,2855
1509660044,2897,2897
1509662203,2895,2895
1509664120,2891,2891
1509666015,2885,2885
1509668160,2892,2892
1509670356,2881,2881
1509672271,2855,2855
1509674204,2820,2820
1509676097,2788,2788
1509678050,2743,2743
1509679953,2724,2724
1509681885,2698,2698
1509683778,2661,2661
1509685717,3441,3441
1509687627,3438,3438
1509689556,3443,3443
1509691454,3452,3452
1509693402,3452,3452
1509695315,3448,3448
1509697243,3458,3458
1509699145,3447,3447
1509701066,3448,3448
1509702991,3446,3446
1509704921,3454,3454
1509706820,3444,3444
1509708765,3445,3445
1509710677,3449,3449
1509712598,3437,3437
1509714512,3426,3426
1509716437,3392,3392
1509718347,3357,3357
1509720270,3338,3338
1509722195,3309,3309
1509724392,3298,3298
1509726516,1463,1463
1509728416,2221,2221
1509730354,2219,2219
1509732293,2221,2221
1509734184,2224,2224
1509736123,2213,2213
1509738022,2211,2211
1509739958,2197,2197
1509741870,2187,2187
1509743785,2168,2168
1509745691,2155,2155
1509747644,2145,2145
1509749555,2141,2141
