DateTime,Entries,UniqueIPs
1509598810,38077,38077
1509599709,38370,38370
1509600610,38523,38523
1509601509,37712,37712
1509602409,36179,36179
1509603308,36200,36200
1509604209,36297,36297
1509605109,36359,36359
1509606009,36384,36384
1509606909,36446,36446
1509607809,36492,36492
1509608709,36608,36608
1509609608,36714,36714
1509610510,36833,36833
1509611408,37360,37360
1509612308,38581,38581
1509613209,39607,39607
1509614110,39961,39961
1509615010,39995,39995
1509615910,39995,39995
1509616810,39994,39994
1509617710,39993,39993
1509618609,39993,39993
1509619510,39993,39993
1509620410,39993,39993
1509621311,39997,39997
1509623109,39997,39997
1509624008,39997,39997
1509624909,39998,39998
1509625809,39997,39997
1509626708,39996,39996
1509627608,39997,39997
1509628508,39996,39996
1509629409,39996,39996
1509630308,39996,39996
1509631208,39996,39996
1509632108,39995,39995
1509633008,39995,39995
1509633909,39996,39996
1509634809,39995,39995
1509635709,39994,39994
1509636608,39991,39991
1509637509,39991,39991
1509638409,39991,39991
1509639309,39992,39992
1509640209,39991,39991
1509641110,39942,39942
1509642008,39713,39713
1509642910,39450,39450
1509643810,39586,39586
1509644711,39626,39626
1509645609,39602,39602
1509646509,39367,39367
1509647410,39034,39034
1509648309,38739,38739
1509649209,38383,38383
1509650109,38012,38012
1509651010,37664,37664
1509651910,37355,37355
1509652810,37053,37053
1509653711,36704,36704
1509654609,36366,36366
1509655508,36083,36083
1509656408,35940,35940
1509657309,35765,35765
1509658209,35674,35674
1509659109,35505,35505
1509660009,35431,35431
1509660910,35355,35355
1509661809,35367,35367
1509662709,35388,35388
1509663609,35625,35625
1509664510,35744,35744
1509665412,35982,35982
1509666310,36049,36049
1509667210,36059,36059
1509669009,36225,36225
1509669909,36442,36442
1509670809,36733,36733
1509671710,37114,37114
1509672611,37311,37311
1509673512,37360,37360
1509674412,37057,37057
1509675313,36953,36953
1509676211,36974,36974
1509677109,36915,36915
1509678009,36882,36882
1509678910,36766,36766
1509679809,36688,36688
1509680709,36654,36654
1509681609,36584,36584
1509682510,36582,36582
1509683410,36635,36635
1509684310,35126,35126
1509685211,34282,34282
1509686110,34281,34281
1509687011,34783,34783
1509687909,35240,35240
1509688809,36983,36983
1509689710,38615,38615
1509690610,38859,38859
1509691510,38739,38739
1509692410,38746,38746
1509693309,38594,38594
1509694209,38538,38538
1509695109,38591,38591
1509696009,38581,38581
1509696909,38578,38578
1509697810,38449,38449
1509698710,38291,38291
1509699610,38213,38213
1509700510,38102,38102
1509701410,37986,37986
1509702309,37803,37803
1509703209,37440,37440
1509704111,37309,37309
1509705010,37393,37393
1509705912,37482,37482
1509706812,37544,37544
1509707711,37686,37686
1509708611,37846,37846
1509709512,37932,37932
1509710412,37936,37936
1509711311,37921,37921
1509712210,37916,37916
1509713114,37830,37830
1509714014,37797,37797
1509714915,37748,37748
1509715815,37816,37816
1509716714,37825,37825
1509717614,37833,37833
1509718513,37792,37792
1509719412,37962,37962
1509720312,37971,37971
1509721212,38035,38035
1509722111,38054,38054
1509723012,38239,38239
1509723910,38318,38318
1509724812,38369,38369
1509725713,38505,38505
1509726614,38605,38605
1509727512,38687,38687
1509728413,38809,38809
1509729314,38918,38918
1509730212,38352,38352
1509731112,37572,37572
1509732013,36696,36696
1509732912,35633,35633
1509733812,34764,34764
1509734713,33836,33836
1509735612,32973,32973
1509736514,31889,31889
1509737412,30721,30721
1509738313,29465,29465
1509739211,28559,28559
1509740112,27824,27824
1509741012,27190,27190
1509741910,26546,26546
1509742811,26082,26082
1509743711,25552,25552
1509744610,25033,25033
1509745509,24497,24497
1509746409,24051,24051
1509747309,23565,23565
1509748209,23220,23220
1509749109,23015,23015
1509750911,23224,23224
1509751810,23443,23443
1509752710,23610,23610
1509753610,23565,23565
1509754509,23963,23963
1509755409,24615,24615
1509756310,25327,25327
1509757210,26072,26072
1509758110,26849,26849
1509759010,27523,27523
1509759910,27864,27864
1509760811,28151,28151
1509761710,28314,28314
1509762610,28614,28614
1509763510,28613,28613
1509764410,28547,28547
1509765310,28564,28564
1509766211,28508,28508
1509767111,28545,28545
1509768009,28676,28676
1509768910,28967,28967
1509769809,29356,29356
1509770709,29898,29898
1509771611,30413,30413
1509772511,30707,30707
1509773412,31029,31029
1509774311,31911,31911
1509775210,32606,32606
1509776110,33298,33298
1509777008,33894,33894
1509777908,34530,34530
1509778808,35135,35135
1509779707,35651,35651
1509780608,36315,36315
1509781508,36862,36862
1509782408,37370,37370
1509783308,37891,37891
1509784208,37652,37652
1509785109,37294,37294
1509786009,37073,37073
1509786910,36747,36747
1509787809,36552,36552
1509788709,36161,36161
1509789609,35817,35817
1509790508,35502,35502
1509791408,35353,35353
1509792308,35090,35090
1509793210,34945,34945
1509794110,34860,34860
1509795011,34805,34805
1509795911,34759,34759
1509796811,34541,34541
1509797710,34176,34176
1509798610,34023,34023
1509799509,34096,34096
