DateTime,Entries,UniqueIPs
1509807365,5231,5231
1509807848,5233,5233
1509808324,5238,5238
1509808809,5238,5238
1509809286,5240,5240
1509809764,5240,5240
1509810246,5238,5238
1509810724,5229,5229
1509811221,5237,5237
1509811687,5237,5237
1509812169,5233,5233
1509812650,5237,5237
1509813127,5236,5236
1509813610,5240,5240
1509814084,5240,5240
1509814565,5237,5237
1509815050,5226,5226
1509815525,5240,5240
1509816009,5233,5233
1509816490,5238,5238
1509816967,5237,5237
1509817448,5240,5240
1509817925,5239,5239
1509818411,5241,5241
1509818887,5239,5239
1509819373,5235,5235
1509819844,5240,5240
1509820329,5237,5237
1509820808,5234,5234
1509821287,5239,5239
1509821767,5240,5240
1509822251,5236,5236
1509822726,5235,5235
1509823208,5241,5241
1509823684,5241,5241
1509824164,5237,5237
1509824647,5241,5241
1509825129,5238,5238
1509825608,5239,5239
1509826086,5239,5239
1509826566,5238,5238
1509827046,5234,5234
1509827525,5240,5240
1509828006,5240,5240
1509828487,5236,5236
1509828970,5236,5236
1509829448,5239,5239
1509829929,5237,5237
1509830406,5241,5241
1509830887,5237,5237
1509831365,5240,5240
1509831850,5239,5239
1509832326,5238,5238
1509832815,5232,5232
1509833286,5239,5239
1509833770,5239,5239
1509834246,5241,5241
1509834726,5236,5236
1509835206,5238,5238
1509835690,5241,5241
1509836167,5238,5238
1509836649,5237,5237
1509837125,5237,5237
1509837609,5237,5237
1509838572,5239,5239
1509839054,5237,5237
1509839525,5236,5236
1509840016,5240,5240
1509840488,5241,5241
1509841205,5239,5239
1509841690,5240,5240
1509842164,5240,5240
1509842646,5237,5237
1509843125,5228,5228
1509843615,5228,5228
1509844085,5230,5230
1509844572,5232,5232
1509845044,5241,5241
1509845526,5237,5237
1509846005,5234,5234
1509846487,5238,5238
1509846965,5225,5225
1509847453,5229,5229
1509847924,5233,5233
1509848410,5236,5236
1509848884,5233,5233
1509849368,5231,5231
1509849848,5233,5233
1509850327,5234,5234
1509850813,5232,5232
1509851289,5234,5234
1509851766,5234,5234
1509852248,5236,5236
1509852729,5224,5224
1509853205,5235,5235
1509853689,5234,5234
1509854168,5225,5225
1509854646,5232,5232
1509855126,5236,5236
1509855604,5238,5238
1509856090,5235,5235
1509856564,5236,5236
1509857047,5237,5237
1509857524,5232,5232
1509858017,5238,5238
1509858485,5235,5235
1509858967,5231,5231
1509859445,5232,5232
1509859937,5232,5232
1509860404,5233,5233
1509860886,5233,5233
1509861366,5231,5231
1509861848,5238,5238
1509862329,5231,5231
1509862807,5236,5236
1509863288,5237,5237
1509863767,5237,5237
1509864248,5236,5236
1509864724,5237,5237
1509865217,5233,5233
1509865689,5227,5227
1509866165,5234,5234
1509866646,5231,5231
1509867124,5227,5227
1509867609,5233,5233
1509868087,5237,5237
1509868565,5235,5235
1509869047,5233,5233
1509869527,5237,5237
1509870004,5222,5222
1509870487,5219,5219
1509870967,5237,5237
1509871448,5237,5237
1509871925,5232,5232
1509872412,5233,5233
1509872888,5237,5237
1509873372,5230,5230
1509873848,5236,5236
1509874326,5237,5237
1509874807,5233,5233
1509875290,5236,5236
1509875766,5237,5237
1509876246,5233,5233
1509876728,5231,5231
1509877207,5235,5235
1509877689,5232,5232
1509878166,5227,5227
1509878646,5235,5235
1509879127,5234,5234
1509879610,5238,5238
1509880086,5236,5236
1509880569,5234,5234
1509881051,5231,5231
1509881525,5223,5223
1509882006,5238,5238
1509882485,5234,5234
1509882968,5222,5222
1509883446,5223,5223
1509883925,5237,5237
1509884404,5233,5233
1509884888,5229,5229
1509885366,5221,5221
1509885847,5231,5231
1509886329,5236,5236
1509886823,5226,5226
1509887285,5232,5232
1509887770,5227,5227
1509888245,5232,5232
1509888731,5233,5233
1509889205,5236,5236
1509889690,5235,5235
1509890165,5236,5236
1509890650,5232,5232
1509891124,5236,5236
1509891608,5237,5237
1509892086,5237,5237
1509892567,5230,5230
1509893049,5237,5237
1509893526,5235,5235
1509894013,5231,5231
1509894488,5236,5236
1509894966,5236,5236
1509895445,5227,5227
1509896169,5232,5232
1509896647,5227,5227
1509897124,5234,5234
1509897615,5232,5232
1509898086,5236,5236
1509898572,5236,5236
1509899044,5234,5234
1509899528,5228,5228
1509900005,5225,5225
1509900492,5224,5224
1509900965,5234,5234
1509901450,5232,5232
1509901924,5237,5237
1509902410,5224,5224
1509902885,5236,5236
1509903367,5235,5235
1509903845,5232,5232
1509904331,5231,5231
1509904812,5237,5237
1509905286,5233,5233
1509905768,5236,5236
1509906249,5236,5236
1509906724,5231,5231
1509907206,5234,5234
1509907686,5237,5237
1509908168,5236,5236
1509908646,5236,5236
1509909126,5228,5228
1509909607,5234,5234
1509911293,5228,5228
1509911766,5225,5225
1509912248,5233,5233
1509912725,5232,5232
1509913210,5234,5234
1509913685,5231,5231
1509914409,5237,5237
1509914885,5223,5223
1509915622,5237,5237
1509916085,5236,5236
1509916565,5228,5228
1509917049,5218,5218
1509917525,5226,5226
1509918005,5235,5235
1509918489,5224,5224
1509918967,5236,5236
1509919447,5231,5231
1509919924,5223,5223
1509920405,5230,5230
1509920888,5235,5235
1509921365,5230,5230
1509921845,5232,5232
1509922325,5236,5236
1509922826,5235,5235
1509923288,5236,5236
1509923770,5234,5234
1509924245,5234,5234
1509924731,5236,5236
1509925206,5220,5220
1509925687,5233,5233
1509926166,5231,5231
1509926653,5229,5229
1509927126,5228,5228
1509927850,5233,5233
1509928328,5233,5233
1509928805,5237,5237
1509929289,5235,5235
1509929765,5221,5221
1509930247,5229,5229
1509930727,5232,5232
1509931205,5232,5232
1509931684,5238,5238
1509932164,5235,5235
1509932649,5233,5233
1509933125,5228,5228
1509933612,5237,5237
1509934086,5232,5232
1509934574,5234,5234
1509935045,5235,5235
1509935525,5237,5237
1509936005,5236,5236
1509936489,5237,5237
1509936965,5234,5234
1509937449,5234,5234
1509937924,5237,5237
1509938409,5236,5236
1509938888,5237,5237
1509939370,5229,5229
1509939845,5237,5237
1509940328,5233,5233
1509940809,5228,5228
