DateTime,AddedIPs,RemovedIPs
1509340922,1,0
1509342121,0,1
1509343322,1,2
1509345722,2,1
1509346921,3,0
1509347521,1,0
1509350521,1,0
1509351722,2,0
1509352321,3,0
1509352921,1,1
1509354722,2,0
1509355322,1,0
1509355922,2,0
1509357721,3,1
1509358922,1,2
1509359522,12,0
1509361321,0,3
1509361922,6,3
1509362521,1,1
1509363721,2,0
1509364922,1,1
1509365521,0,1
1509366121,2,0
1509367321,6,0
1509368522,0,1
1509369122,4,0
1509369722,2,0
1509370322,3,0
1509371521,7,0
1509372122,2,0
1509372722,1,0
1509373321,7,0
1509374522,4,1
1509375721,3,5
1509376922,3,4
1509377521,0,1
1509378122,4,1
1509379322,1,5
1509379921,2,10
1509380522,2,0
1509381121,3,2
1509381721,2,1
1509382922,0,2
1509385322,0,1
1509386522,6,0
1509387721,4,1
1509388321,2,0
1509388921,2,0
1509390122,0,14
1509391922,1,0
1509392522,5,0
1509393721,2,0
1509394921,1,2
1509396122,14,7
1509397922,5,2
1509399721,1,3
1509400922,3,0
1509402721,1,1
1509403321,2,0
1509404522,3,10
1509405722,7,1
1509406921,3,5
1509408122,3,0
1509408722,6,0
1509409922,3,0
1509410522,2,4
1509411122,1,0
1509411721,2,0
1509412921,0,2
1509415321,0,6
1509416522,1,3
1509417722,1,19
1509419521,2,5
1509422521,1,1
1509423721,0,13
1509424322,0,6
1509424921,4,0
1509426121,1,3
1509426721,1,0
1509427922,2,1
1509429723,0,2
1509432121,1,0
1509433921,0,1
1509435122,0,2
1509435722,1,0
1509436921,1,1
1509439321,0,4
1509440521,1,1
1509441722,1,2
1509442922,3,0
1509445322,1,2
1509446522,1,2
1509448321,1,2
1509449521,9,0
1509450121,3,2
1509450721,2,0
1509452521,0,3
1509453722,0,6
1509454322,2,0
1509456121,0,7
1509457322,2,0
1509457922,0,5
1509460921,0,3
1509462722,0,2
1509463322,1,0
1509463922,3,1
1509464522,7,0
1509466921,5,3
1509468122,2,5
1509470521,0,1
1509471122,1,0
1509471721,1,0
1509472321,9,1
1509472922,1,0
1509474123,0,6
1509475322,1,0
1509476522,1,0
1509477721,1,7
1509478321,1,0
1509478922,6,0
1509479522,2,1
1509480121,2,1
1509482522,0,2
1509483122,1,0
1509483722,1,1
1509484321,3,1
1509484922,1,0
1509486122,1,0
1509487922,1,9
1509488522,0,2
1509490322,1,2
1509490921,1,0
1509492122,1,0
1509493322,0,1
1509494521,1,0
1509496321,6,0
1509498121,1,1
1509501722,0,1
1509502921,1,0
1509505321,2,4
1509505921,2,0
1509506522,1,0
1509507122,0,1
1509507722,0,3
1509510122,1,0
1509511321,0,1
1509511922,0,1
1509514921,1,2
1509516121,1,3
1509517921,1,0
1509518521,0,1
1509520921,1,1
1509523321,0,6
1509523922,1,0
1509524522,0,1
1509525722,0,1
1509526922,1,4
1509528121,0,4
1509528722,0,2
1509530521,0,2
1509531722,1,0
1509532922,1,4
1509534122,3,0
1509534722,11,3
1509535922,7,4
1509536522,1,0
1509537723,0,2
1509538321,0,1
1509538921,1,1
1509539521,2,0
1509540121,1,1
