DateTime,Entries,UniqueIPs
1509405722,3132,3214
1509406921,3119,3201
1509408122,3121,3203
1509408722,3127,3209
1509409322,3129,3211
1509409922,3132,3214
1509410522,3134,3216
1509411122,3137,3219
1509411721,3140,3222
1509412921,3142,3224
1509414121,3141,3222
1509415321,3139,3220
1509416522,3127,3208
1509417722,3128,3209
1509418921,3127,3208
1509419521,3126,3207
1509420122,3124,3205
1509422521,3120,3201
1509423721,3110,3191
1509424921,3110,3191
1509426121,3111,3192
1509426721,3112,3193
1509427321,3109,3189
1509427922,3111,3191
1509428522,3107,3186
1509429723,3103,3182
1509430922,3101,3180
1509432121,3102,3181
1509433322,3101,3180
1509435122,3100,3179
1509435722,3101,3180
1509436321,3102,3181
1509436921,3103,3182
1509438122,3104,3183
1509439321,3103,3182
1509440521,3104,3183
1509441722,3097,3176
1509442922,3100,3179
1509443521,3093,3172
1509445322,3092,3171
1509446522,3092,3171
1509447121,3090,3169
1509447722,3089,3168
1509448321,3081,3160
1509449521,3090,3169
1509450121,3093,3172
1509450721,3095,3174
1509451322,3094,3172
1509453722,3081,3159
1509454322,3080,3158
1509454922,3079,3157
1509456121,3078,3156
1509457322,3071,3149
1509457922,3063,3141
1509458521,3062,3140
1509459722,3063,3141
1509460921,3058,3136
1509461522,3057,3135
1509462722,3050,3125
1509463322,3050,3125
1509463922,3053,3128
1509464522,3063,3138
1509465721,3059,3134
1509466921,3065,3141
1509467521,3064,3140
1509468122,3064,3139
1509469922,3065,3140
1509470521,3065,3140
1509471122,3067,3142
1509471721,3069,3144
1509472321,3077,3152
1509472922,3078,3153
1509474123,3066,3141
1509475322,3070,3146
1509476522,3063,3139
1509477721,3058,3133
1509478321,3059,3134
1509478922,3068,3143
1509479522,3050,3125
1509480121,3050,3125
1509482522,3048,3123
1509483122,3049,3124
1509483722,3048,3124
1509484321,3050,3126
1509484922,3039,3115
1509486122,3030,3105
1509487321,3031,3106
1509487922,3036,3111
1509488522,3037,3112
1509489721,3032,3107
1509490322,3033,3108
1509490921,3032,3107
1509492122,3026,3100
1509493322,3027,3100
1509494521,3025,3097
1509495122,3026,3098
1509495721,3024,3096
1509496321,3033,3105
1509498121,3031,3103
1509498722,3032,3104
1509499321,3030,3101
1509500522,3028,3099
1509501722,3024,3095
1509502322,3025,3096
1509502921,3027,3089
1509504121,3017,3073
1509505321,3018,3073
1509505921,3018,3073
1509506522,3020,3071
1509507122,3021,3072
1509507722,3006,3056
1509508921,3004,3052
1509510122,2997,3043
1509511321,2992,3037
1509512522,2990,3032
1509513122,2991,3033
1509513721,2990,3032
1509514921,2990,3032
1509516121,2984,3025
1509516721,2981,3022
1509517321,2977,3016
1509517921,2979,3018
1509518521,2973,3010
1509520322,2967,3003
1509520921,2968,3003
1509522121,2967,3002
1509523321,2958,2992
1509523922,2959,2993
1509525722,2954,2987
1509526922,2945,2975
1509529321,2942,2972
1509530521,2939,2969
1509531722,2929,2954
1509532922,2920,2945
1509534122,2924,2949
1509534722,2932,2956
1509535321,2930,2953
1509535922,2939,2962
1509536522,2940,2963
1509537723,2939,2962
1509538921,2939,2962
1509539521,2941,2964
1509540121,2943,2966
1509540722,2902,2919
1509541322,2904,2921
1509542522,2902,2919
1509543721,2891,2908
1509544922,2892,2909
1509545522,2890,2907
1509546722,2894,2911
1509547322,2907,2926
1509548521,2911,2930
1509549722,2905,2924
1509550921,2907,2926
1509552123,2909,2928
1509553921,2902,2921
1509554522,2907,2926
1509555721,2913,2932
1509556921,2914,2933
1509558121,2914,2933
1509558722,2916,2935
1509559322,2917,2936
1509560521,2901,2920
1509561721,2900,2919
1509562922,2898,2917
1509563521,2901,2920
1509564121,2904,2923
1509565321,2913,2932
1509565921,2914,2933
1509566522,2918,2938
1509567122,2928,2949
1509568322,2906,2928
1509568922,2909,2931
1509569521,2913,2935
1509570121,2914,2936
1509571321,2914,2936
1509572521,2918,2940
1509573122,2921,2943
1509573721,2920,2942
1509574922,2921,2943
1509575522,2923,2945
1509576121,2921,2943
1509577321,2923,2945
1509577921,2922,2944
1509578522,2925,2947
1509579721,2923,2945
1509580322,2924,2946
1509581522,2926,2948
1509582722,2927,2949
1509583323,2928,2950
1509584522,2924,2946
1509587521,2923,2945
1509588122,2925,2947
1509589322,2921,2943
1509590522,2920,2942
1509591721,2921,2943
1509592322,2920,2942
1509592921,2921,2943
1509593521,2919,2941
1509594721,2920,2942
1509595322,2918,2940
1509595922,2914,2936
1509597722,2913,2935
1509598921,2911,2933
1509599522,2910,2932
1509601322,2908,2930
1509602521,2909,2931
1509603121,2906,2928
1509603722,2906,2928
1509605521,2899,2921
1509606721,2900,2922
1509607322,2901,2923
1509608521,2902,2924
1509609721,2903,2925
1509611522,2901,2923
1509612122,2904,2926
1509612722,2903,2925
1509613322,2904,2926
1509613922,2902,2924
1509615722,2902,2925
1509616321,2902,2925
1509616922,2899,2922
1509618122,2901,2924
1509618722,2900,2923
1509619322,2896,2919
1509621721,2888,2911
1509623521,2888,2911
1509624721,2889,2912
1509625321,2885,2908
1509626522,2903,2926
1509627722,2897,2920
1509628322,2903,2927
1509628921,2904,2928
1509629522,2909,2933
1509630721,2910,2934
1509631321,2917,2943
1509631922,2926,2952
1509632522,2924,2950
1509633721,2933,2960
1509634922,2929,2956
1509636122,2932,2959
1509637322,2945,2972
1509638522,2950,2977
1509639122,2962,2989
1509639722,2966,2993
1509640922,2979,3006
1509641522,2985,3013
1509642121,2980,3008
1509642721,2978,3006
1509643322,2979,3007
1509644521,2982,3010
1509645122,2989,3017
1509645721,2991,3019
1509646322,2991,3019
1509646922,2988,3016
1509648122,2995,3023
1509649321,2983,3011
1509650522,2984,3012
1509651722,2987,3015
1509652922,2983,3012
1509653521,2986,3015
1509654122,2985,3014
1509655322,2989,3018
1509656521,2993,3022
1509657722,2985,3014
1509658921,2989,3018
1509660122,2995,3024
1509660722,3002,3031
1509661322,3003,3032
1509661922,3001,3030
1509662522,3006,3035
1509663122,3005,3034
1509663722,3004,3033
1509664322,3006,3035
1509664921,3007,3036
1509666121,3005,3034
1509666721,3006,3035
1509667322,3009,3038
1509667922,3008,3037
1509669723,3005,3034
1509670321,3006,3035
1509670921,3005,3034
1509672122,3006,3035
1509672721,3000,3029
1509673322,3001,3030
1509673921,3003,3032
1509674522,3000,3028
1509675121,3002,3030
1509675722,2994,3022
1509676321,2997,3025
1509676921,2995,3023
1509678121,2991,3019
1509679321,2990,3017
1509679922,2988,3015
1509681722,2982,3009
1509682922,2982,3009
1509684121,2979,3006
1509684722,2980,3007
1509685921,2984,3011
1509686522,2987,3014
1509688922,2953,2980
1509691322,2951,2978
1509692522,2950,2977
1509693122,2951,2978
1509693722,2954,2981
1509694322,2954,2981
1509694921,2952,2979
1509696121,2955,2983
1509696721,2960,2989
1509697321,2952,2982
1509698522,2959,2989
1509699721,2965,2996
1509700921,2959,2990
1509701521,2963,2996
1509702122,2965,2998
1509702722,2992,3025
1509703321,2992,3025
1509703922,2993,3026
1509704521,2988,3021
1509705122,2987,3020
1509705722,2982,3015
1509707522,2979,3012
1509708121,2983,3016
1509708722,2988,3021
1509709322,2990,3023
1509710522,2992,3025
1509711721,2993,3026
1509712321,2994,3027
1509712921,2984,3018
1509714122,2980,3014
1509715322,2982,3019
1509716522,2981,3018
1509717721,2972,3009
1509718921,2975,3012
1509719521,2989,3026
1509720122,2996,3033
1509720722,3006,3043
1509721322,2999,3036
1509721921,3004,3041
1509722522,3008,3045
1509723121,3009,3046
1509723721,3012,3049
1509724321,3018,3055
1509724922,3021,3058
1509726122,3023,3060
1509726722,3037,3075
1509727321,3039,3077
1509728522,3041,3079
1509729122,3044,3082
1509729722,3051,3089
1509730321,3056,3094
1509730922,3061,3101
1509732122,3067,3107
1509733322,3065,3107
1509733921,3068,3110
1509734522,3069,3111
1509735722,3070,3112
1509736921,3075,3117
1509738121,3081,3123
1509738721,3086,3128
1509739321,3093,3135
1509739922,3095,3137
1509740522,3097,3139
1509741722,3097,3139
1509742922,3099,3141
1509743521,3097,3139
1509744121,3095,3137
1509745922,3106,3148
1509746521,3108,3150
1509747122,3110,3152
1509748321,3111,3153
1509748922,3111,3153
1509749521,3114,3156
1509751321,3111,3153
1509751922,3114,3158
1509752521,3116,3160
1509753122,3119,3163
1509932615,2735,2775
1509933721,2744,2784
1509934921,2749,2789
1509935521,2752,2792
1509936121,2752,2792
1509936721,2754,2794
1509937321,2752,2792
1509937921,2761,2801
1509939121,2760,2800
1509939721,2763,2803
1509940321,2766,2806
1509940921,2771,2811
1509941521,2762,2802
1509942122,2755,2794
1509942721,2759,2798
1509943322,2762,2801
1509944521,2763,2802
1509945122,2766,2805
1509946922,2767,2806
1509947522,2768,2807
1509948121,2771,2810
1509948721,2772,2811
1509949321,2770,2809
1509950521,2773,2812
1509951121,2772,2811
1509951721,2774,2813
1509952321,2776,2815
1509954121,2777,2817
1509955321,2776,2816
1509956521,2777,2817
1509957121,2778,2818
1509957721,2777,2817
1509958322,2776,2816
1509959521,2777,2817
1509960122,2775,2815
1509961321,2766,2806
1509963121,2769,2809
1509965521,2767,2807
1509966721,2774,2815
1509968521,2780,2821
1509969121,2781,2822
1509970321,2783,2824
1509971521,2785,2826
1509972121,2783,2824
1509973322,2785,2826
1509974521,2788,2829
1509975121,2773,2814
1509975721,2765,2805
1509976321,2766,2806
1509976921,2765,2806
1509977521,2764,2805
1509978121,2771,2812
1509978721,2764,2805
1509979922,2765,2806
1509980521,2770,2812
1509981121,2773,2815
1509981721,2767,2809
1509982321,2768,2810
1509982921,2773,2816
