DateTime,AddedIPs,RemovedIPs
1509445322,4,9
1509446522,0,9
1509447121,2,0
1509448321,3,5
1509448921,1,5
1509450121,2,0
1509451322,8,12
1509452521,8,0
1509453721,0,18
1509454922,2,5
1509456121,1,19
1509456721,1,0
1509457322,0,6
1509457922,1,4
1509459722,2,0
1509460921,1,6
1509462121,2,0
1509462722,3,2
1509463321,16,6
1509463922,18,0
1509464522,4,0
1509465121,2,3
1509465721,0,20
1509466921,8,5
1509467521,0,4
1509468122,1,6
1509469922,9,0
1509470521,3,3
1509471721,2,10
1509472321,1,7
1509472922,3,0
1509474123,1,8
1509475322,5,12
1509477721,4,14
1509478922,2,0
1509480121,12,17
1509480721,10,0
1509482522,10,29
1509483122,3,0
1509483722,32,0
1509484321,6,0
1509484922,1,8
1509485521,2,16
1509486721,2,9
1509487321,20,9
1509488522,34,0
1509489721,18,11
1509490921,8,4
1509492122,29,21
1509492721,11,0
1509493322,6,12
1509493921,1,0
1509494521,7,7
1509495122,7,0
1509495721,3,23
1509496321,10,5
1509496921,3,0
1509498121,10,15
1509498722,16,0
1509499321,8,12
1509499922,4,8
1509500522,6,12
1509501722,17,6
1509502322,5,0
1509502921,7,1
1509504121,7,12
1509505321,3,0
1509505921,1,0
1509506522,5,5
1509507121,13,2
1509507722,6,8
1509508921,1,1
1509510122,9,5
1509511321,5,8
1509512522,3,7
1509513122,1,0
1509513721,1,1
1509514322,15,5
1509514921,5,0
1509516121,3,3
1509516721,3,2
1509517321,0,4
1509518521,1,2
1509519721,4,0
1509520921,2,0
1509521521,5,0
1509522121,0,11
1509523321,1,0
1509524522,2,2
1509525722,0,3
1509526922,51,2
1509528121,21,1
1509529321,8,11
1509530521,7,3
1509531722,3,11
1509532922,0,6
1509534121,13,4
1509534722,3,16
1509535321,5,6
1509535922,1,0
1509537723,51,14
1509538921,6,0
1509540121,2,2
1509540722,5,0
1509541322,5,0
1509542522,2,0
1509543121,1,2
1509543721,3,1
1509544922,10,0
1509545522,4,1
1509546122,0,9
1509547322,4,5
1509548521,11,0
1509549722,3,7
1509550921,2,15
1509552123,31,4
1509553921,17,14
1509554522,5,2
1509555122,12,0
1509555721,10,2
1509556921,0,6
1509557521,5,2
1509558121,1,0
1509558722,1,0
1509559322,0,3
1509560521,11,9
1509561721,4,0
1509562922,27,2
1509563521,7,0
