DateTime,AddedIPs,RemovedIPs
1509478922,10,10
1509480121,27,27
1509480721,14,14
1509482522,41,40
1509483122,29,30
1509483722,47,47
1509484321,20,20
1509484922,5,5
1509485521,22,22
1509486122,17,17
1509486721,16,16
1509487321,35,35
1509488522,67,67
1509489721,50,50
1509490921,37,37
1509492122,65,65
1509492721,62,62
1509493322,66,66
1509493921,13,12
1509494521,67,68
1509495122,55,55
1509495721,22,21
1509496321,52,53
1509496921,45,45
1509498121,53,53
1509498722,37,37
1509499321,24,24
1509499922,28,28
1509500522,37,37
1509501722,55,54
1509502322,34,34
1509502921,23,24
1509504121,46,46
1509505321,31,31
1509505921,5,5
1509506522,12,12
1509507121,40,40
1509507722,29,29
1509508921,28,28
1509510122,50,49
1509510722,11,11
1509511321,17,17
1509512522,37,38
1509513122,16,16
1509513721,13,13
1509514322,32,32
1509514921,18,18
1509516121,41,41
1509516721,33,33
1509517321,14,14
1509517921,4,4
1509518521,17,17
1509519721,22,22
1509520322,17,17
1509520921,12,12
1509521521,30,30
1509522121,10,10
1509523321,6,6
1509524522,22,22
1509525722,10,10
1509526922,64,64
1509528121,34,34
1509529321,40,40
1509530521,34,34
1509531722,25,25
1509532922,15,15
1509534121,38,38
1509534722,24,23
1509535321,17,17
1509535922,30,31
1509536522,17,17
1509537723,64,64
1509538921,23,23
1509540121,22,22
1509540722,19,19
1509541322,10,10
1509541921,6,6
1509542522,11,11
1509543121,13,13
1509543721,14,14
1509544922,18,18
1509545522,13,13
1509546122,8,8
1509547322,21,21
1509548521,30,30
1509549722,12,11
1509550921,9,10
1509552123,43,43
1509553921,53,53
1509554522,21,21
1509555122,53,53
1509555721,44,43
1509556921,52,52
1509557521,27,27
1509558121,16,16
1509558722,26,26
1509559322,17,17
1509560521,35,36
1509561721,35,34
1509562922,58,58
1509563521,30,30
1509564121,21,21
1509565321,29,29
1509565921,39,39
1509566522,33,33
1509567722,44,44
1509568321,21,21
1509568922,22,22
1509570121,46,46
1509571321,38,38
1509572521,63,64
1509573122,37,37
1509573721,42,42
1509574321,33,32
1509574922,29,30
1509575522,34,34
1509576121,21,21
1509577321,43,43
1509577921,33,32
1509578522,21,22
1509579721,62,61
1509580322,17,17
1509580922,40,40
1509581521,10,10
1509582122,18,18
1509582722,22,22
1509583323,41,41
1509583921,19,20
1509584522,52,51
1509585721,58,58
1509586321,20,21
1509586922,11,11
1509587521,26,26
1509588122,52,51
1509588721,19,19
1509589322,49,49
1509589921,30,31
1509590522,24,24
1509591121,28,28
1509591721,20,20
1509592921,44,44
1509594122,47,47
1509595322,45,45
1509596521,31,31
1509597122,9,9
1509597722,16,16
1509598921,44,44
1509600121,23,23
1509601322,41,41
1509601921,6,6
1509602521,19,19
1509603121,11,10
1509603721,8,8
1509604321,18,18
1509604921,5,5
1509605521,4,4
1509606121,20,20
1509607322,23,23
1509608521,67,67
1509609122,18,19
1509609721,14,14
1509610922,35,35
1509611521,26,26
1509612122,7,7
1509613322,30,30
1509613922,34,34
1509614521,6,6
1509615722,36,36
1509616321,24,24
1509616922,17,17
1509618121,33,33
1509619322,26,26
1509620522,34,33
1509621121,8,8
1509621721,27,27
1509623521,51,52
1509624122,17,17
1509624721,11,11
1509625321,5,5
1509626522,42,42
1509627722,43,43
1509628921,29,29
1509629522,6,6
1509630121,17,17
1509630721,3,3
1509631321,7,7
1509631922,8,8
1509632522,5,5
1509633121,12,12
1509633721,4,4
1509634922,10,9
1509635522,28,29
1509636122,20,20
1509636721,15,15
1509637322,9,9
1509638522,18,18
1509639121,21,21
1509639722,30,30
1509640922,21,21
1509641522,36,36
1509642121,13,13
1509643322,11,11
1509644521,20,20
1509645122,5,5
1509645721,8,8
1509646921,18,18
1509647522,23,23
1509648122,21,21
1509649321,14,14
1509649922,16,15
1509650522,19,19
1509651122,6,6
1509651722,15,15
1509652322,4,4
1509652921,12,12
1509653521,3,3
1509654122,10,11
1509654721,14,14
1509655322,28,28
1509655921,19,19
1509656521,16,15
1509657722,39,39
1509658321,10,11
1509658921,31,31
1509660122,32,32
1509660722,17,17
1509661322,13,13
1509661922,9,9
1509662522,21,21
1509663722,53,53
1509664322,21,21
1509664921,7,7
1509666121,51,50
1509666721,14,14
1509667322,40,41
1509669722,42,42
1509670921,17,17
1509672121,63,63
1509672721,18,17
1509673322,23,23
1509673921,6,6
1509674522,37,37
1509675722,20,21
1509676321,54,54
1509676921,19,19
1509678121,41,41
1509679321,38,38
1509679922,17,17
1509680522,38,37
1509681722,26,26
1509682921,56,56
1509684121,39,39
1509684722,39,39
1509685322,13,13
1509686521,41,42
1509687121,6,6
1509687722,34,34
1509688922,34,33
1509690121,53,54
1509691322,39,39
1509692522,34,33
1509693122,15,15
1509693722,7,7
1509694921,43,43
1509696121,30,30
1509696721,7,7
1509697321,7,7
1509698522,8,8
1509699121,9,9
1509699721,19,19
1509700921,15,16
1509702122,30,30
1509702721,23,23
1509703321,15,15
1509703922,31,30
1509704521,43,43
1509705122,5,6
1509705722,1,1
1509706922,20,20
1509707522,34,34
1509708121,3,3
1509708722,14,13
1509709322,6,7
1509710522,13,13
1509711721,9,9
1509712321,13,13
1509712921,5,5
1509714122,14,14
1509715322,72,71
1509715921,13,13
1509716522,30,31
1509717721,35,35
1509718921,14,14
1509720122,16,16
1509721322,34,34
1509721921,4,4
1509722522,14,14
1509723121,9,9
1509723721,17,17
1509724922,19,18
1509726122,27,27
1509726722,23,23
1509727321,10,10
1509728522,24,25
1509729122,21,21
1509729721,31,30
1509730321,8,8
1509730921,9,10
1509731522,17,17
1509732122,4,4
1509733322,31,31
1509734522,32,32
1509735122,6,6
1509735721,5,5
1509736322,76,75
1509736921,50,50
1509738121,35,35
1509738721,38,38
1509739321,32,32
1509740522,57,58
1509741722,45,44
1509742322,26,27
1509742922,38,38
1509743521,48,48
1509744121,38,37
1509744721,28,28
1509745321,41,41
1509746521,65,65
1509747721,58,59
1509748922,33,33
1509749521,32,32
1509751321,44,44
1509751922,22,22
1509752521,18,18
1509753122,13,12
1509753722,15,16
1509932615,47,81
1509933721,63,29
1509934921,31,31
1509935521,11,11
1509936121,38,38
1509936721,25,25
1509937921,35,34
1509939121,31,32
1509939721,22,22
1509940321,33,33
1509940921,17,17
1509941521,28,28
1509942122,17,17
1509942721,22,22
1509943322,17,17
1509943921,28,28
1509944521,14,14
1509945122,7,7
1509945721,6,6
1509946922,20,20
1509947522,9,9
1509948121,30,30
1509948721,22,22
1509949321,9,9
1509949921,21,21
1509950521,7,7
1509951121,21,21
1509951721,14,14
1509952321,11,11
1509952921,30,30
1509954121,11,10
1509954721,20,20
1509955321,5,6
1509955922,7,7
1509956521,14,14
1509957121,3,3
1509957721,3,3
1509958322,11,11
1509958921,34,34
1509959521,36,35
1509960122,14,14
1509960721,22,23
1509961321,6,6
1509961921,19,19
1509962521,20,20
1509963121,26,25
1509963721,26,26
1509964321,22,22
1509965521,31,32
1509966721,31,31
1509967321,9,9
1509968521,47,47
1509969121,23,23
1509970321,29,29
1509970921,9,9
1509971521,24,24
1509972121,7,7
1509973322,32,32
1509974521,13,13
1509975121,6,6
1509975721,14,14
1509976321,13,12
1509976921,5,6
1509977521,10,10
1509978121,20,20
1509978721,14,14
1509979321,7,7
1509979922,6,6
1509980521,6,6
1509981121,26,26
1509981721,14,14
1509982321,21,20
1509982921,13,14
1509983521,24,24
1509984121,25,25
1509984721,24,23
1509985922,22,22
1509986521,34,34
1509987121,6,6
1509987721,8,8
1509988321,11,11
1509989521,30,31
1509991321,28,28
1509992521,25,25
1509993121,7,7
1509993721,23,23
1509994322,6,6
1509994921,31,30
1509995521,20,20
1509996121,29,29
1509997322,49,49
1509997921,29,29
1509999121,14,14
1509999721,20,21
1510000321,17,17
1510000921,17,17
1510001521,8,8
1510002121,24,24
1510002721,15,15
1510005721,60,60
1510006321,27,27
1510006921,15,15
1510008122,28,28
1510008721,11,11
1510009921,49,49
1510010521,19,19
1510011121,4,4
1510011721,21,21
1510012321,20,20
1510013521,26,26
1510014721,16,16
1510015321,21,21
1510015921,47,46
1510016521,24,24
1510017721,56,56
1510018322,31,31
1510019521,51,52
1510020121,20,20
1510020721,11,11
1510021322,14,14
1510021921,11,11
1510022521,15,15
1510023121,23,23
1510024322,43,42
1510024921,19,20
1510025522,25,25
1510026121,17,17
1510027321,45,45
1510027921,22,21
1510029121,25,26
1510029721,18,18
1510030321,11,11
1510030921,19,19
1510031521,21,20
1510032121,15,15
1510032721,11,11
1510033322,4,5
1510033921,26,26
1510034521,35,35
1510035121,20,19
1510035722,15,15
1510036921,48,49
1510037522,15,15
1510038721,2,2
1510039921,17,17
1510041121,26,26
1510041721,9,9
1510042321,11,11
1510042921,2,2
1510043521,13,13
1510044121,2,2
1510044722,9,9
1510045922,13,13
1510046521,6,6
1510047121,3,3
1510048321,8,8
1510048921,53,53
1510049521,27,26
1510050121,23,23
1510050721,31,31
1510051321,24,24
1510051921,23,23
1510052521,26,27
1510053721,29,29
