DateTime,AddedIPs,RemovedIPs
1508250693,83,0
1508254293,95,0
1508257892,96,0
1508261493,87,0
1508265092,69,0
1508268692,84,0
1508272293,114,0
1508275893,86,0
1508279493,54,0
1508283093,52,0
1508286692,79,2467
1508290293,61,0
1508293893,85,0
1508297493,125,0
1508301092,178,0
1508304693,138,0
1508308293,104,0
1508311892,504,0
1508315493,377,0
1508319092,209,0
1508322693,164,0
1508326293,120,0
1508329893,283,0
1508333493,171,0
1508337093,64,0
1508340693,59,0
1508344293,194,0
1508347893,187,0
1508351492,127,0
1508355092,104,0
1508358693,56,0
1508362293,49,0
1508365893,70,0
1508369493,78,0
1508373093,78,3098
1508376693,76,0
1508380293,80,0
1508383893,82,0
1508387493,177,0
1508391093,232,0
1508394693,105,0
1508398293,99,0
1508401893,134,0
1508405494,115,0
1508409093,107,0
1508412693,92,0
1508416294,98,0
1508419893,87,0
1508423494,74,0
1508427093,91,0
1508430693,79,0
1508434293,85,0
1508437894,132,0
1508441493,61,6
1508445094,76,0
1508449593,86,0
1508453193,75,0
1508456793,63,0
1508460393,70,3559
1508463993,86,0
1508467593,68,0
1508471193,99,0
1508474793,183,0
1508478393,92,0
1508481993,87,0
1508485594,93,0
1508489193,106,0
1508492793,121,0
1508496394,92,0
1508499993,84,0
1508503593,109,0
1508507193,79,0
1508510793,98,0
1508514394,94,0
1508517993,92,0
1508521593,136,0
1508525193,114,0
1508528794,66,0
1508532393,68,0
1508535994,85,0
1508539594,78,0
1508543194,60,0
1508546793,70,2406
1508550394,64,0
1508553994,84,0
1508557594,97,0
1508561193,92,0
1508564794,103,0
1508568393,88,0
1508571993,97,0
1508575593,112,0
1508579194,96,0
1508582793,104,0
1508586394,108,2
1508589994,122,0
1508593594,87,0
1508597194,78,0
1508600794,85,0
1508604394,107,0
1508607994,103,0
1508611594,106,0
1508615193,153,0
1508618794,91,0
1508622394,71,0
1508625994,59,0
1508629593,76,0
1508633194,65,2286
1508636794,81,0
1508640394,77,0
1508643994,156,0
1508647594,89,0
1508651194,81,0
1508654794,78,0
1508658394,89,0
1508661994,80,0
1508665594,75,0
1508669193,68,0
1508672794,66,0
1508676394,97,0
1508679994,94,0
1508683594,69,0
1508687194,102,0
1508690794,100,0
1508694394,167,0
1508697994,155,0
1508701595,76,0
1508705194,90,0
1508708794,50,0
1508712394,99,0
1508715995,69,0
1508719594,78,2176
1508723194,75,0
1508726794,91,0
1508730394,93,0
1508733994,84,0
1508737594,145,0
1508741194,144,0
1508744794,129,0
1508748394,117,0
1508751995,145,0
1508755594,123,0
1508759194,516,0
1508762795,393,0
1508766394,390,0
1508769994,221,0
1508773594,190,0
1508777195,182,0
1508780794,103,0
1508784395,136,0
1508787995,79,0
1508791595,77,0
1508795195,66,0
1508798794,72,0
1508802394,63,0
1508805994,75,2188
1508809594,83,0
1508813195,94,0
1508816794,72,0
1508820395,87,0
1508823995,132,0
1508827594,141,0
1508831195,286,0
1508834795,603,0
1508838394,359,0
1508841994,138,0
1508845595,227,0
1508849195,174,0
1508852795,169,0
1508856395,484,0
1508859995,142,0
1508863595,190,0
1508867195,94,0
1508870794,73,0
1508874395,75,0
1508877994,72,0
1508881595,111,0
1508885195,63,0
1508888794,66,0
