DateTime,AddedIPs,RemovedIPs
1507881769,1,0
1507882639,2,7
1507889834,4,3
1507897037,7,3
1507904240,15,4
1507911444,3,7
1507913246,1,0
1507918641,4,5
1507919540,1,0
1507925843,5,2
1507927640,1,0
1507933041,4,4
1507936641,1,0
1507940242,1,1
1507947434,2,5
1507952836,0,2
1507954664,3,4
1507961839,5,6
1507969033,17,5
1507976240,2,6
1507983433,1,4
1507990638,3,3
1507997839,4,3
1508001448,2,0
1508005039,12,3
1508012240,13,5
1508019444,5,5
1508020342,1,0
1508026643,8,3
1508033844,5,7
1508041067,3,1
1508048243,4,5
1508055440,5,5
1508062639,5,4
1508069839,4,2
1508077038,3,7
1508080644,1,0
1508084236,1,6
1508089639,0,1
1508091443,2,7
1508095038,1,0
1508098643,1,4
1508105843,4,5
1508113039,3,1
1508120237,1,3
1508126567,3,1
1508127461,3,3
1508134643,0,3
1508141841,3,4
1508149035,5,3
1508156244,3,4
1508162573,0,1
1508163442,6,3
1508170643,6,3
1508171536,0,1
1508175141,2,0
1508177838,1,2
1508185039,4,5
1508185940,1,0
1508192237,3,4
1508199443,1,3
1508206640,2,3
1508213862,2,6
1508217444,0,1
1508221035,2,5
1508229137,5,2
1508235436,1,2
1508242637,6,5
1508245367,0,1
1508249842,3,0
1508251637,0,1
1508252562,1,0
1508256165,1,0
1508257038,2,9
1508259767,0,1363
1508262439,1415,0
1508264243,12,2
1508266971,1,0
1508271443,4,3
1508278636,4,8
1508282245,0,1
1508285835,3,4
1508293040,2,8
1508300270,3,8
1508307448,1,7
1508311041,0,1
1508314643,6,7
1508321841,2,3
1508329049,2,8
1508336241,5,2
1508343445,6,1
1508350649,3,8
1508357839,5,3
1508365040,4,2
1508371382,0,1
1508372245,5,1
1508379445,4,1
1508382169,1,0
1508383055,1,1
1508386671,4,3
1508393848,3,10
1508398340,0,1
1508401037,4,2
1508403777,1,0
1508408237,0,2
1508411838,1,0
1508413641,1,0
1508415444,2,3
1508422642,5,0
1508425374,0,1
1508429844,2,5
1508433440,1,54
1508437038,4,4
1508441521,0,1
1508444214,6,1
1508451402,4,9
1508458606,2,6
1508460404,1,0
1508464008,0,1
1508465802,1,7
1508473028,3,2
1508476609,1,0
1508480204,4,7
1508487406,4,3
1508494600,2,4
1508501807,5,4
1508509003,2,4
1508516204,9,1
1508520704,0,1
1508521601,0,1
1508523416,5,0
1508525209,0,1
1508526132,1,0
1508527005,0,3
1508529741,1399,0
1508530613,7,5
1508537843,3,6
1508541439,0,1
1508545051,4,7
1508552248,4,4
1508555854,0,1
1508559478,2,15
1508566657,2,3
1508573849,2,0
1508581050,3,6
1508588253,1,5
1508590979,1,0
1508595453,2,2
1508599052,0,2
1508601787,0,1
1508602645,3,6
1508609842,4,5
1508617051,8,4
1508624252,17,5
1508635053,1194,0
1508638656,1,5
1508645884,1,7
1508651253,0,1
1508653052,0,2
1508660256,6,0
1508667458,11,4
1508671051,0,1
1508674649,6,3
1508681853,3,8
1508685450,0,1
1508689054,4,5
1508696256,4,2
1508699855,1,0
1508703446,4,3
1508710653,2,2
1508713387,0,1
1508717849,5,3
1508725048,2,3
1508732280,4,3
1508739453,1,6
1508743051,0,1
1508746653,3,1
1508753853,1,5
1508761058,6,5
1508768252,3,5
1508775455,0,2
1508778206,1011,0
1508782658,2,4
1508786274,2,0
1508789861,7,2
1508797052,7,1
1508804256,6,3
1508807862,2,0
1508811454,0,3
1508818696,4,2
1508825859,3,3
1508833054,3,7
1508840258,4,3
1508847455,22,5
1508854667,4,4
1508859163,0,1
1508861858,5,5
1508870861,3,1819
1508875388,1,0
1508876255,3,2
