DateTime,AddedIPs,RemovedIPs
1508065398,2,0
1508068937,1,5
1508076197,2,3
1508079737,0,2
1508083399,0,2
1508086937,1,0
1508090597,1,3
1508097798,1,3
1508101338,2,1
1508104938,1,1
1508108597,1,0
1508112197,2,2
1508115798,1,0
1508119338,0,2
1508122938,1,0
1508126538,1,6
1508133798,0,3
1508137338,2,0
1508140938,1,2
1508144599,3,0
1508148199,2,3
1508155399,1,0
1508158998,2,2
1508162599,4,0
1508166199,4,1
1508169739,1,0
1508173339,0,4
1508180540,1,3
1508187799,1,0
1508191399,1,2
1508202200,0,2
1508205739,1,1
1508209340,1,0
1508212939,0,4
1508216599,2,0
1508220199,0,3
1508223799,2,0
1508227400,2,3
1508231000,0,2
1508234540,0,3
1508238141,2,0
1508241740,3,2
1508245340,0,2
1508249000,1,2
1508252600,1,4
1508256200,2,2
1508259800,11,2
1508263341,0,4
1508267000,1,0
1508270600,2,4
1508274140,3,0
1508277741,1,4
1508281400,1,1
1508284940,1,0
1508288601,0,2
1508292140,1,0
1508295741,3,2
1508297480,0,3
1508299342,0,3
1508302940,0,2
1508310201,2,4
1508313800,3,0
1508317341,0,5
1508324541,0,3
1508328201,2,0
1508331801,2,2
1508335401,3,1
1508338942,4,0
1508342601,2,2
1508349741,3,6
1508353401,2,0
1508357001,1,3
1508360601,11,0
1508364201,0,1
1508367741,1,3
1508371402,3,0
1508375005,1,0
1508378602,3,0
1508382202,3,2
1508385802,0,3
1508389402,1,0
1508393002,1,4
1508396542,2,0
1508400142,1,2
1508407342,0,5
1508411002,1,0
1508414542,1,3
1508418203,3,2
1508421802,0,1
1508425342,1,3
1508428942,1,0
1508432543,3,0
1508436203,1,3
1508439802,2,3
1508443402,2,0
1508447002,3,2
1508450543,1,4
1508454203,0,1
1508457802,2,0
1508461344,0,1
1508464942,1,4
1508468542,2,0
1508472203,0,3
1508475803,0,1
1508479343,3,2
1508483003,2,2
1508486603,2,0
1508490203,1,4
1508497403,2,1
1508501003,2,3
1508504603,2,2
1508511803,4,7
1508515403,1,0
1508519003,1,4
1508519864,3,2
1508526203,2,2
1508529803,3,4
1508533403,0,3
1508537003,2,0
1508540543,3,0
1508544203,1,0
1508547805,2,0
1508551404,1,0
1508554944,1,3
1508558604,1,0
1508562204,0,1
1508565804,2,2
1508569404,1,1
1508573004,0,1
1508576544,1,2
1508580144,1,0
1508583744,1,3
1508590944,1,2
1508594604,2,2
1508601804,1,1
1508605344,3,0
1508609005,1,2
1508612545,1,0
1508616145,6,1
1508619805,2,3
1508623406,0,1
1508627005,0,3
1508634204,0,3
1508641404,1,2
1508648607,0,3
1508652206,0,3
1508655745,1,1
1508659345,4,1
1508662945,10,0
1508666606,1,3
1508670205,3,1
1508673806,2,1
1508677345,3,2
1508684546,1,0
1508688205,3,0
1508691806,2,0
1508695406,1,9
1508699005,1,0
1508702605,2,0
1508706206,1,3
1508713346,3,5
1508717006,1,3
1508720546,0,4
1508724146,2,0
1508727746,3,8
1508731406,1,4
1508738606,1,3
1508742146,2,7
1508745806,1,2
1508749406,1,4
1508756606,2,2
1508760146,2,0
1508763807,3,4
1508767646,0,4
1508780907,0,1
1508781746,1,2
1508782773,3,0
1508789007,1,1
1508792546,1,2
1508796207,5,2
1508799806,4,0
1508803406,1,0
1508810607,0,1
1508814147,2,0
1508821347,0,2
1508824947,3,0
1508828607,1,8
1508832208,2,2
1508835807,1,1
1508839408,2,1
1508843007,19,0
1508846607,3,3
1508850207,1,2
1508853808,2,0
1508857407,3,0
1508861007,1,0
1508864547,2,4
1508871807,1,2
1508875407,2,1
1508878947,5,0
1508886208,0,9
1508889748,1,1
1508893408,1,5
1508900548,2,4
1508904210,1,1
1508907808,1,0
1508911408,1,5
1508914948,1,0
1508918608,3,3
1508922208,2,0
1508925748,2,2
1508929348,3,0
1508933008,1,6
1508936548,1,0
1508940208,2,1
1508943748,5,3
1508947408,4,1
1508951008,2,0
1508954548,1,0
1508958148,0,1
1508961808,4,0
1508965408,1,3
1508969008,1,1
1508972549,2,0
1508976148,0,5
1508979809,0,6
1508983409,1,0
1508987009,2,2
1508990609,1,0
1508994209,1,3
1508997809,3,0
1509001409,2,3
1509004949,2,0
1509012209,11,0
1509015749,1,2
1509019349,9,0
1509023009,2,5
1509026549,2,0
1509030209,1,1
1509033749,12,0
1509037349,2,5
1509040949,2,0
1509044609,12,4
1509048209,4,3
1509058950,2,3
1509062549,1,2
1509069809,1,0
1509073350,2,5
1509077010,1,0
1509080610,0,1
1509084150,0,5
1509087810,3,0
1509091410,2,1
1509095010,2,0
1509098550,0,3
1509102210,21,0
1509105750,2,2
1509109350,1,0
1509116611,1,3
1509120210,1,9
1509123750,1,2
1509127410,0,1
1509131010,3,2
1509134610,2,1
1509138210,3,0
1509141810,0,2
1509149011,2,0
1509152611,9,2
1509156211,1,2
1509159751,0,1
1509167011,1,0
1509170551,2,3
1509174211,2,2
1509177751,3,6
1509181351,4,0
1509185011,1,2
1509188551,1,0
1509192211,0,3
1509199411,3,3
1509202951,2,4
1509206611,11,0
1509210151,0,2
1509213751,1,0
1509217411,2,3
1509221011,2,0
1509224551,3,2
1509228151,3,0
1509235411,0,1
1509238952,2,0
1509242552,1,3
1509246212,0,1
1509253352,1,3
1509257012,2,0
1509260612,0,1
1509264152,2,0
1509267812,0,3
1509271352,2,2
1509274952,5,2
1509278612,4,1
1509282152,13,5
1509285752,2,1
1509293012,4,6
1509300152,1,2
1509303752,0,3
1509307412,2,0
1509310952,3,1
1509314552,1,0
1509318213,1,3
1509325413,1,0
1509328952,1,3
1509336153,0,2
1509339813,1,1
1509343413,4,2
1509350613,3,3
1509354213,0,3
1509357753,3,2
1509361413,1,0
1509364953,1,4
1509368553,3,0
1509372153,6,6
1509375813,4,0
1509379413,1,0
1509383013,4,0
1509386613,0,3
1509390153,2,0
1509393813,0,1
1509397413,1,2
1509401013,3,0
1509404613,3,4
1509408154,2,0
1509411754,0,1
1509415354,1,0
1509418954,1,3
1509419860,18,0
1509426154,4,6
1509429754,3,2
1509436954,1,1
1509440554,2,10
1509444214,2,0
