DateTime,AddedIPs,RemovedIPs
1507715559,2,3
1507719398,5,20
1507723257,5,3
1507727088,3,15
1507730927,1,4
1507738600,4,8
1507742441,1,0
1507747142,3,13
1507750857,6,10
1507754688,4,3
1507758515,6,5
1507762366,5,4
1507766198,8,6
1507770059,4,3
1507773892,6,10
1507777714,3,1
1507781566,6,7
1507785395,0,1
1507789245,4,2
1507793076,3,0
1507797174,3,2
1507801003,1,3
1507804827,1,4
1507812523,4,1
1507816354,3,1
1507820196,1,4
1507824945,4,3
1507828828,3,1
1507832682,2,1
1507836560,3,3
1507840368,1,2
1507844187,1,3
1507851876,2,2
1507855705,4,4
1507859545,5,1
1507863374,1,3
1507867218,6,9
1507871073,4,10
1507874923,6,8
1507878740,6,10
1507882593,5,4
1507886418,2,6
1507890268,3,2
1507894103,2,2
1507897982,4,6
1507901821,1,1
1507905631,0,1
1507910161,2,1
1507914074,11,8
1507917878,3,7
1507921965,2,0
1507925802,8,1
1507929682,3,4
1507933478,2,2
1507945007,1,1
1507949312,1,0
1507953299,3,3
1507957033,5,2
1507960721,7,2
1507964445,3,0
1507968317,6,2
1507972140,6,3
1507975810,2,3
1507979832,6,0
1507983671,1,0
1507987506,1,0
1507991320,2,0
1507995180,1,0
1507999032,4,1
1508002840,6,0
1508006687,4,4
1508010772,10,8
1508014626,3,3
1508018455,3,5
1508022288,6,3
1508026143,3,3
1508029990,2,4
1508033824,2,1
1508037684,10,7
1508041501,0,2
1508045337,6,8
1508049195,4,3
1508053002,3,8
1508057071,7,5
1508060916,4,4
1508064753,8,7
1508068595,1,1
1508072418,1,1
1508076289,1,1
1508080111,2,4
1508083975,2,2
1508087784,2,7
1508091626,5,7
1508095468,8,6
1508099312,24,13
1508103168,27,19
1508107001,15,9
1508110820,14,4
1508114661,5,2
1508118516,1,2
1508122336,5,2
1508126198,4,1
1508130020,1,1
1508133873,8,7
1508137717,7,7
1508141558,8,9
1508145387,3,1
1508149189,22,9
1508153067,23,17
1508156928,9,10
1508160788,2,4
1508164598,4,2
1508168436,1,1
1508172272,3,2
1508176108,14,8
1508179973,24,16
1508183761,8,7
1508187663,6,5
1508191479,15,13
1508195323,15,8
1508199177,14,3
1508203285,28,17
1508207072,6,4
1508210939,6,11
1508214785,4,15
1508218622,5,6
1508222462,3,4
1508233995,24,20
1508237816,2,9
1508245519,9,24
1508253195,2,11
1508260873,18,17
1508264679,26,12
1508268544,18,12
1508280296,26,17
1508284135,21,3
1508288243,21,3
1508292057,7,3
1508299744,44,61
1508303581,11,20
1508307408,7,19
1508319202,43,30
1508323051,12,9
1508334541,12,30
1508338621,5,6
1508342672,4,2
1508346517,0,8
1508350372,14,10
1508354205,11,10
1508358024,16,24
1508361886,18,7
1508365732,22,16
1508369553,21,12
1508373449,19,17
1508377242,16,14
1508381067,22,19
1508384917,18,11
1508388756,24,7
1508392590,11,5
1508396419,2,1
1508400281,1,0
1508404116,5,4
1508407946,3,4
1508415633,2,3
1508419480,8,4
1508423322,9,8
1508427181,12,15
1508431020,9,10
1508434832,9,9
1508438673,22,21
1508442515,6,6
1508446357,1,1
1508450264,2,2
1508457925,0,1
1508465837,2,4
1508469674,8,11
1508473471,9,11
1508477595,4,8
1508481653,7,6
1508485496,4,8
1508489573,5,8
1508493439,4,4
1508497309,2,6
1508501112,2,3
1508504932,0,4
1508508757,5,5
1508512613,1,0
1508516464,7,9
1508520298,8,13
1508524901,12,14
1508528680,5,7
1508532509,5,4
1508536377,6,6
1508540193,3,4
1508544079,6,7
1508547875,2,6
1508551720,0,2
1508555566,1,2
1508559385,5,12
1508563247,2,4
1508567086,9,10
1508570794,9,10
1508574643,15,15
1508578383,15,25
1508582211,12,11
1508605476,0,1
1508609316,1,7
1508613323,5,7
1508617012,1,2
1508620846,9,8
1508624940,4,8
1508628759,6,8
1508636431,16,20
1508640554,7,11
1508644390,5,2
1508648199,0,1
1508652065,2,0
1508655879,3,8
1508659734,5,7
1508667400,8,26
1508671231,4,11
1508678918,2,8
1508682791,1,13
1508686630,1,6
1508690449,3,4
1508698138,2,1
1508701984,1,2
1508710096,4,3
1508714003,2,1
1508718052,0,1
1508721890,1,1
1508725723,1,0
1508729561,3,5
1508733405,2,3
1508737469,11,8
1508741342,33,20
1508745191,32,30
1508748988,27,21
1508752848,8,6
1508756717,7,2
1508760513,4,4
1508764379,8,5
1508768196,1,3
1508772051,17,13
1508775889,12,8
1508779726,13,14
1508787424,28,20
1508791257,2,0
1508798935,3,5
1508802764,6,3
1508806629,9,11
1508810474,18,9
1508814275,22,7
1508818123,11,4
1508821992,16,5
1508826060,31,23
1508830152,28,16
1508833974,20,17
1508837833,19,23
1508841654,4,13
1508845489,18,19
1508849332,24,25
1508853178,39,32
1508857348,15,13
1508861693,7,2
1508865425,13,14
1508870161,39,41
1508874056,6,6
1508877891,23,18
1508881763,27,21
1508885579,22,18
1508889438,12,9
1508893252,23,24
1508897106,22,21
1508900807,16,15
1508904540,6,10
1508912217,6,6
1508916036,5,3
1508919874,4,5
1508923750,27,28
1508927602,27,17
1508931424,28,31
1508935241,32,33
1508939076,25,23
1508942927,2,7
1508947595,3,5
1508951310,3,3
1508955177,1,7
1508958999,4,4
1508962851,5,5
1508966681,3,5
1508970522,5,6
1508974374,3,5
1508978444,2,3
1508982273,1,4
