DateTime,AddedIPs,RemovedIPs
1507754697,73,57
1507758523,108,103
1507762373,220,302
1507766208,162,161
1507770072,87,69
1507773907,89,67
1507777722,72,60
1507781573,78,67
1507785404,123,173
1507789251,249,269
1507793093,214,232
1507797177,100,67
1507801016,32,20
1507804831,82,56
1507808678,17,10
1507812529,29,52
1507816357,26,19
1507820201,18,17
1507824951,28,50
1507828837,35,20
1507832686,23,2
1507836568,76,30
1507840378,43,8
1507844194,25,23
1507848046,34,43
1507851880,70,62
1507855715,27,30
1507859548,42,54
1507863379,25,39
1507867225,17,5
1507871080,41,37
1507874941,30,31
1507878753,53,54
1507882600,27,32
1507886427,38,66
1507890275,13,16
1507894112,16,42
1507897997,17,23
1507901841,16,8
1507905642,25,56
1507910169,34,18
1507914097,44,53
1507917888,42,33
1507921974,59,23
1507925810,75,36
1507929693,41,5
1507933485,27,25
1507937318,24,34
1507945020,20,50
1507949319,7,8
1507953314,29,41
1507957051,47,49
1507960734,65,70
1507964462,33,11
1507968339,58,83
1507972150,57,26
1507975822,53,36
1507979846,48,59
1507983680,21,12
1507987525,26,47
1507991331,28,43
1507995188,19,15
1507999051,38,55
1508002851,60,73
1508006702,49,27
1508010779,78,56
1508014648,66,24
1508018464,60,52
1508022303,46,47
1508026149,28,30
1508030005,25,28
1508033830,43,49
1508037706,15,34
1508041517,15,13
1508045346,63,79
1508049210,64,64
1508053026,53,83
1508057084,72,57
1508060926,67,54
1508064758,62,36
1508068601,32,44
1508072422,23,44
1508076297,21,8
1508080116,7,65
1508083980,14,18
1508087794,24,51
1508091631,56,37
1508095484,84,63
1508099322,103,42
1508103189,145,119
1508107010,101,99
1508110829,260,246
1508114666,191,189
1508118520,114,118
1508122339,125,122
1508126202,97,100
1508130024,98,108
1508133879,114,115
1508137729,167,156
1508141566,161,156
1508145394,240,244
1508149196,109,110
1508153081,143,149
1508156933,308,297
1508160804,403,402
1508164604,435,436
1508168443,410,410
1508172280,404,403
1508176118,392,394
1508179983,143,152
1508183768,86,84
1508187670,84,87
1508191488,101,113
1508195330,87,73
1508199187,84,88
1508203299,96,94
1508207078,182,174
1508210958,392,387
1508214802,320,321
1508218636,179,183
1508222481,158,157
1508234009,411,409
1508237831,358,356
1508245531,447,447
1508253214,450,450
1508264691,445,449
1508268555,381,379
1508280307,447,445
1508284151,140,141
1508288269,99,100
1508292086,355,356
1508299752,261,260
1508303591,127,147
1508307416,169,152
1508319217,447,442
1508323076,212,214
1508334563,415,413
1508338635,448,449
1508342685,451,450
1508346527,417,418
1508350383,449,449
1508354212,247,248
1508358037,172,174
1508361902,110,110
1508365742,180,181
1508369561,313,309
1508373479,74,77
1508377246,104,104
1508381074,355,352
1508384929,419,420
1508388766,435,437
1508392601,447,445
1508396423,124,125
1508400293,30,31
1508404121,75,80
1508407950,48,48
1508411792,6,8
1508415638,56,113
1508419491,71,71
1508423335,113,119
1508427196,72,66
1508431030,103,40
1508434841,91,92
1508438679,101,101
1508442526,89,95
1508446363,21,26
1508450268,23,36
1508454080,17,24
1508457948,33,47
1508461702,16,20
1508465842,32,49
1508469693,44,72
1508473476,74,46
1508477603,72,80
1508481658,66,51
1508485502,60,44
1508489581,50,55
1508493448,52,49
1508497336,30,70
1508501127,21,12
1508504936,30,31
1508508763,21,38
1508512617,13,14
1508516485,28,55
1508520317,58,76
1508524907,116,41
1508528687,50,21
1508532515,73,47
1508536384,81,78
1508540203,50,55
1508544119,45,44
1508547879,27,37
1508551726,14,36
1508555572,9,9
1508559389,32,43
1508563252,30,29
1508567094,63,97
1508570805,108,93
1508574659,137,89
1508578391,98,84
1508582231,249,234
1508591808,19,23
1508605480,7,7
1508609326,27,34
1508613328,92,91
1508617016,17,19
1508620851,81,87
1508624955,63,71
1508628768,57,61
1508636436,120,130
