DateTime,AddedIPs,RemovedIPs
1507681044,233,240
1507684900,252,233
1507688775,273,251
1507692577,307,263
1507696442,198,176
1507700278,144,97
1507704095,162,124
1507707966,127,145
1507711800,216,284
1507715618,275,302
1507719444,264,265
1507727140,289,290
1507730967,33,32
1507734817,165,218
1507738648,234,235
1507742500,166,177
1507747228,271,247
1507750906,320,268
1507754736,289,317
1507758566,318,295
1507762417,287,267
1507766254,292,333
1507777753,257,298
1507781608,242,257
1507785444,236,242
1507789282,160,145
1507793157,148,154
1507797194,66,57
1507801069,29,34
1507804847,47,37
1507808695,25,20
1507812548,34,39
1507816374,34,31
1507820229,23,19
1507824972,95,52
1507828885,425,291
1507832708,447,443
1507836597,438,447
1507840404,436,429
1507844232,447,444
1507848073,444,446
1507851900,440,441
1507855739,442,441
1507859571,447,445
1507863402,445,445
1507867283,448,448
1507871110,444,446
1507874988,443,444
1507878828,439,440
1507882634,443,442
1507886468,440,441
1507890313,248,251
1507894158,36,46
1507898071,37,45
1507901908,19,24
1507905685,30,49
1507910215,318,294
1507914204,325,304
1507917944,347,347
1507922029,350,366
1507925864,334,322
1507929747,328,332
1507933525,286,279
1507937350,37,42
1507945092,41,63
1507949368,11,20
1507953386,156,158
1507957126,297,257
1507961091,330,334
1507964937,296,293
1507968764,262,262
1507972625,317,318
1507976690,337,346
1507980767,221,219
1507984620,33,42
1507988434,26,42
1507992270,25,39
1507996120,18,41
1507999984,200,210
1508003808,320,246
1508007898,345,349
1508011742,320,312
1508015585,317,324
1508019424,301,300
1508023267,319,322
1508027087,56,58
1508030922,49,56
1508034774,22,32
1508038612,34,45
1508042448,55,66
1508046288,302,263
1508050148,352,339
1508053959,320,321
1508057826,335,331
1508069339,434,436
1508073413,39,47
1508077228,25,49
1508081077,33,51
1508084902,30,40
1508088753,99,151
1508092574,338,228
1508096415,422,422
1508100270,449,443
1508104119,447,448
1508107939,450,449
1508112061,447,449
1508115891,211,217
1508119713,31,32
1508123545,145,142
1508127401,18,33
1508131230,23,31
1508135072,208,204
1508138906,372,352
1508142767,351,358
1508146620,439,432
1508150450,446,441
1508154267,444,446
1508158128,109,112
1508161939,43,47
1508165794,44,53
1508169629,31,43
1508173482,199,206
1508177307,422,398
1508181158,438,425
1508185004,448,448
1508193138,442,444
1508196992,424,425
1508200811,435,437
1508204674,446,442
1508208565,278,283
1508212434,375,409
1508216278,447,407
1508224020,443,443
1508227752,446,448
1508239296,446,445
1508243107,445,448
1508246992,444,443
1508250819,450,448
1508254684,25,28
1508258548,303,303
1508262320,441,441
1508270029,445,441
1508273838,377,383
1508277729,387,391
1508281527,440,430
1508285371,449,449
1508289219,449,450
1508293040,447,447
1508296936,447,447
1508300747,444,448
1508308449,451,446
1508312528,449,450
1508316320,445,446
1508320189,446,446
1508327840,426,439
1508331703,431,418
1508335831,320,320
1508339627,309,316
1508343460,240,234
1508347289,398,396
1508351145,363,366
1508354967,450,446
1508358795,445,449
1508362706,448,445
1508366511,449,449
1508370300,450,449
1508374157,449,450
1508378022,442,443
1508381820,292,294
1508385704,333,334
1508389526,307,306
1508393379,274,274
1508397159,23,25
1508401027,29,42
1508404876,40,49
1508408687,28,41
1508412532,19,25
1508416390,51,68
1508420229,364,309
1508424086,322,316
1508427882,322,327
1508431746,344,342
1508435578,353,354
1508439420,349,347
1508443262,239,246
1508447098,37,52
1508450924,14,20
1508454782,15,18
1508458867,21,34
1508462717,14,37
1508466782,95,104
1508470880,427,347
1508474683,439,442
1508478547,437,436
1508482446,372,370
1508486245,440,442
1508490065,443,443
1508493909,240,242
1508497748,55,59
1508501575,27,36
