DateTime,AddedIPs,RemovedIPs
1507649905,64,39
1507653652,113,121
1507657522,67,61
1507661630,94,99
1507665454,106,107
1507669366,88,100
1507673149,35,37
1507677242,51,75
1507681056,66,76
1507684924,44,17
1507688799,67,62
1507692597,42,38
1507696459,47,85
1507700298,49,29
1507704107,100,93
1507707981,70,74
1507711829,87,82
1507715635,48,37
1507719461,113,118
1507727157,109,174
1507730978,129,55
1507734835,44,49
1507738662,143,136
1507742522,38,42
1507747260,65,99
1507751332,261,207
1507755175,60,66
1507759007,150,151
1507762855,61,75
1507766701,90,106
1507770525,100,97
1507774359,58,41
1507778451,55,74
1507782526,146,125
1507786372,54,88
1507794046,192,198
1507797870,142,105
1507801726,86,142
1507805569,187,129
1507809401,64,63
1507813240,215,211
1507817337,73,68
1507821161,94,95
1507824981,244,239
1507828895,107,109
1507832716,75,80
1507836605,134,137
1507840416,118,122
1507844253,56,66
1507848081,74,84
1507851909,127,111
1507855747,69,71
1507859578,121,116
1507863417,94,116
1507867315,77,54
1507871120,150,147
1507875002,71,90
1507878859,168,146
1507882645,72,78
1507886491,254,253
1507890327,61,61
1507894178,66,60
1507898090,142,143
1507901930,48,60
1507905714,171,157
1507910231,92,93
1507914246,63,59
1507917969,178,175
1507922056,114,111
1507925879,197,199
1507929783,63,77
1507933541,45,49
1507937364,110,102
1507945119,116,130
1507949390,54,58
1507953424,128,115
1507957150,75,84
1507961112,191,173
1507964957,50,51
1507968782,139,138
1507972661,88,95
1507976726,191,186
1507980781,151,148
1507984644,79,88
1507988452,253,243
1507992284,109,104
1507996137,104,108
1508000027,207,206
1508003848,158,162
1508007918,186,184
1508011771,109,111
1508015637,52,56
1508019452,39,45
1508023300,65,69
1508027101,43,41
1508030950,143,151
1508034807,83,78
1508042469,196,204
1508046308,99,78
1508050178,52,54
1508053982,54,89
1508069348,209,204
1508073420,113,82
1508077237,60,116
1508081084,128,61
1508084911,51,55
1508088764,173,172
1508092586,90,91
1508096437,161,164
1508100289,125,132
1508104138,61,67
1508107956,63,69
1508112112,148,131
1508115899,111,110
1508119724,82,83
1508123555,128,131
1508127412,73,85
1508131237,101,100
1508135096,134,134
1508138918,125,112
1508142779,89,141
1508146645,213,156
1508150460,65,67
1508154279,184,179
1508158157,77,78
1508161968,100,102
1508165812,231,230
1508169642,88,90
1508173498,81,78
1508177322,92,95
1508181187,113,125
1508193163,400,397
1508197026,70,72
1508200821,145,137
1508204686,178,175
1508208588,77,82
1508212475,162,158
1508216304,114,115
1508227771,329,329
1508239331,334,340
