DateTime,AddedIPs,RemovedIPs
1507807981,0,4
1507811581,0,4
1507815181,1,0
1507825981,3,1
1507829581,0,3
1507833181,3,4
1507836781,1,0
1507840381,0,3
1507843982,5,0
1507854781,1,0
1507858382,2,2
1507861981,0,4
1507865581,2,4
1507869181,2,0
1507876381,4,4
1507879981,2,2
1507887182,2,4
1507890781,1,0
1507897981,3,2
1507901581,5,4
1507908781,3,1
1507912381,4,0
1507919581,2,6
1507923181,1,0
1507926781,2,0
1507930381,0,4
1507933982,2,0
1507937581,4,1
1507941181,2,0
1507948382,3,2
1507955581,3,2
1507959181,1,2
1507966381,5,2
1507969981,0,4
1507973581,0,5
1507977182,3,0
1507980781,3,0
1507984381,0,3
1507987981,0,3
1507991581,0,2
1507998781,3,0
1508002381,3,0
1508005981,4,3
1508009581,0,4
1508013181,2,0
1508020381,0,2
1508023981,0,3
1508034782,2,3
1508038381,0,4
1508041981,3,0
1508049182,0,1
1508056381,0,2
1508059981,2,1
1508067181,2,0
1508070781,2,3
1508074381,0,4
1508077981,5,0
1508081581,5,2
1508085181,0,2
1508088781,1,2
1508095981,5,0
1508099581,0,6
1508103181,1,0
1508106781,1,0
1508110381,2,0
1508113982,3,0
1508121181,1,1
1508128381,1,7
1508131981,2,0
1508135581,0,2
1508139182,6,0
1508142781,3,0
1508146381,0,2
1508149981,3,1
1508153581,1,0
1508157181,0,3
1508160781,2,0
1508164381,0,4
1508167981,2,4
1508171581,3,0
1508175181,0,3
1508178781,2,3
1508182381,2,0
1508189581,3,3
1508193181,1,0
1508196782,2,0
1508200381,0,3
1508203981,1,0
1508207581,2,1
1508214781,4,2
1508218381,5,0
1508225581,3,3
1508229181,7,0
1508236381,2,4
1508239981,2,4
1508247181,2,1
1508250781,8,0
1508257981,3,3
1508261581,1,1
1508268781,1,3
1508275981,0,3
1508279581,1,3
1508283181,1,0
1508290381,3,2
1508293981,3,0
1508297581,0,3
1508301181,1,0
1508304782,2,2
1508308381,0,5
1508311981,3,3
1508315581,2,0
1508319181,0,4
1508322781,2,0
1508326381,0,2
1508329981,0,5
1508333581,4,6
1508337182,5,0
1508344381,4,3
1508347981,1,7
1508351581,3,3
1508362382,4,0
1508369581,3,0
1508373181,1,1
1508376781,4,0
1508380381,0,4
1508383981,4,0
1508387581,2,4
1508391183,0,1
1508394781,2,1
1508398382,2,0
1508401981,0,2
1508405581,2,0
1508409181,4,3
1508416381,3,0
1508419982,3,5
1508423581,0,5
1508427181,1,0
1508430781,3,1
1508434381,0,2
1508437981,1,4
1508445181,0,6
1508448781,6,0
1508455981,2,4
1508459581,2,7
1508466782,1,0
1508470381,3,7
1508477581,2,2
1508481181,3,0
1508484781,0,1
1508491981,1,5
1508499181,3,0
1508502781,0,2
1508509981,1,0
1508513581,1,0
1508520781,2,0
1508524382,5,4
1508527982,1,0
1508535181,3,1
1508538781,2,1
1508542381,1,0
1508545981,2,0
1508549582,1,0
1508553181,0,3
1508556782,2,0
1508560382,2,0
1508563981,0,1
1508567581,1,3
1508571181,3,0
1508574781,0,8
1508578381,2,0
1508581981,3,2
1508589181,2,2
1508592781,2,0
1508599981,1,1
1508607181,0,3
1508610781,2,4
1508614381,2,3
1508617981,0,5
1508625181,1,3
1508628781,2,3
1508632381,1,1
1508639582,3,1
1508643181,4,6
1508650381,4,2
1508653982,3,0
1508657582,0,2
1508661181,2,4
1508668381,0,2
1508671981,3,3
1508675581,8,0
1508679181,0,1
1508682781,2,2
1508686381,5,1
1508693582,4,0
1508697181,4,2
1508700781,4,1
1508704381,0,3
1508711582,0,4
1508715181,8,0
1508722381,4,2
1508725981,1,0
1508729581,1,3
1508733181,0,1
1508736781,2,0
1508740381,5,5
1508743981,0,5
1508747581,4,0
1508751182,0,1
1508758381,1,1
1508761981,3,3
1508769182,4,3
1508772782,6,5
1508779981,2,12
1508783581,3,0
1508787181,1,2
1508790781,1,0
1508797982,1,1
1508801581,3,2
1508805181,7,0
1508808782,3,5
1508815981,1,2
1508819581,1,0
1508823181,0,1
1508826781,1,1
1508833982,0,3
1508837581,1,3
1508841181,2,0
1508844781,0,5
1508848381,2,0
1508851981,0,4
1508855582,0,2
1508859181,2,0
1508862781,3,4
1508866381,0,4
1508869981,3,1
1508873581,1,5
1508877181,5,0
1508880781,0,5
1508884381,5,2
1508887981,3,0
1508891581,0,6
1508898781,3,3
1508902381,3,2
1508909581,4,0
1508913181,0,1
1508920381,5,1
1508923981,5,5
1508931181,2,2
1508934781,1,0
1508938381,0,1
1508941981,3,2
1508945582,3,3
1508949181,2,0
1508952781,1,1
1508959981,2,2
1508963581,4,0
1508967181,2,3
1508970781,2,0
1508974381,0,2
1508977982,0,1
1508981581,0,1
1508992381,0,4
1508995982,3,2
1508999581,1,0
1509006782,1,4
1509010381,2,4
1509017582,3,1
1509021181,0,1
1509024781,7,1
1509028381,2,0
1509031982,0,3
1509035581,2,2
1509039182,0,3
1509042782,1,0
1509046381,0,7
1509049981,0,3
1509053581,1,0
1509057181,1,3
1509064381,10,0
1509067981,6,1
1509075181,2,0
1509082381,0,4
1509085981,4,3
1509089582,1,2
1509093181,0,2
1509096781,3,0
1509100381,2,4
1509107581,2,0
1509111181,1,4
1509114781,0,6
1509118381,2,5
1509121981,7,1
1509129181,1,4
1509136382,2,0
1509139981,4,2
1509147182,6,0
1509150781,1,3
1509154381,0,3
1509157981,2,3
1509165181,1,0
1509172381,2,3
1509175981,0,1
1509179581,3,0
1509183182,4,6
1509193981,3,2
1509197582,5,1
1509204781,2,3
1509208381,5,0
1509211982,0,5
1509215581,5,0
1509219181,2,0
1509222781,0,2
1509226381,1,0
1509229981,3,2
1509233581,0,4
1509237181,2,0
1509240781,3,3
