DateTime,AddedIPs,RemovedIPs
1507383181,14,18
1507386781,13,9
1507393981,9,8
1507397581,14,12
1507405227,12,18
1507411982,17,15
1507415581,4,3
1507422781,14,12
1507426381,10,10
1507433581,16,14
1507440782,20,24
1507447981,6,6
1507451582,9,10
1507458781,8,9
1507462382,4,4
1507469582,14,9
1507473181,14,10
1507480381,9,11
1507483982,5,11
1507491181,13,9
1507494781,8,7
1507501982,10,11
1507505581,15,17
1507512781,15,12
1507519981,18,16
1507527181,14,15
1507534382,12,12
1507541581,10,14
1507548781,11,9
1507555981,14,14
1507559581,15,16
1507566781,8,6
1507570381,11,10
1507577581,11,13
1507581181,15,16
1507588382,8,8
1507591981,16,15
1507599181,7,8
1507606381,7,8
1507613582,10,9
1507617181,9,9
1507624381,13,10
1507627981,9,13
1507635181,11,6
1507638781,7,8
1507645981,9,9
1507649581,12,14
1507656782,13,12
1507660381,9,8
1507667581,9,12
1507671181,6,6
1507674781,5,7
1507678382,10,7
1507685581,11,11
1507689181,10,11
1507696382,9,7
1507703581,11,12
1507710782,6,7
1507717981,8,7
1507721581,14,11
1507725181,8,11
1507732381,11,9
1507739581,13,18
1507743181,10,8
1507747227,11,8
1507753981,12,15
1507761181,8,8
1507764782,8,7
1507771981,12,10
1507779181,9,8
1507782781,12,14
1507789981,11,12
1507793581,12,12
1507800781,12,11
1507804381,10,9
1507811581,6,9
1507815181,11,14
1507822381,6,5
1507825981,9,11
1507833181,13,11
1507836781,9,9
1507843982,16,12
1507847582,5,7
1507854781,8,10
1507858382,5,4
1507865581,10,11
1507869181,12,8
1507876381,11,10
1507879981,9,8
1507887182,9,13
1507890781,10,11
1507897981,10,11
1507901581,10,12
1507908781,8,8
1507912381,7,6
1507919581,7,5
1507923181,7,9
1507926781,14,11
1507933982,9,9
1507937581,15,15
1507941181,10,9
1507948382,12,10
1507955581,12,13
1507959181,4,6
1507966381,18,13
1507969981,5,10
1507977182,10,11
1507980781,12,10
1507987981,7,7
1507991581,7,9
1507998781,10,6
1508002381,9,10
1508005981,12,11
1508013181,8,13
1508016781,6,9
1508023981,3,1
1508027582,7,6
1508034782,13,10
1508041981,13,13
1508045582,5,7
1508049182,4,4
1508056381,5,5
1508059981,9,8
1508067181,11,12
1508070781,13,14
1508077981,12,13
1508081581,15,14
1508088781,4,3
